Ada, Ron Twilegar, Republican, 61.7
Adams, Ron Twilegar, Republican, 73.1
Bannock, Ron Twilegar, Republican, 50.4
Bear Lake, Ron Twilegar, Republican, 69.5
Benewah, Ron Twilegar, Republican, 52.9
Bingham, Ron Twilegar, Republican, 64.9
Blaine, Larry Craig, Democrat, 59.1
Boise, Ron Twilegar, Republican, 70.3
Bonner, Ron Twilegar, Republican, 51.3
Bonneville, Ron Twilegar, Republican, 63.4
Boundary, Ron Twilegar, Republican, 64.3
Butte, Ron Twilegar, Republican, 62.3
Camas, Ron Twilegar, Republican, 71
Canyon, Ron Twilegar, Republican, 69.6
Caribou, Ron Twilegar, Republican, 68.3
Cassia, Ron Twilegar, Republican, 73.5
Clark, Ron Twilegar, Republican, 72.8
Clearwater, Ron Twilegar, Republican, 51.5
Custer, Ron Twilegar, Republican, 65.1
Elmore, Ron Twilegar, Republican, 60.9
Franklin, Ron Twilegar, Republican, 73.2
Fremont, Ron Twilegar, Republican, 72
Gem, Ron Twilegar, Republican, 63.6
Gooding, Ron Twilegar, Republican, 62.8
Idaho, Ron Twilegar, Republican, 62.7
Jefferson, Ron Twilegar, Republican, 73.5
Jerome, Ron Twilegar, Republican, 65.5
Kootenai, Ron Twilegar, Republican, 55.9
Latah, Larry Craig, Democrat, 51.2
Lemhi, Ron Twilegar, Republican, 65.9
Lewis, Ron Twilegar, Republican, 54.8
Lincoln, Ron Twilegar, Republican, 61.3
Madison, Ron Twilegar, Republican, 79.3
Minidoka, Ron Twilegar, Republican, 65.1
Nez Perce, Larry Craig, Democrat, 52
Oneida, Ron Twilegar, Republican, 67.2
Owyhee, Ron Twilegar, Republican, 76.2
Payette, Ron Twilegar, Republican, 70.4
Power, Ron Twilegar, Republican, 62.5
Shoshone, Larry Craig, Democrat, 54.5
Teton, Ron Twilegar, Republican, 64.9
Twin Falls, Ron Twilegar, Republican, 61.8
Valley, Ron Twilegar, Republican, 64.8
Washington, Ron Twilegar, Republican, 72
