Adams, Paul Simon, Democrat, 65.8
Alexander, Paul Simon, Democrat, 77.4
Bond, Paul Simon, Democrat, 63.2
Boone, Paul Simon, Democrat, 53.7
Brown, Paul Simon, Democrat, 64
Bureau, Paul Simon, Democrat, 62.8
Calhoun, Paul Simon, Democrat, 68.9
Carroll, Paul Simon, Democrat, 57
Cass, Paul Simon, Democrat, 67.7
Champaign, Paul Simon, Democrat, 62.4
Christian, Paul Simon, Democrat, 69.2
Clark, Paul Simon, Democrat, 53.5
Clay, Paul Simon, Democrat, 63.2
Clinton, Paul Simon, Democrat, 62
Coles, Paul Simon, Democrat, 63.4
Cook, Paul Simon, Democrat, 71.2
Crawford, Paul Simon, Democrat, 55.6
Cumberland, Paul Simon, Democrat, 56.9
DeKalb, Paul Simon, Democrat, 57.6
DeWitt, Paul Simon, Democrat, 61.8
Douglas, Paul Simon, Democrat, 60.8
DuPage, Paul Simon, Democrat, 50.2
Edgar, Paul Simon, Democrat, 52.2
Edwards, Lynn M Martin, Republican, 51.7
Effingham, Paul Simon, Democrat, 62.2
Fayette, Paul Simon, Democrat, 62.7
Ford, Paul Simon, Democrat, 50.9
Franklin, Paul Simon, Democrat, 78.2
Fulton, Paul Simon, Democrat, 70.1
Gallatin, Paul Simon, Democrat, 80
Greene, Paul Simon, Democrat, 64.2
Grundy, Paul Simon, Democrat, 58.3
Hamilton, Paul Simon, Democrat, 74.2
Hancock, Paul Simon, Democrat, 64.2
Hardin, Paul Simon, Democrat, 75.8
Henderson, Paul Simon, Democrat, 65.6
Henry, Paul Simon, Democrat, 63.8
Iroquois, Paul Simon, Democrat, 54.6
Jackson, Paul Simon, Democrat, 74.8
Jasper, Paul Simon, Democrat, 59.2
Jefferson, Paul Simon, Democrat, 69.5
Jersey, Paul Simon, Democrat, 65.6
Jo Daviess, Paul Simon, Democrat, 57.4
Johnson, Paul Simon, Democrat, 67.5
Kane, Paul Simon, Democrat, 55.3
Kankakee, Paul Simon, Democrat, 64.6
Kendall, Paul Simon, Democrat, 50.8
Knox, Paul Simon, Democrat, 68.3
Lake, Paul Simon, Democrat, 55.9
LaSalle, Paul Simon, Democrat, 65.1
Lawrence, Paul Simon, Democrat, 58.8
Lee, Paul Simon, Democrat, 53.4
Livingston, Paul Simon, Democrat, 54
Logan, Paul Simon, Democrat, 57.7
McDonough, Paul Simon, Democrat, 64.9
McHenry, Lynn M Martin, Republican, 51.7
McLean, Paul Simon, Democrat, 57.8
Macon, Paul Simon, Democrat, 67.8
Macoupin, Paul Simon, Democrat, 67.8
Madison, Paul Simon, Democrat, 67.7
Marion, Paul Simon, Democrat, 64.7
Marshall, Paul Simon, Democrat, 64
Mason, Paul Simon, Democrat, 69.1
Massac, Paul Simon, Democrat, 73.4
Menard, Paul Simon, Democrat, 56.1
Mercer, Paul Simon, Democrat, 66.3
Monroe, Paul Simon, Democrat, 60.5
Montgomery, Paul Simon, Democrat, 64
Morgan, Paul Simon, Democrat, 58.1
Moultrie, Paul Simon, Democrat, 67.2
Ogle, Paul Simon, Democrat, 52.3
Peoria, Paul Simon, Democrat, 65.2
Perry, Paul Simon, Democrat, 75.2
Piatt, Paul Simon, Democrat, 62.6
Pike, Paul Simon, Democrat, 67.7
Pope, Paul Simon, Democrat, 69.5
Pulaski, Paul Simon, Democrat, 72
Putnam, Paul Simon, Democrat, 66
Randolph, Paul Simon, Democrat, 72.3
Richland, Paul Simon, Democrat, 53.7
Rock Island, Paul Simon, Democrat, 68.9
St. Clair, Paul Simon, Democrat, 68.2
Saline, Paul Simon, Democrat, 76
Sangamon, Paul Simon, Democrat, 60.7
Schuyler, Paul Simon, Democrat, 61.8
Scott, Paul Simon, Democrat, 62.3
Shelby, Paul Simon, Democrat, 67.4
Stark, Paul Simon, Democrat, 61.9
Stephenson, Paul Simon, Democrat, 59.1
Tazewell, Paul Simon, Democrat, 63.6
Union, Paul Simon, Democrat, 75.7
Vermilion, Paul Simon, Democrat, 64.1
Wabash, Paul Simon, Democrat, 57.4
Warren, Paul Simon, Democrat, 60
Washington, Paul Simon, Democrat, 54.3
Wayne, Paul Simon, Democrat, 53.5
White, Paul Simon, Democrat, 62.5
Whiteside, Paul Simon, Democrat, 63.4
Will, Paul Simon, Democrat, 60.8
Williamson, Paul Simon, Democrat, 74.8
Winnebago, Paul Simon, Democrat, 58.4
Woodford, Paul Simon, Democrat, 55.2
