Adair, Tom Harkin, Democrat, 57.7
Adams, Tom Harkin, Democrat, 52.8
Allamakee, Tom Tauke, Republican, 61
Appanoose, Tom Harkin, Democrat, 57.4
Audubon, Tom Harkin, Democrat, 54.5
Benton, Tom Harkin, Democrat, 54.4
Black Hawk, Tom Harkin, Democrat, 54.2
Boone, Tom Harkin, Democrat, 64.3
Bremer, Tom Harkin, Democrat, 50.1
Buchanan, Tom Tauke, Republican, 50.7
Buena Vista, Tom Tauke, Republican, 50.7
Butler, Tom Tauke, Republican, 60
Calhoun, Tom Harkin, Democrat, 51.8
Carroll, Tom Tauke, Republican, 52.9
Cass, Tom Tauke, Republican, 54.6
Cedar, Tom Tauke, Republican, 51
Cerro Gordo, Tom Harkin, Democrat, 50.4
Cherokee, Tom Harkin, Democrat, 52.3
Chickasaw, Tom Harkin, Democrat, 52.4
Clarke, Tom Harkin, Democrat, 65.1
Clay, Tom Harkin, Democrat, 53.2
Clayton, Tom Tauke, Republican, 54.9
Clinton, Tom Tauke, Republican, 52.3
Crawford, Tom Harkin, Democrat, 50.7
Dallas, Tom Harkin, Democrat, 62.9
Davis, Tom Harkin, Democrat, 63.4
Decatur, Tom Harkin, Democrat, 65.1
Delaware, Tom Tauke, Republican, 61.6
Des Moines, Tom Harkin, Democrat, 59.7
Dickinson, Tom Tauke, Republican, 51.7
Dubuque, Tom Tauke, Republican, 56.3
Emmet, Tom Tauke, Republican, 50.8
Fayette, Tom Tauke, Republican, 54.2
Floyd, Tom Harkin, Democrat, 51.4
Franklin, Tom Harkin, Democrat, 50.8
Fremont, Tom Tauke, Republican, 57.3
Greene, Tom Harkin, Democrat, 61.6
Grundy, Tom Tauke, Republican, 59.4
Guthrie, Tom Harkin, Democrat, 60.9
Hamilton, Tom Harkin, Democrat, 56.4
Hancock, Tom Harkin, Democrat, 58.4
Hardin, Tom Harkin, Democrat, 56.2
Harrison, Tom Tauke, Republican, 53.7
Henry, Tom Harkin, Democrat, 52.5
Howard, Tom Tauke, Republican, 53.3
Humboldt, Tom Harkin, Democrat, 50.8
Ida, Tom Harkin, Democrat, 51
Iowa, Tom Harkin, Democrat, 51.4
Jackson, Tom Tauke, Republican, 54.6
Jasper, Tom Harkin, Democrat, 61.3
Jefferson, Tom Harkin, Democrat, 52.5
Johnson, Tom Harkin, Democrat, 67.7
Jones, Tom Tauke, Republican, 52.5
Keokuk, Tom Harkin, Democrat, 55.6
Kossuth, Tom Tauke, Republican, 55.6
Lee, Tom Harkin, Democrat, 59.2
Linn, Tom Harkin, Democrat, 52.3
Louisa, Tom Harkin, Democrat, 53.9
Lucas, Tom Harkin, Democrat, 62.5
Lyon, Tom Tauke, Republican, 70.3
Madison, Tom Tauke, Republican, 63.2
Mahaska, Tom Tauke, Republican, 53.9
Marion, Tom Harkin, Democrat, 55.8
Marshall, Tom Harkin, Democrat, 58.2
Mills, Tom Tauke, Republican, 59.4
Mitchell, Tom Tauke, Republican, 55.8
Monona, Tom Harkin, Democrat, 54.2
Monroe, Tom Harkin, Democrat, 61.5
Montgomery, Tom Tauke, Republican, 61.3
Muscatine, Tom Harkin, Democrat, 50.4
O'Brien, Tom Tauke, Republican, 61.5
Osceola, Tom Tauke, Republican, 60.9
Page, Tom Tauke, Republican, 65.5
Palo Alto, Tom Harkin, Democrat, 51.8
Plymouth, Tom Tauke, Republican, 56.8
Pocahontas, Tom Harkin, Democrat, 51.2
Polk, Tom Harkin, Democrat, 63.5
Pottawattamie, Tom Harkin, Democrat, 50
Poweshiek, Tom Harkin, Democrat, 60.1
Ringgold, Tom Harkin, Democrat, 62.7
Sac, Tom Tauke, Republican, 51.5
Scott, Tom Harkin, Democrat, 52.9
Shelby, Tom Tauke, Republican, 59.7
Sioux, Tom Tauke, Republican, 79.8
Story, Tom Harkin, Democrat, 63.6
Tama, Tom Harkin, Democrat, 55.6
Taylor, Tom Harkin, Democrat, 56.1
Union, Tom Harkin, Democrat, 60.5
Van Buren, Tom Harkin, Democrat, 50.4
Wapello, Tom Harkin, Democrat, 67
Warren, Tom Harkin, Democrat, 64.8
Washington, Tom Harkin, Democrat, 50.6
Wayne, Tom Harkin, Democrat, 66.4
Webster, Tom Harkin, Democrat, 58.8
Winnebago, Tom Tauke, Republican, 56.5
Winneshiek, Tom Tauke, Republican, 51
Woodbury, Tom Harkin, Democrat, 51.3
Worth, Tom Tauke, Republican, 52.3
Wright, Tom Harkin, Democrat, 52.2
