Barnstable, John Kerry, Democrat, 52.2
Berkshire, John Kerry, Democrat, 55.3
Bristol, John Kerry, Democrat, 56.1
Dukes, John Kerry, Democrat, 63.6
Essex, John Kerry, Democrat, 54.7
Franklin, John Kerry, Democrat, 56
Hampden, John Kerry, Democrat, 51.5
Hampshire, John Kerry, Democrat, 57.9
Middlesex, John Kerry, Democrat, 60.5
Nantucket, John Kerry, Democrat, 61.4
Norfolk, John Kerry, Democrat, 58.4
Plymouth, John Kerry, Democrat, 50.1
Suffolk, John Kerry, Democrat, 69.5
Worcester, John Kerry, Democrat, 52
