Aitkin, Paul Wellstone, Democrat, 52.2
Anoka, Paul Wellstone, Democrat, 52.6
Becker, Rudy Boschwitz, Republican, 51.3
Beltrami, Paul Wellstone, Democrat, 53.1
Benton, Rudy Boschwitz, Republican, 52.3
Big Stone, Paul Wellstone, Democrat, 50.7
Blue Earth, Rudy Boschwitz, Republican, 53.3
Brown, Rudy Boschwitz, Republican, 61.2
Carlton, Paul Wellstone, Democrat, 62.2
Carver, Rudy Boschwitz, Republican, 56.7
Cass, Rudy Boschwitz, Republican, 51.2
Chippewa, Rudy Boschwitz, Republican, 50.1
Chisago, Paul Wellstone, Democrat, 53
Clay, Rudy Boschwitz, Republican, 55.1
Clearwater, Paul Wellstone, Democrat, 49
Cook, Paul Wellstone, Democrat, 53.7
Cottonwood, Rudy Boschwitz, Republican, 54.5
Crow Wing, Rudy Boschwitz, Republican, 53.4
Dakota, Paul Wellstone, Democrat, 49.4
Dodge, Rudy Boschwitz, Republican, 59.5
Douglas, Rudy Boschwitz, Republican, 57.7
Faribault, Rudy Boschwitz, Republican, 61.7
Fillmore, Rudy Boschwitz, Republican, 58.9
Freeborn, Rudy Boschwitz, Republican, 53.2
Goodhue, Rudy Boschwitz, Republican, 54.4
Grant, Paul Wellstone, Democrat, 50.3
Hennepin, Paul Wellstone, Democrat, 53
Houston, Rudy Boschwitz, Republican, 59.8
Hubbard, Rudy Boschwitz, Republican, 51.3
Isanti, Paul Wellstone, Democrat, 50.6
Itasca, Paul Wellstone, Democrat, 55.4
Jackson, Rudy Boschwitz, Republican, 57.6
Kanabec, Rudy Boschwitz, Republican, 50
Kandiyohi, Rudy Boschwitz, Republican, 52.6
Kittson, Paul Wellstone, Democrat, 50
Koochiching, Paul Wellstone, Democrat, 55
Lac qui Parle, Paul Wellstone, Democrat, 51.2
Lake, Paul Wellstone, Democrat, 64.6
Lake of the Woods, Rudy Boschwitz, Republican, 51.4
Le Sueur, Rudy Boschwitz, Republican, 55.1
Lincoln, Paul Wellstone, Democrat, 50.1
Lyon, Rudy Boschwitz, Republican, 54.2
McLeod, Rudy Boschwitz, Republican, 59.2
Mahnomen, Rudy Boschwitz, Republican, 49.1
Marshall, Rudy Boschwitz, Republican, 51.2
Martin, Rudy Boschwitz, Republican, 60.6
Meeker, Rudy Boschwitz, Republican, 54
Mille Lacs, Paul Wellstone, Democrat, 49.5
Morrison, Rudy Boschwitz, Republican, 54
Mower, Paul Wellstone, Democrat, 53.1
Murray, Rudy Boschwitz, Republican, 50.4
Nicollet, Rudy Boschwitz, Republican, 53.8
Nobles, Rudy Boschwitz, Republican, 55.8
Norman, Rudy Boschwitz, Republican, 50.6
Olmsted, Rudy Boschwitz, Republican, 60.8
Otter Tail, Rudy Boschwitz, Republican, 57.2
Pennington, Rudy Boschwitz, Republican, 52.1
Pine, Paul Wellstone, Democrat, 51.4
Pipestone, Rudy Boschwitz, Republican, 55.3
Polk, Rudy Boschwitz, Republican, 54.1
Pope, Rudy Boschwitz, Republican, 54.1
Ramsey, Paul Wellstone, Democrat, 58.8
Red Lake, Rudy Boschwitz, Republican, 53.6
Redwood, Rudy Boschwitz, Republican, 61.3
Renville, Rudy Boschwitz, Republican, 50.7
Rice, Paul Wellstone, Democrat, 53.2
Rock, Rudy Boschwitz, Republican, 61.5
Roseau, Rudy Boschwitz, Republican, 52.6
St. Louis, Paul Wellstone, Democrat, 67.5
Scott, Rudy Boschwitz, Republican, 52.3
Sherburne, Rudy Boschwitz, Republican, 51.2
Sibley, Rudy Boschwitz, Republican, 58.4
Stearns, Rudy Boschwitz, Republican, 55.8
Steele, Rudy Boschwitz, Republican, 63.6
Stevens, Rudy Boschwitz, Republican, 55
Swift, Paul Wellstone, Democrat, 51.6
Todd, Rudy Boschwitz, Republican, 54.5
Traverse, Rudy Boschwitz, Republican, 50.9
Wabasha, Rudy Boschwitz, Republican, 57.1
Wadena, Rudy Boschwitz, Republican, 56.4
Waseca, Rudy Boschwitz, Republican, 58.3
Washington, Paul Wellstone, Democrat, 52
Watonwan, Rudy Boschwitz, Republican, 55.9
Wilkin, Rudy Boschwitz, Republican, 62.4
Winona, Rudy Boschwitz, Republican, 53.4
Wright, Rudy Boschwitz, Republican, 52
Yellow Medicine, Paul Wellstone, Democrat, 50.5
