Adair, David Boren, Democrat, 80.8
Alfalfa, David Boren, Democrat, 84.6
Atoka, David Boren, Democrat, 90.2
Beaver, David Boren, Democrat, 66.1
Beckham, David Boren, Democrat, 87.6
Blaine, David Boren, Democrat, 81.4
Bryan, David Boren, Democrat, 88.1
Caddo, David Boren, Democrat, 87.8
Canadian, David Boren, Democrat, 79.3
Carter, David Boren, Democrat, 86.1
Cherokee, David Boren, Democrat, 84.2
Choctaw, David Boren, Democrat, 90.1
Cimarron, David Boren, Democrat, 71.1
Cleveland, David Boren, Democrat, 80.4
Coal, David Boren, Democrat, 90.9
Comanche, David Boren, Democrat, 78
Cotton, David Boren, Democrat, 87.6
Craig, David Boren, Democrat, 86.7
Creek, David Boren, Democrat, 83.7
Custer, David Boren, Democrat, 86.9
Delaware, David Boren, Democrat, 78.7
Dewey, David Boren, Democrat, 87.3
Ellis, David Boren, Democrat, 80.9
Garfield, David Boren, Democrat, 78.5
Garvin, David Boren, Democrat, 88.7
Grady, David Boren, Democrat, 84.3
Grant, David Boren, Democrat, 81.8
Greer, David Boren, Democrat, 88.5
Harmon, David Boren, Democrat, 93.7
Harper, David Boren, Democrat, 76.1
Haskell, David Boren, Democrat, 89
Hughes, David Boren, Democrat, 91.4
Jackson, David Boren, Democrat, 86.3
Jefferson, David Boren, Democrat, 88
Johnston, David Boren, Democrat, 90.2
Kay, David Boren, Democrat, 77.8
Kingfisher, David Boren, Democrat, 83.7
Kiowa, David Boren, Democrat, 89.7
Latimer, David Boren, Democrat, 89.3
Le Flore, David Boren, Democrat, 87.5
Lincoln, David Boren, Democrat, 83.9
Logan, David Boren, Democrat, 82
Love, David Boren, Democrat, 89.4
McClain, David Boren, Democrat, 84.6
McCurtain, David Boren, Democrat, 86.8
McIntosh, David Boren, Democrat, 88.4
Major, David Boren, Democrat, 78.5
Marshall, David Boren, Democrat, 89.9
Mayes, David Boren, Democrat, 84.1
Murray, David Boren, Democrat, 90.6
Muskogee, David Boren, Democrat, 85.8
Noble, David Boren, Democrat, 83.7
Nowata, David Boren, Democrat, 81.8
Okfuskee, David Boren, Democrat, 88.1
Oklahoma, David Boren, Democrat, 81.4
Okmulgee, David Boren, Democrat, 88.1
Osage, David Boren, Democrat, 86.2
Ottawa, David Boren, Democrat, 78.6
Pawnee, David Boren, Democrat, 83
Payne, David Boren, Democrat, 83
Pittsburg, David Boren, Democrat, 87.4
Pontotoc, David Boren, Democrat, 90.5
Pottawatomie, David Boren, Democrat, 85.4
Pushmataha, David Boren, Democrat, 90.7
Roger Mills, David Boren, Democrat, 86.3
Rogers, David Boren, Democrat, 83.2
Seminole, David Boren, Democrat, 89.1
Sequoyah, David Boren, Democrat, 86.1
Stephens, David Boren, Democrat, 85.7
Texas, David Boren, Democrat, 67
Tillman, David Boren, Democrat, 88.4
Tulsa, David Boren, Democrat, 82.7
Wagoner, David Boren, Democrat, 82.4
Washington, David Boren, Democrat, 76.9
Washita, David Boren, Democrat, 87.6
Woods, David Boren, Democrat, 84.6
Woodward, David Boren, Democrat, 83.1
