Aurora, Larry Pressler, Republican, 53.6
Beadle, Larry Pressler, Republican, 51.5
Bennett, Larry Pressler, Republican, 62.4
Bon Homme, Larry Pressler, Republican, 59.3
Brookings, Larry Pressler, Republican, 52.7
Brown, Ted Muenster, Democrat, 55.5
Brule, Larry Pressler, Republican, 51.5
Buffalo, Larry Pressler, Republican, 55.5
Butte, Larry Pressler, Republican, 62.9
Campbell, Larry Pressler, Republican, 57.8
Charles Mix, Larry Pressler, Republican, 52.9
Clark, Ted Muenster, Democrat, 50.6
Clay, Ted Muenster, Democrat, 48
Codington, Ted Muenster, Democrat, 54
Corson, Larry Pressler, Republican, 58.5
Custer, Larry Pressler, Republican, 58.1
Davison, Larry Pressler, Republican, 54.1
Day, Ted Muenster, Democrat, 57.3
Deuel, Larry Pressler, Republican, 50
Dewey, Larry Pressler, Republican, 58.4
Douglas, Larry Pressler, Republican, 69.6
Edmunds, Ted Muenster, Democrat, 52.6
Fall River, Larry Pressler, Republican, 57.9
Faulk, Ted Muenster, Democrat, 51.1
Grant, Larry Pressler, Republican, 52.8
Gregory, Larry Pressler, Republican, 53.6
Haakon, Larry Pressler, Republican, 76.6
Hamlin, Larry Pressler, Republican, 48.8
Hand, Larry Pressler, Republican, 55.8
Hanson, Larry Pressler, Republican, 59.1
Harding, Larry Pressler, Republican, 67.6
Hughes, Larry Pressler, Republican, 49.7
Hutchinson, Larry Pressler, Republican, 61.1
Hyde, Larry Pressler, Republican, 49.1
Jackson, Larry Pressler, Republican, 66.5
Jerauld, Larry Pressler, Republican, 57.6
Jones, Larry Pressler, Republican, 61.2
Kingsbury, Larry Pressler, Republican, 50.4
Lake, Larry Pressler, Republican, 53.2
Lawrence, Larry Pressler, Republican, 55.6
Lincoln, Larry Pressler, Republican, 54.5
Lyman, Larry Pressler, Republican, 53.9
McCook, Larry Pressler, Republican, 57.9
McPherson, Larry Pressler, Republican, 59.3
Marshall, Ted Muenster, Democrat, 53.3
Meade, Larry Pressler, Republican, 56.7
Mellette, Larry Pressler, Republican, 60.8
Miner, Larry Pressler, Republican, 52.1
Minnehaha, Larry Pressler, Republican, 50.4
Moody, Ted Muenster, Democrat, 48.8
Pennington, Larry Pressler, Republican, 55.7
Perkins, Larry Pressler, Republican, 57.8
Potter, Ted Muenster, Democrat, 50
Roberts, Ted Muenster, Democrat, 51.4
Sanborn, Larry Pressler, Republican, 57.5
Shannon, Ted Muenster, Democrat, 53.6
Spink, Ted Muenster, Democrat, 51.3
Stanley, Larry Pressler, Republican, 48.7
Sully, Larry Pressler, Republican, 51.5
Todd, Ted Muenster, Democrat, 47.9
Tripp, Larry Pressler, Republican, 59.1
Turner, Larry Pressler, Republican, 58.7
Union, Larry Pressler, Republican, 52.8
Walworth, Larry Pressler, Republican, 48.8
Yankton, Larry Pressler, Republican, 57.3
Ziebach, Larry Pressler, Republican, 51.6
