Anderson, Al Gore, Democrat, 69.1
Bedford, Al Gore, Democrat, 77.1
Benton, Al Gore, Democrat, 76.6
Bledsoe, Al Gore, Democrat, 61.5
Blount, Al Gore, Democrat, 59.8
Bradley, Al Gore, Democrat, 56.8
Campbell, Al Gore, Democrat, 72.8
Cannon, Al Gore, Democrat, 73.5
Carroll, Al Gore, Democrat, 75.3
Carter, Al Gore, Democrat, 61
Cheatham, Al Gore, Democrat, 71.1
Chester, Al Gore, Democrat, 65.2
Claiborne, Al Gore, Democrat, 71.6
Clay, Al Gore, Democrat, 75.2
Cocke, Al Gore, Democrat, 66.3
Coffee, Al Gore, Democrat, 64.9
Crockett, Al Gore, Democrat, 69.7
Cumberland, Al Gore, Democrat, 57.6
Davidson, Al Gore, Democrat, 72
Decatur, Al Gore, Democrat, 69
DeKalb, Al Gore, Democrat, 74.1
Dickson, Al Gore, Democrat, 75.5
Dyer, Al Gore, Democrat, 69.3
Fayette, Al Gore, Democrat, 65.2
Fentress, Al Gore, Democrat, 72.3
Franklin, Al Gore, Democrat, 75.4
Gibson, Al Gore, Democrat, 79.1
Giles, Al Gore, Democrat, 79.6
Grainger, Al Gore, Democrat, 58.7
Greene, Al Gore, Democrat, 59.4
Grundy, Al Gore, Democrat, 77.4
Hamblen, Al Gore, Democrat, 61.7
Hamilton, Al Gore, Democrat, 56.4
Hancock, Al Gore, Democrat, 70.8
Hardeman, Al Gore, Democrat, 77
Hardin, Al Gore, Democrat, 69.8
Hawkins, Al Gore, Democrat, 68.1
Haywood, Al Gore, Democrat, 72.8
Henderson, Al Gore, Democrat, 61.1
Henry, Al Gore, Democrat, 74.3
Hickman, Al Gore, Democrat, 79.3
Houston, Al Gore, Democrat, 82.2
Humphreys, Al Gore, Democrat, 78.2
Jackson, Al Gore, Democrat, 83.2
Jefferson, Al Gore, Democrat, 60.3
Johnson, Al Gore, Democrat, 63.3
Knox, Al Gore, Democrat, 65.4
Lake, Al Gore, Democrat, 78.5
Lauderdale, Al Gore, Democrat, 72.7
Lawrence, Al Gore, Democrat, 73
Lewis, Al Gore, Democrat, 79.9
Lincoln, Al Gore, Democrat, 75.9
Loudon, Al Gore, Democrat, 58.2
McMinn, Al Gore, Democrat, 62.8
McNairy, Al Gore, Democrat, 68.1
Macon, Al Gore, Democrat, 71.2
Madison, Al Gore, Democrat, 73.4
Marion, Al Gore, Democrat, 71
Marshall, Al Gore, Democrat, 70.4
Maury, Al Gore, Democrat, 68.2
Meigs, Al Gore, Democrat, 61
Monroe, Al Gore, Democrat, 57.8
Montgomery, Al Gore, Democrat, 78.8
Moore, Al Gore, Democrat, 73.7
Morgan, Al Gore, Democrat, 74.4
Obion, Al Gore, Democrat, 76.9
Overton, Al Gore, Democrat, 83.2
Perry, Al Gore, Democrat, 79
Pickett, Al Gore, Democrat, 65.1
Polk, Al Gore, Democrat, 69.7
Putnam, Al Gore, Democrat, 75.1
Rhea, Al Gore, Democrat, 60.8
Roane, Al Gore, Democrat, 69.7
Robertson, Al Gore, Democrat, 78
Rutherford, Al Gore, Democrat, 70.6
Scott, Al Gore, Democrat, 67
Sequatchie, Al Gore, Democrat, 64
Sevier, Al Gore, Democrat, 58.6
Shelby, Al Gore, Democrat, 64.3
Smith, Al Gore, Democrat, 84
Stewart, Al Gore, Democrat, 76.2
Sullivan, Al Gore, Democrat, 65.3
Sumner, Al Gore, Democrat, 73.2
Tipton, Al Gore, Democrat, 59.1
Trousdale, Al Gore, Democrat, 88.7
Unicoi, Al Gore, Democrat, 70
Union, Al Gore, Democrat, 61.5
Van Buren, Al Gore, Democrat, 84.7
Warren, Al Gore, Democrat, 81.8
Washington, Al Gore, Democrat, 71.4
Wayne, Al Gore, Democrat, 57.7
Weakley, Al Gore, Democrat, 78
White, Al Gore, Democrat, 77.4
Williamson, Al Gore, Democrat, 61.2
Wilson, Al Gore, Democrat, 77.6
