Anderson, Phil Gramm, Republican, 61
Andrews, Phil Gramm, Republican, 78.8
Angelina, Phil Gramm, Republican, 57.3
Aransas, Phil Gramm, Republican, 67.9
Archer, Phil Gramm, Republican, 59.5
Armstrong, Phil Gramm, Republican, 69.1
Atascosa, Phil Gramm, Republican, 58
Austin, Phil Gramm, Republican, 68.5
Bailey, Phil Gramm, Republican, 67.7
Bandera, Phil Gramm, Republican, 68
Bastrop, Hugh Parmer, Democrat, 50.1
Baylor, Hugh Parmer, Democrat, 51.7
Bee, Phil Gramm, Republican, 56.4
Bell, Phil Gramm, Republican, 58.4
Bexar, Phil Gramm, Republican, 56.8
Blanco, Phil Gramm, Republican, 62.1
Borden, Phil Gramm, Republican, 69.2
Bosque, Phil Gramm, Republican, 56.5
Bowie, Phil Gramm, Republican, 58
Brazoria, Phil Gramm, Republican, 63.3
Brazos, Phil Gramm, Republican, 69.4
Brewster, Phil Gramm, Republican, 59.7
Briscoe, Phil Gramm, Republican, 49.6
Brooks, Hugh Parmer, Democrat, 70
Brown, Phil Gramm, Republican, 62.1
Burleson, Phil Gramm, Republican, 52.6
Burnet, Phil Gramm, Republican, 54.8
Caldwell, Hugh Parmer, Democrat, 50.5
Calhoun, Phil Gramm, Republican, 60.6
Callahan, Phil Gramm, Republican, 65.8
Cameron, Phil Gramm, Republican, 54.4
Camp, Phil Gramm, Republican, 52.2
Carson, Phil Gramm, Republican, 62.9
Cass, Phil Gramm, Republican, 53.2
Castro, Phil Gramm, Republican, 63.9
Chambers, Phil Gramm, Republican, 60.9
Cherokee, Phil Gramm, Republican, 63
Childress, Phil Gramm, Republican, 58.7
Clay, Phil Gramm, Republican, 52.6
Cochran, Phil Gramm, Republican, 62.2
Coke, Phil Gramm, Republican, 65.5
Coleman, Phil Gramm, Republican, 64.8
Collin, Phil Gramm, Republican, 75.4
Collingsworth, Phil Gramm, Republican, 55.6
Colorado, Phil Gramm, Republican, 63.7
Comal, Phil Gramm, Republican, 68.4
Comanche, Tie, Tie, 49.3
Concho, Phil Gramm, Republican, 60.8
Cooke, Phil Gramm, Republican, 65.5
Coryell, Phil Gramm, Republican, 57
Cottle, Hugh Parmer, Democrat, 63.4
Crane, Phil Gramm, Republican, 73.5
Crockett, Phil Gramm, Republican, 74.1
Crosby, Phil Gramm, Republican, 57.4
Culberson, Phil Gramm, Republican, 60.6
Dallam, Phil Gramm, Republican, 65.1
Dallas, Phil Gramm, Republican, 60.7
Dawson, Phil Gramm, Republican, 71.6
Deaf Smith, Phil Gramm, Republican, 69.8
Delta, Phil Gramm, Republican, 52.3
Denton, Phil Gramm, Republican, 68.6
DeWitt, Phil Gramm, Republican, 68.8
Dickens, Hugh Parmer, Democrat, 53.4
Dimmit, Hugh Parmer, Democrat, 60.6
Donley, Phil Gramm, Republican, 61.9
Duval, Hugh Parmer, Democrat, 77.6
Eastland, Phil Gramm, Republican, 61
Ector, Phil Gramm, Republican, 74.2
Edwards, Phil Gramm, Republican, 74.5
Ellis, Phil Gramm, Republican, 63.2
El Paso, Phil Gramm, Republican, 59.2
Erath, Phil Gramm, Republican, 60.5
Falls, Hugh Parmer, Democrat, 54.5
Fannin, Hugh Parmer, Democrat, 52.2
Fayette, Phil Gramm, Republican, 64.3
Fisher, Hugh Parmer, Democrat, 56
Floyd, Phil Gramm, Republican, 68
Foard, Hugh Parmer, Democrat, 61.8
Fort Bend, Phil Gramm, Republican, 66.6
Franklin, Phil Gramm, Republican, 57.6
Freestone, Phil Gramm, Republican, 59.1
Frio, Hugh Parmer, Democrat, 49.7
Gaines, Phil Gramm, Republican, 70.7
Galveston, Phil Gramm, Republican, 51.1
Garza, Phil Gramm, Republican, 65
Gillespie, Phil Gramm, Republican, 74
