Albany, Alan K Simpson, Republican, 65.3
Big Horn, Alan K Simpson, Republican, 71
Campbell, Alan K Simpson, Republican, 68.6
Carbon, Alan K Simpson, Republican, 60.2
Converse, Alan K Simpson, Republican, 64
Crook, Alan K Simpson, Republican, 71.2
Fremont, Alan K Simpson, Republican, 62.4
Goshen, Alan K Simpson, Republican, 68
Hot Springs, Alan K Simpson, Republican, 67.7
Johnson, Alan K Simpson, Republican, 75.2
Laramie, Alan K Simpson, Republican, 64.2
Lincoln, Alan K Simpson, Republican, 67
Natrona, Alan K Simpson, Republican, 56.7
Niobrara, Alan K Simpson, Republican, 68.5
Park, Alan K Simpson, Republican, 76.4
Platte, Alan K Simpson, Republican, 60.2
Sheridan, Alan K Simpson, Republican, 59
Sublette, Alan K Simpson, Republican, 74.4
Sweetwater, Alan K Simpson, Republican, 54.3
Teton, Alan K Simpson, Republican, 72.2
Uinta, Alan K Simpson, Republican, 64.7
Washakie, Alan K Simpson, Republican, 65.5
Weston, Alan K Simpson, Republican, 65.5
