Alameda, Dianne Feinstein, Democrat, 72.6
Alpine, Dianne Feinstein, Democrat, 47.9
Amador, Dianne Feinstein, Democrat, 48.3
Butte, John Seymour, Republican, 45.6
Calaveras, Dianne Feinstein, Democrat, 46.6
Colusa, John Seymour, Republican, 54.4
Contra Costa, Dianne Feinstein, Democrat, 63
Del Norte, Dianne Feinstein, Democrat, 50.9
El Dorado, John Seymour, Republican, 45.6
Fresno, John Seymour, Republican, 48.5
Glenn, John Seymour, Republican, 56.7
Humboldt, Dianne Feinstein, Democrat, 59.8
Imperial, Dianne Feinstein, Democrat, 48.8
Inyo, John Seymour, Republican, 52.7
Kern, John Seymour, Republican, 54.5
Kings, John Seymour, Republican, 50.3
Lake, Dianne Feinstein, Democrat, 55.1
Lassen, John Seymour, Republican, 47.6
Los Angeles, Dianne Feinstein, Democrat, 58.7
Madera, John Seymour, Republican, 52.1
Marin, Dianne Feinstein, Democrat, 71.3
Mariposa, Dianne Feinstein, Democrat, 45.4
Mendocino, Dianne Feinstein, Democrat, 60.6
Merced, Dianne Feinstein, Democrat, 47.6
Modoc, John Seymour, Republican, 52.9
Mono, Dianne Feinstein, Democrat, 45.1
Monterey, Dianne Feinstein, Democrat, 58.9
Napa, Dianne Feinstein, Democrat, 57
Nevada, Dianne Feinstein, Democrat, 46
Orange, John Seymour, Republican, 50.9
Placer, Dianne Feinstein, Democrat, 45.7
Plumas, Dianne Feinstein, Democrat, 46.4
Riverside, John Seymour, Republican, 45.4
Sacramento, Dianne Feinstein, Democrat, 53.8
San Benito, Dianne Feinstein, Democrat, 55.5
San Bernardino, John Seymour, Republican, 45.7
San Diego, Dianne Feinstein, Democrat, 47
San Francisco, Dianne Feinstein, Democrat, 80.6
San Joaquin, Dianne Feinstein, Democrat, 48.9
San Luis Obispo, Dianne Feinstein, Democrat, 47.5
San Mateo, Dianne Feinstein, Democrat, 67.3
Santa Barbara, Dianne Feinstein, Democrat, 49.6
Santa Clara, Dianne Feinstein, Democrat, 62.2
Santa Cruz, Dianne Feinstein, Democrat, 67.9
Shasta, John Seymour, Republican, 51.5
Sierra, Dianne Feinstein, Democrat, 45.1
Siskiyou, John Seymour, Republican, 45.4
Solano, Dianne Feinstein, Democrat, 59.8
Sonoma, Dianne Feinstein, Democrat, 62.8
Stanislaus, Dianne Feinstein, Democrat, 50.1
Sutter, John Seymour, Republican, 53.5
Tehama, John Seymour, Republican, 48.2
Trinity, John Seymour, Republican, 43.7
Tulare, John Seymour, Republican, 56.5
Tuolumne, Dianne Feinstein, Democrat, 50.6
Ventura, John Seymour, Republican, 46.3
Yolo, Dianne Feinstein, Democrat, 61.7
Yuba, John Seymour, Republican, 46.6
