Churchill, Demar Dahl, Republican, 65.8
Clark, Harry Reid, Democrat, 54.2
Douglas, Demar Dahl, Republican, 48.3
Elko, Demar Dahl, Republican, 62.8
Esmeralda, Demar Dahl, Republican, 47.9
Eureka, Demar Dahl, Republican, 63.1
Humboldt, Demar Dahl, Republican, 45.5
Lander, Demar Dahl, Republican, 59.9
Lincoln, Demar Dahl, Republican, 58.6
Lyon, Demar Dahl, Republican, 45.3
Mineral, Harry Reid, Democrat, 50.2
Nye, Demar Dahl, Republican, 45
Pershing, Demar Dahl, Republican, 48.2
Storey, Harry Reid, Democrat, 51.1
Washoe, Harry Reid, Democrat, 51.4
White Pine, Harry Reid, Democrat, 42.6
Carson City, Harry Reid, Democrat, 48.5
