Adair, John Ashcroft, Republican, 59.9
Andrew, John Ashcroft, Republican, 65.8
Atchison, John Ashcroft, Republican, 69.2
Audrain, John Ashcroft, Republican, 65.5
Barry, John Ashcroft, Republican, 71.9
Barton, John Ashcroft, Republican, 81.3
Bates, John Ashcroft, Republican, 61
Benton, John Ashcroft, Republican, 64.3
Bollinger, John Ashcroft, Republican, 70.8
Boone, John Ashcroft, Republican, 54.5
Buchanan, John Ashcroft, Republican, 56.3
Butler, John Ashcroft, Republican, 70.3
Caldwell, John Ashcroft, Republican, 62
Callaway, John Ashcroft, Republican, 59.6
Camden, John Ashcroft, Republican, 65.7
Cape Girardeau, John Ashcroft, Republican, 68.7
Carroll, John Ashcroft, Republican, 66
Carter, John Ashcroft, Republican, 66.9
Cass, John Ashcroft, Republican, 66.8
Cedar, John Ashcroft, Republican, 67
Chariton, John Ashcroft, Republican, 57.2
Christian, John Ashcroft, Republican, 68.8
Clark, John Ashcroft, Republican, 65
Clay, John Ashcroft, Republican, 61.1
Clinton, John Ashcroft, Republican, 56.8
Cole, John Ashcroft, Republican, 62.8
Cooper, John Ashcroft, Republican, 65.7
Crawford, John Ashcroft, Republican, 64.7
Dade, John Ashcroft, Republican, 71.5
Dallas, John Ashcroft, Republican, 67.4
Daviess, John Ashcroft, Republican, 63
DeKalb, John Ashcroft, Republican, 61.3
Dent, John Ashcroft, Republican, 62.1
Douglas, John Ashcroft, Republican, 72.3
Dunklin, John Ashcroft, Republican, 62.2
Franklin, John Ashcroft, Republican, 65.3
Gasconade, John Ashcroft, Republican, 73.7
Gentry, John Ashcroft, Republican, 58
Greene, John Ashcroft, Republican, 65.2
Grundy, John Ashcroft, Republican, 64.8
Harrison, John Ashcroft, Republican, 70.1
Henry, John Ashcroft, Republican, 58.7
Hickory, John Ashcroft, Republican, 62.9
Holt, John Ashcroft, Republican, 68.4
Howard, John Ashcroft, Republican, 56.7
Howell, John Ashcroft, Republican, 71.3
Iron, John Ashcroft, Republican, 56
Jackson, John Ashcroft, Republican, 49.4
Jasper, John Ashcroft, Republican, 76.6
Jefferson, John Ashcroft, Republican, 60.4
Johnson, John Ashcroft, Republican, 60.3
Knox, John Ashcroft, Republican, 66.7
Laclede, John Ashcroft, Republican, 70.3
Lafayette, John Ashcroft, Republican, 61.1
Lawrence, John Ashcroft, Republican, 68.5
Lewis, John Ashcroft, Republican, 62
Lincoln, John Ashcroft, Republican, 63.6
Linn, John Ashcroft, Republican, 57.2
Livingston, John Ashcroft, Republican, 63
McDonald, John Ashcroft, Republican, 73.8
Macon, John Ashcroft, Republican, 64.5
Madison, John Ashcroft, Republican, 62.9
Maries, John Ashcroft, Republican, 63.9
Marion, John Ashcroft, Republican, 67.5
Mercer, John Ashcroft, Republican, 68.1
Miller, John Ashcroft, Republican, 69.7
Mississippi, John Ashcroft, Republican, 60.1
Moniteau, John Ashcroft, Republican, 68.1
Monroe, John Ashcroft, Republican, 59.2
Montgomery, John Ashcroft, Republican, 67.5
Morgan, John Ashcroft, Republican, 67.3
New Madrid, John Ashcroft, Republican, 58.6
Newton, John Ashcroft, Republican, 78.2
Nodaway, John Ashcroft, Republican, 60.2
Oregon, John Ashcroft, Republican, 60.1
Osage, John Ashcroft, Republican, 69.2
Ozark, John Ashcroft, Republican, 71.3
Pemiscot, John Ashcroft, Republican, 50.3
Perry, John Ashcroft, Republican, 71.6
Pettis, John Ashcroft, Republican, 67.1
Phelps, John Ashcroft, Republican, 61
Pike, John Ashcroft, Republican, 61.7
Platte, John Ashcroft, Republican, 63.1
Polk, John Ashcroft, Republican, 68.5
Pulaski, John Ashcroft, Republican, 67
Putnam, John Ashcroft, Republican, 78.6
Ralls, John Ashcroft, Republican, 61.9
Randolph, John Ashcroft, Republican, 57.6
Ray, John Ashcroft, Republican, 54.7
Reynolds, John Ashcroft, Republican, 56.7
Ripley, John Ashcroft, Republican, 64.3
St. Charles, John Ashcroft, Republican, 66.3
St. Clair, John Ashcroft, Republican, 65.3
Ste. Genevieve, John Ashcroft, Republican, 56.5
St. Francois, John Ashcroft, Republican, 56.5
St. Louis County, John Ashcroft, Republican, 59
Saline, John Ashcroft, Republican, 56.3
Schuyler, John Ashcroft, Republican, 59.7
Scotland, John Ashcroft, Republican, 63.1
Scott, John Ashcroft, Republican, 64.5
Shannon, John Ashcroft, Republican, 59.5
Shelby, John Ashcroft, Republican, 62.3
Stoddard, John Ashcroft, Republican, 64.4
Stone, John Ashcroft, Republican, 70.5
Sullivan, John Ashcroft, Republican, 61.6
Taney, John Ashcroft, Republican, 71.3
Texas, John Ashcroft, Republican, 64.8
Vernon, John Ashcroft, Republican, 64
Warren, John Ashcroft, Republican, 66.2
Washington, John Ashcroft, Republican, 58.5
Wayne, John Ashcroft, Republican, 66.4
Webster, John Ashcroft, Republican, 67.4
Worth, John Ashcroft, Republican, 64.2
Wright, John Ashcroft, Republican, 72.2
St. Louis City, Alan Wheat, Democrat, 63.2
