Bernalillo, Pete Domenici, Republican, 65.9
Catron, Pete Domenici, Republican, 74.2
Chaves, Pete Domenici, Republican, 73.3
Cibola, Pete Domenici, Republican, 60.9
Colfax, Pete Domenici, Republican, 63.1
Curry, Pete Domenici, Republican, 75.9
De Baca, Pete Domenici, Republican, 75.1
Doña Ana, Pete Domenici, Republican, 60.7
Eddy, Pete Domenici, Republican, 69.4
Grant, Pete Domenici, Republican, 55
Guadalupe, Art Trujillo, Democrat, 50.1
Harding, Pete Domenici, Republican, 70.5
Hidalgo, Pete Domenici, Republican, 62
Lea, Pete Domenici, Republican, 73.4
Lincoln, Pete Domenici, Republican, 77.2
Los Alamos, Pete Domenici, Republican, 83.8
Luna, Pete Domenici, Republican, 61.9
McKinley, Pete Domenici, Republican, 52.8
Mora, Art Trujillo, Democrat, 50
Otero, Pete Domenici, Republican, 75.6
Quay, Pete Domenici, Republican, 70.5
Rio Arriba, Pete Domenici, Republican, 51.7
Roosevelt, Pete Domenici, Republican, 78.3
Sandoval, Pete Domenici, Republican, 65.7
San Juan, Pete Domenici, Republican, 75
San Miguel, Pete Domenici, Republican, 48.6
Santa Fe, Pete Domenici, Republican, 48.7
Sierra, Pete Domenici, Republican, 69.4
Socorro, Pete Domenici, Republican, 63.2
Taos, Pete Domenici, Republican, 48.7
Torrance, Pete Domenici, Republican, 68.8
Union, Pete Domenici, Republican, 79.7
Valencia, Pete Domenici, Republican, 65.4
