Anderson, Fred Thompson, Republican, 62.3
Bedford, Fred Thompson, Republican, 52.8
Benton, Houston Gordon, Democrat, 51.3
Bledsoe, Fred Thompson, Republican, 58.3
Blount, Fred Thompson, Republican, 69.5
Bradley, Fred Thompson, Republican, 73.9
Campbell, Fred Thompson, Republican, 56
Cannon, Fred Thompson, Republican, 51.3
Carroll, Fred Thompson, Republican, 59.2
Carter, Fred Thompson, Republican, 74.5
Cheatham, Fred Thompson, Republican, 62
Chester, Fred Thompson, Republican, 66.5
Claiborne, Fred Thompson, Republican, 64.3
Clay, Fred Thompson, Republican, 54.8
Cocke, Fred Thompson, Republican, 71.2
Coffee, Fred Thompson, Republican, 56.6
Crockett, Fred Thompson, Republican, 54.9
Cumberland, Fred Thompson, Republican, 66.1
Davidson, Fred Thompson, Republican, 57.7
Decatur, Houston Gordon, Democrat, 51.1
DeKalb, Houston Gordon, Democrat, 51.5
Dickson, Fred Thompson, Republican, 54.2
Dyer, Fred Thompson, Republican, 56.1
Fayette, Fred Thompson, Republican, 55.1
Fentress, Fred Thompson, Republican, 61.5
Franklin, Fred Thompson, Republican, 54.1
Gibson, Fred Thompson, Republican, 54.4
Giles, Fred Thompson, Republican, 50.5
Grainger, Fred Thompson, Republican, 67
Greene, Fred Thompson, Republican, 70.6
Grundy, Houston Gordon, Democrat, 53.6
Hamblen, Fred Thompson, Republican, 70.4
Hamilton, Fred Thompson, Republican, 66.7
Hancock, Fred Thompson, Republican, 73.5
Hardeman, Houston Gordon, Democrat, 53.1
Hardin, Fred Thompson, Republican, 62.9
Hawkins, Fred Thompson, Republican, 69.6
Haywood, Houston Gordon, Democrat, 55.1
Henderson, Fred Thompson, Republican, 68.1
Henry, Fred Thompson, Republican, 52.3
Hickman, Houston Gordon, Democrat, 51.3
Houston, Houston Gordon, Democrat, 62.8
Humphreys, Houston Gordon, Democrat, 53.9
Jackson, Houston Gordon, Democrat, 58.7
Jefferson, Fred Thompson, Republican, 69.7
Johnson, Fred Thompson, Republican, 75.1
Knox, Fred Thompson, Republican, 67.1
Lake, Houston Gordon, Democrat, 58.8
Lauderdale, Houston Gordon, Democrat, 55.9
Lawrence, Fred Thompson, Republican, 66.3
Lewis, Fred Thompson, Republican, 50.6
Lincoln, Fred Thompson, Republican, 59.7
Loudon, Fred Thompson, Republican, 68.2
McMinn, Fred Thompson, Republican, 67.2
McNairy, Fred Thompson, Republican, 57.7
Macon, Fred Thompson, Republican, 65.6
Madison, Fred Thompson, Republican, 59.7
Marion, Fred Thompson, Republican, 54.8
Marshall, Fred Thompson, Republican, 53.1
Maury, Fred Thompson, Republican, 57.7
Meigs, Fred Thompson, Republican, 59.9
Monroe, Fred Thompson, Republican, 62.3
Montgomery, Fred Thompson, Republican, 63
Moore, Fred Thompson, Republican, 57
Morgan, Fred Thompson, Republican, 54.2
Obion, Fred Thompson, Republican, 51.1
Overton, Houston Gordon, Democrat, 56.7
Perry, Houston Gordon, Democrat, 53
Pickett, Fred Thompson, Republican, 62.4
Polk, Fred Thompson, Republican, 54.6
Putnam, Fred Thompson, Republican, 60.4
Rhea, Fred Thompson, Republican, 67.3
Roane, Fred Thompson, Republican, 61.5
Robertson, Fred Thompson, Republican, 60.2
Rutherford, Fred Thompson, Republican, 66.2
Scott, Fred Thompson, Republican, 64.4
Sequatchie, Fred Thompson, Republican, 59.9
Sevier, Fred Thompson, Republican, 75.3
Shelby, Fred Thompson, Republican, 55.1
Smith, Houston Gordon, Democrat, 60.3
Stewart, Fred Thompson, Republican, 50.9
Sullivan, Fred Thompson, Republican, 71
Sumner, Fred Thompson, Republican, 64.9
Tipton, Fred Thompson, Republican, 52.8
Trousdale, Houston Gordon, Democrat, 52.1
Unicoi, Fred Thompson, Republican, 71.5
Union, Fred Thompson, Republican, 64.5
Van Buren, Houston Gordon, Democrat, 52.5
Warren, Fred Thompson, Republican, 51.3
Washington, Fred Thompson, Republican, 71.7
Wayne, Fred Thompson, Republican, 69.5
Weakley, Fred Thompson, Republican, 54.5
White, Fred Thompson, Republican, 54
Williamson, Fred Thompson, Republican, 75.7
Wilson, Fred Thompson, Republican, 62.5
