Alameda, Barbara Boxer, Democrat, 69.6
Alpine, Matt Fong, Republican, 49.2
Amador, Matt Fong, Republican, 54.1
Butte, Matt Fong, Republican, 53.9
Calaveras, Matt Fong, Republican, 53
Colusa, Matt Fong, Republican, 59
Contra Costa, Barbara Boxer, Democrat, 57.5
Del Norte, Matt Fong, Republican, 52.8
El Dorado, Matt Fong, Republican, 57.5
Fresno, Matt Fong, Republican, 51.8
Glenn, Matt Fong, Republican, 62.5
Humboldt, Barbara Boxer, Democrat, 50.6
Imperial, Barbara Boxer, Democrat, 51.5
Inyo, Matt Fong, Republican, 57.4
Kern, Matt Fong, Republican, 59.3
Kings, Matt Fong, Republican, 52.9
Lake, Barbara Boxer, Democrat, 54.8
Lassen, Matt Fong, Republican, 60.3
Los Angeles, Barbara Boxer, Democrat, 60.8
Madera, Matt Fong, Republican, 58.1
Marin, Barbara Boxer, Democrat, 65.4
Mariposa, Matt Fong, Republican, 56.1
Mendocino, Barbara Boxer, Democrat, 57.7
Merced, Barbara Boxer, Democrat, 48.4
Modoc, Matt Fong, Republican, 61
Mono, Matt Fong, Republican, 52.5
Monterey, Barbara Boxer, Democrat, 53.2
Napa, Barbara Boxer, Democrat, 54.5
Nevada, Matt Fong, Republican, 54.9
Orange, Matt Fong, Republican, 56.8
Placer, Matt Fong, Republican, 57.7
Plumas, Matt Fong, Republican, 61.5
Riverside, Matt Fong, Republican, 49.6
Sacramento, Barbara Boxer, Democrat, 50.5
San Benito, Barbara Boxer, Democrat, 51.1
San Bernardino, Barbara Boxer, Democrat, 47.5
San Diego, Matt Fong, Republican, 49.2
San Francisco, Barbara Boxer, Democrat, 75.2
San Joaquin, Matt Fong, Republican, 48.1
San Luis Obispo, Matt Fong, Republican, 51.9
San Mateo, Barbara Boxer, Democrat, 63.1
Santa Barbara, Barbara Boxer, Democrat, 49.4
Santa Clara, Barbara Boxer, Democrat, 57.8
Santa Cruz, Barbara Boxer, Democrat, 62.7
Shasta, Matt Fong, Republican, 60
Sierra, Matt Fong, Republican, 59.5
Siskiyou, Matt Fong, Republican, 55.2
Solano, Barbara Boxer, Democrat, 56.3
Sonoma, Barbara Boxer, Democrat, 61.1
Stanislaus, Matt Fong, Republican, 48.7
Sutter, Matt Fong, Republican, 60.8
Tehama, Matt Fong, Republican, 56.7
Trinity, Matt Fong, Republican, 52.1
Tulare, Matt Fong, Republican, 57
Tuolumne, Matt Fong, Republican, 51.4
Ventura, Matt Fong, Republican, 48.9
Yolo, Barbara Boxer, Democrat, 58.1
Yuba, Matt Fong, Republican, 53.4
