Adams, Peter Fitzgerald, Republican, 71.3
Alexander, Carol Moseley Braun, Democrat, 54.2
Bond, Peter Fitzgerald, Republican, 62.7
Boone, Peter Fitzgerald, Republican, 66.6
Brown, Peter Fitzgerald, Republican, 65.9
Bureau, Peter Fitzgerald, Republican, 60.1
Calhoun, Peter Fitzgerald, Republican, 53.8
Carroll, Peter Fitzgerald, Republican, 66.8
Cass, Peter Fitzgerald, Republican, 60.2
Champaign, Peter Fitzgerald, Republican, 59.7
Christian, Peter Fitzgerald, Republican, 62
Clark, Peter Fitzgerald, Republican, 58.1
Clay, Peter Fitzgerald, Republican, 58.1
Clinton, Peter Fitzgerald, Republican, 69.1
Coles, Peter Fitzgerald, Republican, 61.2
Cook, Carol Moseley Braun, Democrat, 63.6
Crawford, Peter Fitzgerald, Republican, 58.1
Cumberland, Peter Fitzgerald, Republican, 61.1
DeKalb, Peter Fitzgerald, Republican, 59.1
DeWitt, Peter Fitzgerald, Republican, 67.7
Douglas, Peter Fitzgerald, Republican, 67.2
DuPage, Peter Fitzgerald, Republican, 63.2
Edgar, Peter Fitzgerald, Republican, 63
Edwards, Peter Fitzgerald, Republican, 60.9
Effingham, Peter Fitzgerald, Republican, 70.2
Fayette, Peter Fitzgerald, Republican, 63
Ford, Peter Fitzgerald, Republican, 72.7
Franklin, Peter Fitzgerald, Republican, 49.3
Fulton, Peter Fitzgerald, Republican, 50.9
Gallatin, Carol Moseley Braun, Democrat, 60.1
Greene, Peter Fitzgerald, Republican, 62.3
Grundy, Peter Fitzgerald, Republican, 59.8
Hamilton, Peter Fitzgerald, Republican, 53.5
Hancock, Peter Fitzgerald, Republican, 64
Hardin, Peter Fitzgerald, Republican, 51.9
Henderson, Peter Fitzgerald, Republican, 56
Henry, Peter Fitzgerald, Republican, 61.2
Iroquois, Peter Fitzgerald, Republican, 71
Jackson, Peter Fitzgerald, Republican, 52.7
Jasper, Peter Fitzgerald, Republican, 54.4
Jefferson, Peter Fitzgerald, Republican, 59.6
Jersey, Peter Fitzgerald, Republican, 62.1
Jo Daviess, Peter Fitzgerald, Republican, 61.1
Johnson, Peter Fitzgerald, Republican, 66.5
Kane, Peter Fitzgerald, Republican, 61.2
Kankakee, Peter Fitzgerald, Republican, 59.7
Kendall, Peter Fitzgerald, Republican, 65.3
Knox, Peter Fitzgerald, Republican, 57
Lake, Peter Fitzgerald, Republican, 55.6
LaSalle, Peter Fitzgerald, Republican, 55.8
Lawrence, Carol Moseley Braun, Democrat, 49.1
Lee, Peter Fitzgerald, Republican, 66.8
Livingston, Peter Fitzgerald, Republican, 68.9
Logan, Peter Fitzgerald, Republican, 72.6
McDonough, Peter Fitzgerald, Republican, 62.6
McHenry, Peter Fitzgerald, Republican, 65.8
McLean, Peter Fitzgerald, Republican, 65.8
Macon, Peter Fitzgerald, Republican, 59
Macoupin, Peter Fitzgerald, Republican, 56.7
Madison, Peter Fitzgerald, Republican, 58.5
Marion, Peter Fitzgerald, Republican, 57.6
Marshall, Peter Fitzgerald, Republican, 62
Mason, Peter Fitzgerald, Republican, 60.1
Massac, Peter Fitzgerald, Republican, 58.9
Menard, Peter Fitzgerald, Republican, 73.1
Mercer, Peter Fitzgerald, Republican, 60.2
Monroe, Peter Fitzgerald, Republican, 69.3
Montgomery, Peter Fitzgerald, Republican, 58.6
Morgan, Peter Fitzgerald, Republican, 68.9
Moultrie, Peter Fitzgerald, Republican, 62.2
Ogle, Peter Fitzgerald, Republican, 69.8
Peoria, Peter Fitzgerald, Republican, 57.3
Perry, Peter Fitzgerald, Republican, 57.7
Piatt, Peter Fitzgerald, Republican, 65.5
Pike, Peter Fitzgerald, Republican, 61.7
Pope, Peter Fitzgerald, Republican, 59.9
Pulaski, Peter Fitzgerald, Republican, 56.2
Putnam, Peter Fitzgerald, Republican, 55.1
Randolph, Peter Fitzgerald, Republican, 58.4
Richland, Peter Fitzgerald, Republican, 57.9
Rock Island, Peter Fitzgerald, Republican, 55.1
St. Clair, Peter Fitzgerald, Republican, 53.8
Saline, Peter Fitzgerald, Republican, 51.9
Sangamon, Peter Fitzgerald, Republican, 67.8
Schuyler, Peter Fitzgerald, Republican, 64
Scott, Peter Fitzgerald, Republican, 69.6
Shelby, Peter Fitzgerald, Republican, 64.4
Stark, Peter Fitzgerald, Republican, 65.4
Stephenson, Peter Fitzgerald, Republican, 68.9
Tazewell, Peter Fitzgerald, Republican, 64.2
Union, Peter Fitzgerald, Republican, 55.1
Vermilion, Peter Fitzgerald, Republican, 61.3
Wabash, Peter Fitzgerald, Republican, 53.9
Warren, Peter Fitzgerald, Republican, 63.1
Washington, Peter Fitzgerald, Republican, 71.5
Wayne, Peter Fitzgerald, Republican, 65.9
White, Carol Moseley Braun, Democrat, 50
Whiteside, Peter Fitzgerald, Republican, 59.2
Will, Peter Fitzgerald, Republican, 58.6
Williamson, Peter Fitzgerald, Republican, 58.7
Winnebago, Peter Fitzgerald, Republican, 63.2
Woodford, Peter Fitzgerald, Republican, 72.4
