Allegany, Barbara Mikulski, Democrat, 67.3
Anne Arundel, Barbara Mikulski, Democrat, 64.1
Baltimore County, Barbara Mikulski, Democrat, 67.8
Calvert, Barbara Mikulski, Democrat, 63.6
Caroline, Barbara Mikulski, Democrat, 60.1
Carroll, Barbara Mikulski, Democrat, 51.5
Cecil, Barbara Mikulski, Democrat, 61.9
Charles, Barbara Mikulski, Democrat, 64
Dorchester, Barbara Mikulski, Democrat, 69.5
Frederick, Barbara Mikulski, Democrat, 57
Garrett, Ross Pierpont, Republican, 53.7
Harford, Barbara Mikulski, Democrat, 60.7
Howard, Barbara Mikulski, Democrat, 67.2
Kent, Barbara Mikulski, Democrat, 69.8
Montgomery, Barbara Mikulski, Democrat, 73.1
Prince George's, Barbara Mikulski, Democrat, 83.7
Queen Anne's, Barbara Mikulski, Democrat, 61.8
St. Mary's, Barbara Mikulski, Democrat, 67.1
Somerset, Barbara Mikulski, Democrat, 66.2
Talbot, Barbara Mikulski, Democrat, 59.8
Washington, Barbara Mikulski, Democrat, 56.5
Wicomico, Barbara Mikulski, Democrat, 63.5
Worcester, Barbara Mikulski, Democrat, 67.2
Baltimore City, Barbara Mikulski, Democrat, 89.7
