Adair, Kit Bond, Republican, 56.3
Andrew, Kit Bond, Republican, 58.6
Atchison, Kit Bond, Republican, 63.4
Audrain, Kit Bond, Republican, 61.6
Barry, Kit Bond, Republican, 60.5
Barton, Kit Bond, Republican, 71.8
Bates, Kit Bond, Republican, 54.7
Benton, Kit Bond, Republican, 55.6
Bollinger, Kit Bond, Republican, 62.4
Boone, Kit Bond, Republican, 55.1
Buchanan, Kit Bond, Republican, 51.7
Butler, Kit Bond, Republican, 63.6
Caldwell, Kit Bond, Republican, 58.3
Callaway, Kit Bond, Republican, 53
Camden, Kit Bond, Republican, 57.8
Cape Girardeau, Kit Bond, Republican, 65.7
Carroll, Kit Bond, Republican, 61.5
Carter, Kit Bond, Republican, 61.5
Cass, Kit Bond, Republican, 58
Cedar, Kit Bond, Republican, 58
Chariton, Kit Bond, Republican, 52.7
Christian, Kit Bond, Republican, 59.7
Clark, Jay Nixon, Democrat, 49.5
Clay, Kit Bond, Republican, 54
Clinton, Kit Bond, Republican, 50.6
Cole, Kit Bond, Republican, 63.2
Cooper, Kit Bond, Republican, 60.8
Crawford, Kit Bond, Republican, 51.5
Dade, Kit Bond, Republican, 63.3
Dallas, Kit Bond, Republican, 56.9
Daviess, Kit Bond, Republican, 56.8
DeKalb, Kit Bond, Republican, 57.1
Dent, Kit Bond, Republican, 56.4
Douglas, Kit Bond, Republican, 61.6
Dunklin, Kit Bond, Republican, 53.1
Franklin, Kit Bond, Republican, 52.5
Gasconade, Kit Bond, Republican, 63.7
Gentry, Kit Bond, Republican, 54.6
Greene, Kit Bond, Republican, 57.2
Grundy, Kit Bond, Republican, 65.2
Harrison, Kit Bond, Republican, 66.2
Henry, Kit Bond, Republican, 51.3
Hickory, Kit Bond, Republican, 48.6
Holt, Kit Bond, Republican, 62.6
Howard, Kit Bond, Republican, 53.8
Howell, Kit Bond, Republican, 59.2
Iron, Jay Nixon, Democrat, 49.1
Jackson, Kit Bond, Republican, 48.2
Jasper, Kit Bond, Republican, 66.5
Jefferson, Jay Nixon, Democrat, 52.8
Johnson, Kit Bond, Republican, 58
Knox, Kit Bond, Republican, 55.4
Laclede, Kit Bond, Republican, 60.9
Lafayette, Kit Bond, Republican, 57
Lawrence, Kit Bond, Republican, 59.9
Lewis, Jay Nixon, Democrat, 51.6
Lincoln, Kit Bond, Republican, 51.3
Linn, Kit Bond, Republican, 55.2
Livingston, Kit Bond, Republican, 59.3
McDonald, Kit Bond, Republican, 62.2
Macon, Kit Bond, Republican, 56.5
Madison, Kit Bond, Republican, 54.7
Maries, Kit Bond, Republican, 48.8
Marion, Kit Bond, Republican, 50.5
Mercer, Kit Bond, Republican, 69.7
Miller, Kit Bond, Republican, 61.5
Mississippi, Kit Bond, Republican, 50.4
Moniteau, Kit Bond, Republican, 61.5
Monroe, Kit Bond, Republican, 49.7
Montgomery, Kit Bond, Republican, 59.1
Morgan, Kit Bond, Republican, 54.5
New Madrid, Jay Nixon, Democrat, 53.8
Newton, Kit Bond, Republican, 67.1
Nodaway, Kit Bond, Republican, 59.5
Oregon, Kit Bond, Republican, 48.5
Osage, Kit Bond, Republican, 59.4
Ozark, Kit Bond, Republican, 60.2
Pemiscot, Jay Nixon, Democrat, 49.4
Perry, Kit Bond, Republican, 67.3
Pettis, Kit Bond, Republican, 61.1
Phelps, Kit Bond, Republican, 54.6
Pike, Jay Nixon, Democrat, 51.4
Platte, Kit Bond, Republican, 58.1
Polk, Kit Bond, Republican, 60.6
Pulaski, Kit Bond, Republican, 53.6
Putnam, Kit Bond, Republican, 75.5
Ralls, Jay Nixon, Democrat, 55.3
Randolph, Kit Bond, Republican, 51.6
Ray, Kit Bond, Republican, 48.2
Reynolds, Jay Nixon, Democrat, 48.8
Ripley, Kit Bond, Republican, 56.3
St. Charles, Kit Bond, Republican, 55.4
St. Clair, Kit Bond, Republican, 54.3
Ste. Genevieve, Jay Nixon, Democrat, 51
St. Francois, Jay Nixon, Democrat, 49.7
St. Louis County, Kit Bond, Republican, 50
Saline, Kit Bond, Republican, 53.2
Schuyler, Kit Bond, Republican, 52.4
Scotland, Kit Bond, Republican, 56.4
Scott, Kit Bond, Republican, 55.6
Shannon, Kit Bond, Republican, 49.1
Shelby, Kit Bond, Republican, 52.4
Stoddard, Kit Bond, Republican, 57.8
Stone, Kit Bond, Republican, 62.8
Sullivan, Kit Bond, Republican, 62.2
Taney, Kit Bond, Republican, 62
Texas, Kit Bond, Republican, 51.9
Vernon, Kit Bond, Republican, 57.7
Warren, Kit Bond, Republican, 56
Washington, Jay Nixon, Democrat, 51.9
Wayne, Kit Bond, Republican, 53.7
Webster, Kit Bond, Republican, 56.3
Worth, Kit Bond, Republican, 55.9
Wright, Kit Bond, Republican, 63.5
St. Louis City, Jay Nixon, Democrat, 65.1
