Adams, George Voinovich, Republican, 61.5
Allen, George Voinovich, Republican, 64.3
Ashland, George Voinovich, Republican, 68.2
Ashtabula, George Voinovich, Republican, 54.7
Athens, Mary Boyle, Democrat, 53.2
Auglaize, George Voinovich, Republican, 64.9
Belmont, Mary Boyle, Democrat, 55
Brown, George Voinovich, Republican, 62
Butler, George Voinovich, Republican, 66
Carroll, George Voinovich, Republican, 57.9
Champaign, George Voinovich, Republican, 63
Clark, George Voinovich, Republican, 54.9
Clermont, George Voinovich, Republican, 69.8
Clinton, George Voinovich, Republican, 67.6
Columbiana, George Voinovich, Republican, 50.8
Coshocton, George Voinovich, Republican, 59.8
Crawford, George Voinovich, Republican, 61
Cuyahoga, Mary Boyle, Democrat, 53.3
Darke, George Voinovich, Republican, 65.3
Defiance, George Voinovich, Republican, 60.4
Delaware, George Voinovich, Republican, 70.6
Erie, George Voinovich, Republican, 53.3
Fairfield, George Voinovich, Republican, 64.4
Fayette, George Voinovich, Republican, 64.2
Franklin, George Voinovich, Republican, 58
Fulton, George Voinovich, Republican, 67.7
Gallia, George Voinovich, Republican, 60.7
Geauga, George Voinovich, Republican, 68.6
Greene, George Voinovich, Republican, 61.1
Guernsey, George Voinovich, Republican, 56.4
Hamilton, George Voinovich, Republican, 62.7
Hancock, George Voinovich, Republican, 72.2
Hardin, George Voinovich, Republican, 56.6
Harrison, Mary Boyle, Democrat, 50.8
Henry, George Voinovich, Republican, 69.6
Highland, George Voinovich, Republican, 64.8
Hocking, George Voinovich, Republican, 52.4
Holmes, George Voinovich, Republican, 72.1
Huron, George Voinovich, Republican, 60.9
Jackson, George Voinovich, Republican, 59.8
Jefferson, Mary Boyle, Democrat, 59.8
Knox, George Voinovich, Republican, 64.1
Lake, George Voinovich, Republican, 62
Lawrence, George Voinovich, Republican, 58.7
Licking, George Voinovich, Republican, 61
Logan, George Voinovich, Republican, 66
Lorain, Mary Boyle, Democrat, 51.7
Lucas, George Voinovich, Republican, 53.2
Madison, George Voinovich, Republican, 64
Mahoning, Mary Boyle, Democrat, 60.9
Marion, George Voinovich, Republican, 55.3
Medina, George Voinovich, Republican, 63.5
Meigs, George Voinovich, Republican, 60.5
Mercer, George Voinovich, Republican, 62.9
Miami, George Voinovich, Republican, 63
Monroe, Mary Boyle, Democrat, 53.4
Montgomery, George Voinovich, Republican, 53.4
Morgan, George Voinovich, Republican, 59.7
Morrow, George Voinovich, Republican, 60.2
Muskingum, George Voinovich, Republican, 60.6
Noble, George Voinovich, Republican, 57.8
Ottawa, George Voinovich, Republican, 57.5
Paulding, George Voinovich, Republican, 57.7
Perry, Mary Boyle, Democrat, 52.7
Pickaway, George Voinovich, Republican, 60.8
Pike, Mary Boyle, Democrat, 50.6
Portage, Mary Boyle, Democrat, 51.8
Preble, George Voinovich, Republican, 61.3
Putnam, George Voinovich, Republican, 67.8
Richland, George Voinovich, Republican, 59.1
Ross, George Voinovich, Republican, 56.1
Sandusky, George Voinovich, Republican, 61.7
Scioto, George Voinovich, Republican, 52.6
Seneca, George Voinovich, Republican, 61.6
Shelby, George Voinovich, Republican, 61.6
Stark, George Voinovich, Republican, 57.1
Summit, Mary Boyle, Democrat, 50.3
Trumbull, Mary Boyle, Democrat, 61.2
Tuscarawas, George Voinovich, Republican, 54
Union, George Voinovich, Republican, 68.2
Van Wert, George Voinovich, Republican, 65.6
Vinton, George Voinovich, Republican, 51.8
Warren, George Voinovich, Republican, 71.5
Washington, George Voinovich, Republican, 63.1
Wayne, George Voinovich, Republican, 66.8
Williams, George Voinovich, Republican, 63.3
Wood, George Voinovich, Republican, 62.1
Wyandot, George Voinovich, Republican, 62.6
