Baker, Ron Wyden, Democrat, 52.6
Benton, Ron Wyden, Democrat, 61.7
Clackamas, Ron Wyden, Democrat, 62.1
Clatsop, Ron Wyden, Democrat, 67.1
Columbia, Ron Wyden, Democrat, 66
Coos, Ron Wyden, Democrat, 55.9
Crook, Ron Wyden, Democrat, 57.6
Curry, Ron Wyden, Democrat, 53.2
Deschutes, Ron Wyden, Democrat, 55.4
Douglas, Ron Wyden, Democrat, 49.4
Gilliam, Ron Wyden, Democrat, 67.1
Grant, Ron Wyden, Democrat, 51.1
Harney, Ron Wyden, Democrat, 51.3
Hood River, Ron Wyden, Democrat, 63.9
Jackson, Ron Wyden, Democrat, 53.5
Jefferson, Ron Wyden, Democrat, 60.1
Josephine, Ron Wyden, Democrat, 48.1
Klamath, Ron Wyden, Democrat, 49.1
Lake, Ron Wyden, Democrat, 49.1
Lane, Ron Wyden, Democrat, 61.4
Lincoln, Ron Wyden, Democrat, 65.7
Linn, Ron Wyden, Democrat, 55.3
Malheur, John Lim, Republican, 54.4
Marion, Ron Wyden, Democrat, 58.4
Morrow, Ron Wyden, Democrat, 62.9
Multnomah, Ron Wyden, Democrat, 72.4
Polk, Ron Wyden, Democrat, 56.7
Sherman, Ron Wyden, Democrat, 66.1
Tillamook, Ron Wyden, Democrat, 65.2
Umatilla, Ron Wyden, Democrat, 58.9
Union, Ron Wyden, Democrat, 55.2
Wallowa, Ron Wyden, Democrat, 57.1
Wasco, Ron Wyden, Democrat, 66.1
Washington, Ron Wyden, Democrat, 60.8
Wheeler, Ron Wyden, Democrat, 56.5
Yamhill, Ron Wyden, Democrat, 56.4
