Barnstable, Ted Kennedy, Democrat, 67.7
Berkshire, Ted Kennedy, Democrat, 79
Bristol, Ted Kennedy, Democrat, 75.1
Dukes, Ted Kennedy, Democrat, 77.5
Essex, Ted Kennedy, Democrat, 71.5
Franklin, Ted Kennedy, Democrat, 69.1
Hampden, Ted Kennedy, Democrat, 70.8
Hampshire, Ted Kennedy, Democrat, 72.7
Middlesex, Ted Kennedy, Democrat, 74.3
Nantucket, Ted Kennedy, Democrat, 72.3
Norfolk, Ted Kennedy, Democrat, 72.5
Plymouth, Ted Kennedy, Democrat, 68.1
Suffolk, Ted Kennedy, Democrat, 80.3
Worcester, Ted Kennedy, Democrat, 69
