Albany, Hillary Clinton, Democrat, 57.9
Allegany, Rick Lazio, Republican, 62.4
Bronx, Hillary Clinton, Democrat, 84.9
Broome, Rick Lazio, Republican, 49.4
Cattaraugus, Rick Lazio, Republican, 55.5
Cayuga, Hillary Clinton, Democrat, 50.01
Chautauqua, Rick Lazio, Republican, 53.7
Chemung, Rick Lazio, Republican, 54.5
Chenango, Rick Lazio, Republican, 55.1
Clinton, Rick Lazio, Republican, 50.2
Columbia, Rick Lazio, Republican, 52.4
Cortland, Rick Lazio, Republican, 52
Delaware, Rick Lazio, Republican, 57.8
Dutchess, Rick Lazio, Republican, 56.5
Erie, Hillary Clinton, Democrat, 56.1
Essex, Rick Lazio, Republican, 56.5
Franklin, Hillary Clinton, Democrat, 50.3
Fulton, Rick Lazio, Republican, 57.4
Genesee, Rick Lazio, Republican, 59
Greene, Rick Lazio, Republican, 60.2
Hamilton, Rick Lazio, Republican, 67.7
Herkimer, Rick Lazio, Republican, 54.1
Jefferson, Rick Lazio, Republican, 47.4
Kings, Hillary Clinton, Democrat, 76
Lewis, Rick Lazio, Republican, 56.1
Livingston, Rick Lazio, Republican, 59.6
Madison, Rick Lazio, Republican, 56.2
Monroe, Rick Lazio, Republican, 49.9
Montgomery, Rick Lazio, Republican, 50.6
Nassau, Rick Lazio, Republican, 53.4
New York, Hillary Clinton, Democrat, 77.2
Niagara, Hillary Clinton, Democrat, 51.2
Oneida, Rick Lazio, Republican, 54.8
Onondaga, Hillary Clinton, Democrat, 52.6
Ontario, Rick Lazio, Republican, 56.8
Orange, Rick Lazio, Republican, 59.3
Orleans, Rick Lazio, Republican, 59
Oswego, Rick Lazio, Republican, 49.8
Otsego, Rick Lazio, Republican, 53.1
Putnam, Rick Lazio, Republican, 62.5
Queens, Hillary Clinton, Democrat, 69.6
Rensselaer, Hillary Clinton, Democrat, 49
Richmond, Rick Lazio, Republican, 57.9
Rockland, Rick Lazio, Republican, 52.4
St. Lawrence, Hillary Clinton, Democrat, 52.6
Saratoga, Rick Lazio, Republican, 54.3
Schenectady, Hillary Clinton, Democrat, 49.4
Schoharie, Rick Lazio, Republican, 58.3
Schuyler, Rick Lazio, Republican, 57.5
Seneca, Rick Lazio, Republican, 51.1
Steuben, Rick Lazio, Republican, 62.5
Suffolk, Rick Lazio, Republican, 57.2
Sullivan, Rick Lazio, Republican, 52.2
Tioga, Rick Lazio, Republican, 59.6
Tompkins, Hillary Clinton, Democrat, 57.2
Ulster, Rick Lazio, Republican, 50.7
Warren, Rick Lazio, Republican, 58.7
Washington, Rick Lazio, Republican, 57.5
Wayne, Rick Lazio, Republican, 59.7
Westchester, Hillary Clinton, Democrat, 51.1
Wyoming, Rick Lazio, Republican, 62.3
Yates, Rick Lazio, Republican, 58.9
