Adams, Mike DeWine, Republican, 65.9
Allen, Mike DeWine, Republican, 68.9
Ashland, Mike DeWine, Republican, 72.9
Ashtabula, Mike DeWine, Republican, 56.7
Athens, Mike DeWine, Republican, 47.4
Auglaize, Mike DeWine, Republican, 74.8
Belmont, Ted Celeste, Democrat, 49.2
Brown, Mike DeWine, Republican, 66
Butler, Mike DeWine, Republican, 69.6
Carroll, Mike DeWine, Republican, 63.1
Champaign, Mike DeWine, Republican, 55.9
Clark, Mike DeWine, Republican, 60.6
Clermont, Mike DeWine, Republican, 72
Clinton, Mike DeWine, Republican, 72.9
Columbiana, Mike DeWine, Republican, 55.7
Coshocton, Mike DeWine, Republican, 64.6
Crawford, Mike DeWine, Republican, 67.8
Cuyahoga, Mike DeWine, Republican, 48.9
Darke, Mike DeWine, Republican, 74.3
Defiance, Mike DeWine, Republican, 64.1
Delaware, Mike DeWine, Republican, 71.4
Erie, Mike DeWine, Republican, 55.9
Fairfield, Mike DeWine, Republican, 69
Fayette, Mike DeWine, Republican, 71.1
Franklin, Mike DeWine, Republican, 55.5
Fulton, Mike DeWine, Republican, 70.7
Gallia, Mike DeWine, Republican, 62.2
Geauga, Mike DeWine, Republican, 72.1
Greene, Mike DeWine, Republican, 72.2
Guernsey, Mike DeWine, Republican, 62
Hamilton, Mike DeWine, Republican, 60.7
Hancock, Mike DeWine, Republican, 75.3
Hardin, Mike DeWine, Republican, 60.9
Harrison, Mike DeWine, Republican, 52.5
Henry, Mike DeWine, Republican, 72.3
Highland, Mike DeWine, Republican, 67.9
Hocking, Mike DeWine, Republican, 57.7
Holmes, Mike DeWine, Republican, 76.5
Huron, Mike DeWine, Republican, 66.1
Jackson, Mike DeWine, Republican, 63.4
Jefferson, Mike DeWine, Republican, 49.1
Knox, Mike DeWine, Republican, 67
Lake, Mike DeWine, Republican, 65.6
Lawrence, Mike DeWine, Republican, 56
Licking, Mike DeWine, Republican, 65.2
Logan, Mike DeWine, Republican, 68.4
Lorain, Mike DeWine, Republican, 55.7
Lucas, Mike DeWine, Republican, 51.7
Madison, Ted Celeste, Democrat, 43.9
Mahoning, Ted Celeste, Democrat, 50.3
Marion, Mike DeWine, Republican, 63.6
Medina, Mike DeWine, Republican, 69.3
Meigs, Mike DeWine, Republican, 63.6
Mercer, Mike DeWine, Republican, 73.6
Miami, Mike DeWine, Republican, 72.7
Monroe, Ted Celeste, Democrat, 48.2
Montgomery, Mike DeWine, Republican, 62.2
Morgan, Mike DeWine, Republican, 65.4
Morrow, Mike DeWine, Republican, 64.5
Muskingum, Mike DeWine, Republican, 62.8
Noble, Mike DeWine, Republican, 63.2
Ottawa, Mike DeWine, Republican, 59.5
Paulding, Mike DeWine, Republican, 60
Perry, Mike DeWine, Republican, 57.7
Pickaway, Mike DeWine, Republican, 68.6
Pike, Mike DeWine, Republican, 52.3
Portage, Mike DeWine, Republican, 56.2
Preble, Mike DeWine, Republican, 70
Putnam, Mike DeWine, Republican, 75.4
Richland, Mike DeWine, Republican, 64.6
Ross, Mike DeWine, Republican, 60.1
Sandusky, Mike DeWine, Republican, 63.9
Scioto, Mike DeWine, Republican, 54.8
Seneca, Mike DeWine, Republican, 67.4
Shelby, Mike DeWine, Republican, 71.3
Stark, Mike DeWine, Republican, 61.2
Summit, Mike DeWine, Republican, 55.9
Trumbull, Ted Celeste, Democrat, 49.3
Tuscarawas, Mike DeWine, Republican, 59.2
Union, Mike DeWine, Republican, 57.5
Van Wert, Mike DeWine, Republican, 69.5
Vinton, Mike DeWine, Republican, 58.6
Warren, Mike DeWine, Republican, 76
Washington, Mike DeWine, Republican, 61.3
Wayne, Mike DeWine, Republican, 69.3
Williams, Mike DeWine, Republican, 70.1
Wood, Mike DeWine, Republican, 63.7
Wyandot, Mike DeWine, Republican, 70.8
