Barbour, Robert Byrd, Democrat, 79.7
Berkeley, Robert Byrd, Democrat, 65.7
Boone, Robert Byrd, Democrat, 86.9
Braxton, Robert Byrd, Democrat, 82.7
Brooke, Robert Byrd, Democrat, 82.8
Cabell, Robert Byrd, Democrat, 76.2
Calhoun, Robert Byrd, Democrat, 77.7
Clay, Robert Byrd, Democrat, 80.6
Doddridge, Robert Byrd, Democrat, 72.5
Fayette, Robert Byrd, Democrat, 82.5
Gilmer, Robert Byrd, Democrat, 79.2
Grant, Robert Byrd, Democrat, 63
Greenbrier, Robert Byrd, Democrat, 77.7
Hampshire, Robert Byrd, Democrat, 66.4
Hancock, Robert Byrd, Democrat, 81.3
Hardy, Robert Byrd, Democrat, 77.2
Harrison, Robert Byrd, Democrat, 84.2
Jackson, Robert Byrd, Democrat, 74
Jefferson, Robert Byrd, Democrat, 69.8
Kanawha, Robert Byrd, Democrat, 75.7
Lewis, Robert Byrd, Democrat, 81.9
Lincoln, Robert Byrd, Democrat, 78.2
Logan, Robert Byrd, Democrat, 86.9
McDowell, Robert Byrd, Democrat, 89.7
Marion, Robert Byrd, Democrat, 85.7
Marshall, Robert Byrd, Democrat, 78.2
Mason, Robert Byrd, Democrat, 78.7
Mercer, Robert Byrd, Democrat, 72.7
Mineral, Robert Byrd, Democrat, 74.4
Mingo, Robert Byrd, Democrat, 87.4
Monongalia, Robert Byrd, Democrat, 80.1
Monroe, Robert Byrd, Democrat, 73.9
Morgan, Robert Byrd, Democrat, 63.5
Nicholas, Robert Byrd, Democrat, 81
Ohio, Robert Byrd, Democrat, 77.8
Pendleton, Robert Byrd, Democrat, 75.4
Pleasants, Robert Byrd, Democrat, 79.3
Pocahontas, Robert Byrd, Democrat, 80.9
Preston, Robert Byrd, Democrat, 78.4
Putnam, Robert Byrd, Democrat, 69.8
Raleigh, Robert Byrd, Democrat, 76.7
Randolph, Robert Byrd, Democrat, 80.8
Ritchie, Robert Byrd, Democrat, 74.2
Roane, Robert Byrd, Democrat, 74.5
Summers, Robert Byrd, Democrat, 79.2
Taylor, Robert Byrd, Democrat, 81.3
Tucker, Robert Byrd, Democrat, 82.7
Tyler, Robert Byrd, Democrat, 76.9
Upshur, Robert Byrd, Democrat, 76.3
Wayne, Robert Byrd, Democrat, 78.5
Webster, Robert Byrd, Democrat, 87.5
Wetzel, Robert Byrd, Democrat, 79.2
Wirt, Robert Byrd, Democrat, 75
Wood, Robert Byrd, Democrat, 75.6
Wyoming, Robert Byrd, Democrat, 82.3
