Beaverhead, Max Baucus, Democrat, 50.8
Big Horn, Max Baucus, Democrat, 74.7
Blaine, Max Baucus, Democrat, 71.9
Broadwater, Max Baucus, Democrat, 56.2
Carbon, Max Baucus, Democrat, 63.8
Carter, Mike Taylor, Republican, 55.5
Cascade, Max Baucus, Democrat, 69.1
Chouteau, Max Baucus, Democrat, 65.6
Custer, Max Baucus, Democrat, 67.5
Daniels, Max Baucus, Democrat, 58.9
Dawson, Max Baucus, Democrat, 63.6
Deer Lodge, Max Baucus, Democrat, 83.7
Fallon, Max Baucus, Democrat, 52.9
Fergus, Max Baucus, Democrat, 49.4
Flathead, Max Baucus, Democrat, 50.9
Gallatin, Max Baucus, Democrat, 59.7
Garfield, Max Baucus, Democrat, 57.3
Glacier, Max Baucus, Democrat, 76.7
Golden Valley, Max Baucus, Democrat, 51.5
Granite, Max Baucus, Democrat, 47
Hill, Max Baucus, Democrat, 72.2
Jefferson, Max Baucus, Democrat, 60.4
Judith Basin, Max Baucus, Democrat, 63.5
Lake, Max Baucus, Democrat, 55.7
Lewis and Clark, Max Baucus, Democrat, 69
Liberty, Max Baucus, Democrat, 65.2
Lincoln, Max Baucus, Democrat, 50.7
McCone, Max Baucus, Democrat, 61
Madison, Max Baucus, Democrat, 52.7
Meagher, Max Baucus, Democrat, 54.9
Mineral, Max Baucus, Democrat, 52.7
Missoula, Max Baucus, Democrat, 66.3
Musselshell, Max Baucus, Democrat, 55.4
Park, Max Baucus, Democrat, 60.2
Petroleum, Max Baucus, Democrat, 53.9
Phillips, Max Baucus, Democrat, 58
Pondera, Max Baucus, Democrat, 63.2
Powder River, Max Baucus, Democrat, 50.8
Powell, Max Baucus, Democrat, 57.4
Prairie, Max Baucus, Democrat, 58.2
Ravalli, Max Baucus, Democrat, 48.6
Richland, Max Baucus, Democrat, 60.5
Roosevelt, Max Baucus, Democrat, 73.8
Rosebud, Max Baucus, Democrat, 71.2
Sanders, Max Baucus, Democrat, 50.9
Sheridan, Max Baucus, Democrat, 69.5
Silver Bow, Max Baucus, Democrat, 80.8
Stillwater, Max Baucus, Democrat, 57.8
Sweet Grass, Mike Taylor, Republican, 48.3
Teton, Max Baucus, Democrat, 62.7
Toole, Max Baucus, Democrat, 62.9
Treasure, Max Baucus, Democrat, 63.9
Valley, Max Baucus, Democrat, 72.4
Wheatland, Max Baucus, Democrat, 60.4
Wibaux, Max Baucus, Democrat, 61.5
Yellowstone, Max Baucus, Democrat, 64.5
