Adams, Ken Salazar, Democrat, 56.4
Alamosa, Ken Salazar, Democrat, 63.6
Arapahoe, Ken Salazar, Democrat, 52.2
Archuleta, Pete Coors, Republican, 52.8
Baca, Pete Coors, Republican, 58.1
Bent, Ken Salazar, Democrat, 52.4
Boulder, Ken Salazar, Democrat, 67.6
Broomfield, Ken Salazar, Democrat, 51.9
Chaffee, Pete Coors, Republican, 49.3
Cheyenne, Pete Coors, Republican, 67.6
Clear Creek, Ken Salazar, Democrat, 56.9
Conejos, Ken Salazar, Democrat, 67.9
Costilla, Ken Salazar, Democrat, 75.9
Crowley, Pete Coors, Republican, 55.7
Custer, Pete Coors, Republican, 60.3
Delta, Pete Coors, Republican, 61
Denver, Ken Salazar, Democrat, 72.5
Dolores, Pete Coors, Republican, 51.6
Douglas, Pete Coors, Republican, 60.8
Eagle, Ken Salazar, Democrat, 55.6
Elbert, Pete Coors, Republican, 66.6
El Paso, Pete Coors, Republican, 63.4
Fremont, Pete Coors, Republican, 59
Garfield, Ken Salazar, Democrat, 48.7
Gilpin, Ken Salazar, Democrat, 57.2
Grand, Pete Coors, Republican, 50.2
Gunnison, Ken Salazar, Democrat, 63.2
Hinsdale, Pete Coors, Republican, 49.3
Huerfano, Ken Salazar, Democrat, 57.5
Jackson, Pete Coors, Republican, 58.8
Jefferson, Ken Salazar, Democrat, 50.9
Kiowa, Pete Coors, Republican, 64.5
Kit Carson, Pete Coors, Republican, 65.8
Lake, Ken Salazar, Democrat, 60.3
La Plata, Ken Salazar, Democrat, 55.8
Larimer, Ken Salazar, Democrat, 50.6
Las Animas, Ken Salazar, Democrat, 57
Lincoln, Pete Coors, Republican, 68.4
Logan, Pete Coors, Republican, 62.2
Mesa, Pete Coors, Republican, 62.2
Mineral, Ken Salazar, Democrat, 55.1
Moffat, Pete Coors, Republican, 61.4
Montezuma, Pete Coors, Republican, 52.8
Montrose, Pete Coors, Republican, 63.3
Morgan, Pete Coors, Republican, 57.9
Otero, Pete Coors, Republican, 49.3
Ouray, Pete Coors, Republican, 49.4
Park, Pete Coors, Republican, 52.1
Phillips, Pete Coors, Republican, 63.2
Pitkin, Ken Salazar, Democrat, 67.4
Prowers, Pete Coors, Republican, 55.6
Pueblo, Ken Salazar, Democrat, 59.1
Rio Blanco, Pete Coors, Republican, 67.1
Rio Grande, Ken Salazar, Democrat, 51.5
Routt, Ken Salazar, Democrat, 58.4
Saguache, Ken Salazar, Democrat, 65.2
San Juan, Ken Salazar, Democrat, 65.6
San Miguel, Ken Salazar, Democrat, 72
Sedgwick, Pete Coors, Republican, 59.6
Summit, Ken Salazar, Democrat, 60.5
Teller, Pete Coors, Republican, 65
Washington, Pete Coors, Republican, 68.2
Weld, Pete Coors, Republican, 54.9
Yuma, Pete Coors, Republican, 64.6
