Allen, Sam Brownback, Republican, 74.6
Anderson, Sam Brownback, Republican, 74.3
Atchison, Sam Brownback, Republican, 66
Barber, Sam Brownback, Republican, 81.3
Barton, Sam Brownback, Republican, 82
Bourbon, Sam Brownback, Republican, 76.2
Brown, Sam Brownback, Republican, 79.8
Butler, Sam Brownback, Republican, 75.8
Chase, Sam Brownback, Republican, 75.6
Chautauqua, Sam Brownback, Republican, 80.5
Cherokee, Sam Brownback, Republican, 72.1
Cheyenne, Sam Brownback, Republican, 85.4
Clark, Sam Brownback, Republican, 84.8
Clay, Sam Brownback, Republican, 86.5
Cloud, Sam Brownback, Republican, 80.5
Coffey, Sam Brownback, Republican, 81.9
Comanche, Sam Brownback, Republican, 85.7
Cowley, Sam Brownback, Republican, 72
Crawford, Sam Brownback, Republican, 65.6
Decatur, Sam Brownback, Republican, 83.1
Dickinson, Sam Brownback, Republican, 79.3
Doniphan, Sam Brownback, Republican, 78.1
Douglas, Sam Brownback, Republican, 50.8
Edwards, Sam Brownback, Republican, 82.6
Elk, Sam Brownback, Republican, 76.3
Ellis, Sam Brownback, Republican, 71.6
Ellsworth, Sam Brownback, Republican, 80.4
Finney, Sam Brownback, Republican, 80.5
Ford, Sam Brownback, Republican, 80.4
Franklin, Sam Brownback, Republican, 70.3
Geary, Sam Brownback, Republican, 70.8
Gove, Sam Brownback, Republican, 86.4
Graham, Sam Brownback, Republican, 80.5
Grant, Sam Brownback, Republican, 82
Gray, Sam Brownback, Republican, 87.7
Greeley, Sam Brownback, Republican, 86
Greenwood, Sam Brownback, Republican, 75.9
Hamilton, Sam Brownback, Republican, 86.1
Harper, Sam Brownback, Republican, 81.8
Harvey, Sam Brownback, Republican, 71.6
Haskell, Sam Brownback, Republican, 89.6
Hodgeman, Sam Brownback, Republican, 87.8
Jackson, Sam Brownback, Republican, 74.5
Jefferson, Sam Brownback, Republican, 70.6
Jewell, Sam Brownback, Republican, 83
Johnson, Sam Brownback, Republican, 64.9
Kearny, Sam Brownback, Republican, 87
Kingman, Sam Brownback, Republican, 82.1
Kiowa, Sam Brownback, Republican, 85.1
Labette, Sam Brownback, Republican, 70.8
Lane, Sam Brownback, Republican, 87.7
Leavenworth, Sam Brownback, Republican, 62.8
Lincoln, Sam Brownback, Republican, 84.1
Linn, Sam Brownback, Republican, 73
Logan, Sam Brownback, Republican, 88.9
Lyon, Sam Brownback, Republican, 68.4
McPherson, Sam Brownback, Republican, 78
Marion, Sam Brownback, Republican, 80.4
Marshall, Sam Brownback, Republican, 77.4
Meade, Sam Brownback, Republican, 87.9
Miami, Sam Brownback, Republican, 68.2
Mitchell, Sam Brownback, Republican, 83.7
Montgomery, Sam Brownback, Republican, 72.1
Morris, Sam Brownback, Republican, 77.9
Morton, Sam Brownback, Republican, 84.7
Nemaha, Sam Brownback, Republican, 83.1
Neosho, Sam Brownback, Republican, 74
Ness, Sam Brownback, Republican, 85.1
Norton, Sam Brownback, Republican, 84.6
Osage, Sam Brownback, Republican, 75
Osborne, Sam Brownback, Republican, 82.4
Ottawa, Sam Brownback, Republican, 83.4
Pawnee, Sam Brownback, Republican, 80.7
Phillips, Sam Brownback, Republican, 84.7
Pottawatomie, Sam Brownback, Republican, 81.2
Pratt, Sam Brownback, Republican, 79.7
Rawlins, Sam Brownback, Republican, 85.2
Reno, Sam Brownback, Republican, 74.3
Republic, Sam Brownback, Republican, 83.9
Rice, Sam Brownback, Republican, 81
Riley, Sam Brownback, Republican, 70
Rooks, Sam Brownback, Republican, 83.7
Rush, Sam Brownback, Republican, 77.9
Russell, Sam Brownback, Republican, 82.6
Saline, Sam Brownback, Republican, 74.2
Scott, Sam Brownback, Republican, 88.9
Sedgwick, Sam Brownback, Republican, 69.6
Seward, Sam Brownback, Republican, 81.4
Shawnee, Sam Brownback, Republican, 67.2
Sheridan, Sam Brownback, Republican, 85.5
Sherman, Sam Brownback, Republican, 82.9
Smith, Sam Brownback, Republican, 83.1
Stafford, Sam Brownback, Republican, 83.1
Stanton, Sam Brownback, Republican, 92.8
Stevens, Sam Brownback, Republican, 90.3
Sumner, Sam Brownback, Republican, 74
Thomas, Sam Brownback, Republican, 83.9
Trego, Sam Brownback, Republican, 81.5
Wabaunsee, Sam Brownback, Republican, 80.4
Wallace, Sam Brownback, Republican, 91
Washington, Sam Brownback, Republican, 86.9
Wichita, Sam Brownback, Republican, 87
Wilson, Sam Brownback, Republican, 79.9
Woodson, Sam Brownback, Republican, 74.8
Wyandotte, Lee Jones, Democrat, 58.8
