Adair, Jim Bunning, Republican, 69.3
Allen, Jim Bunning, Republican, 69.6
Anderson, Jim Bunning, Republican, 50.7
Ballard, Daniel Mongiardo, Democrat, 57.1
Barren, Jim Bunning, Republican, 57.5
Bath, Daniel Mongiardo, Democrat, 63.5
Bell, Daniel Mongiardo, Democrat, 56
Boone, Jim Bunning, Republican, 71.3
Bourbon, Daniel Mongiardo, Democrat, 54
Boyd, Daniel Mongiardo, Democrat, 51.3
Boyle, Jim Bunning, Republican, 51.6
Bracken, Jim Bunning, Republican, 65.5
Breathitt, Daniel Mongiardo, Democrat, 72.3
Breckinridge, Jim Bunning, Republican, 56.6
Bullitt, Jim Bunning, Republican, 56.8
Butler, Jim Bunning, Republican, 69.6
Caldwell, Daniel Mongiardo, Democrat, 50.1
Calloway, Jim Bunning, Republican, 51.4
Campbell, Jim Bunning, Republican, 63.6
Carlisle, Daniel Mongiardo, Democrat, 51.6
Carroll, Daniel Mongiardo, Democrat, 52.4
Carter, Daniel Mongiardo, Democrat, 54.6
Casey, Jim Bunning, Republican, 75.2
Christian, Jim Bunning, Republican, 62.8
Clark, Daniel Mongiardo, Democrat, 51.8
Clay, Jim Bunning, Republican, 62.1
Clinton, Jim Bunning, Republican, 76.8
Crittenden, Jim Bunning, Republican, 55
Cumberland, Jim Bunning, Republican, 72.9
Daviess, Jim Bunning, Republican, 50.5
Edmonson, Jim Bunning, Republican, 62
Elliott, Daniel Mongiardo, Democrat, 71.7
Estill, Jim Bunning, Republican, 54.5
Fayette, Daniel Mongiardo, Democrat, 58.5
Fleming, Jim Bunning, Republican, 52.2
Floyd, Daniel Mongiardo, Democrat, 70.7
Franklin, Daniel Mongiardo, Democrat, 65.7
Fulton, Daniel Mongiardo, Democrat, 53.5
Gallatin, Jim Bunning, Republican, 59.5
Garrard, Jim Bunning, Republican, 59.6
Grant, Jim Bunning, Republican, 64.6
Graves, Daniel Mongiardo, Democrat, 51.9
Grayson, Jim Bunning, Republican, 62
Green, Jim Bunning, Republican, 68.1
Greenup, Daniel Mongiardo, Democrat, 50.2
Hancock, Daniel Mongiardo, Democrat, 52.3
Hardin, Jim Bunning, Republican, 57.2
Harlan, Daniel Mongiardo, Democrat, 68.5
Harrison, Jim Bunning, Republican, 50.2
Hart, Jim Bunning, Republican, 55.8
Henderson, Daniel Mongiardo, Democrat, 53
Henry, Jim Bunning, Republican, 51.9
Hickman, Daniel Mongiardo, Democrat, 51.5
Hopkins, Jim Bunning, Republican, 56.2
Jackson, Jim Bunning, Republican, 77.8
Jefferson, Daniel Mongiardo, Democrat, 59.6
Jessamine, Jim Bunning, Republican, 56.4
Johnson, Jim Bunning, Republican, 58.6
Kenton, Jim Bunning, Republican, 64.9
Knott, Daniel Mongiardo, Democrat, 81.2
Knox, Jim Bunning, Republican, 59.3
Larue, Jim Bunning, Republican, 60.5
Laurel, Jim Bunning, Republican, 67.3
Lawrence, Jim Bunning, Republican, 54.4
Lee, Jim Bunning, Republican, 58.8
Leslie, Jim Bunning, Republican, 51
Letcher, Daniel Mongiardo, Democrat, 68.1
Lewis, Jim Bunning, Republican, 70.2
Lincoln, Jim Bunning, Republican, 56.9
Livingston, Daniel Mongiardo, Democrat, 55.4
Logan, Jim Bunning, Republican, 58.8
Lyon, Daniel Mongiardo, Democrat, 55.3
McCracken, Jim Bunning, Republican, 51.7
McCreary, Jim Bunning, Republican, 70.6
McLean, Daniel Mongiardo, Democrat, 51.2
Madison, Daniel Mongiardo, Democrat, 50.1
Magoffin, Daniel Mongiardo, Democrat, 57.3
Marion, Daniel Mongiardo, Democrat, 58.8
Marshall, Daniel Mongiardo, Democrat, 52.5
Martin, Jim Bunning, Republican, 64.7
Mason, Jim Bunning, Republican, 58.6
Meade, Jim Bunning, Republican, 52.7
Menifee, Daniel Mongiardo, Democrat, 61.1
Mercer, Jim Bunning, Republican, 52.5
Metcalfe, Jim Bunning, Republican, 58.4
Monroe, Jim Bunning, Republican, 77.3
Montgomery, Daniel Mongiardo, Democrat, 57.4
Morgan, Daniel Mongiardo, Democrat, 60.5
Muhlenberg, Daniel Mongiardo, Democrat, 56.2
Nelson, Daniel Mongiardo, Democrat, 51.7
Nicholas, Daniel Mongiardo, Democrat, 57
Ohio, Jim Bunning, Republican, 56.1
Oldham, Jim Bunning, Republican, 59.5
Owen, Jim Bunning, Republican, 58
Owsley, Jim Bunning, Republican, 63.4
Pendleton, Jim Bunning, Republican, 65.2
Perry, Daniel Mongiardo, Democrat, 76.8
Pike, Daniel Mongiardo, Democrat, 61.3
Powell, Daniel Mongiardo, Democrat, 58.9
Pulaski, Jim Bunning, Republican, 67.2
Robertson, Jim Bunning, Republican, 54.4
Rockcastle, Jim Bunning, Republican, 68.6
Rowan, Daniel Mongiardo, Democrat, 59.8
Russell, Jim Bunning, Republican, 69.4
Scott, Daniel Mongiardo, Democrat, 50.7
Shelby, Jim Bunning, Republican, 54
Simpson, Jim Bunning, Republican, 55.5
Spencer, Jim Bunning, Republican, 57.4
Taylor, Jim Bunning, Republican, 62.7
Todd, Jim Bunning, Republican, 63.5
Trigg, Jim Bunning, Republican, 57.7
Trimble, Jim Bunning, Republican, 50.2
Union, Daniel Mongiardo, Democrat, 50.8
Warren, Jim Bunning, Republican, 56.4
Washington, Jim Bunning, Republican, 56.3
Wayne, Jim Bunning, Republican, 60.2
Webster, Daniel Mongiardo, Democrat, 52.4
Whitley, Jim Bunning, Republican, 63.6
Wolfe, Daniel Mongiardo, Democrat, 67.1
Woodford, Daniel Mongiardo, Democrat, 55.9
