Aurora, Tom Daschle, Democrat, 54.4
Beadle, Tom Daschle, Democrat, 55.6
Bennett, Tom Daschle, Democrat, 56.5
Bon Homme, Tom Daschle, Democrat, 52.4
Brookings, Tom Daschle, Democrat, 53.5
Brown, Tom Daschle, Democrat, 57.4
Brule, Tom Daschle, Democrat, 51.9
Buffalo, Tom Daschle, Democrat, 80.9
Butte, John Thune, Republican, 64.5
Campbell, John Thune, Republican, 59.9
Charles Mix, Tom Daschle, Democrat, 55.1
Clark, Tom Daschle, Democrat, 52.9
Clay, Tom Daschle, Democrat, 63.4
Codington, John Thune, Republican, 52.2
Corson, Tom Daschle, Democrat, 63.5
Custer, John Thune, Republican, 62.8
Davison, John Thune, Republican, 50.8
Day, Tom Daschle, Democrat, 64.8
Deuel, Tom Daschle, Democrat, 55.8
Dewey, Tom Daschle, Democrat, 73.1
Douglas, John Thune, Republican, 68.7
Edmunds, John Thune, Republican, 52.2
Fall River, John Thune, Republican, 56.1
Faulk, John Thune, Republican, 54
Grant, Tom Daschle, Democrat, 51.7
Gregory, John Thune, Republican, 55.5
Haakon, John Thune, Republican, 70.2
Hamlin, John Thune, Republican, 54.2
Hand, Tom Daschle, Democrat, 50.8
Hanson, John Thune, Republican, 56.3
Harding, John Thune, Republican, 78.6
Hughes, John Thune, Republican, 56.7
Hutchinson, John Thune, Republican, 61.2
Hyde, John Thune, Republican, 58.4
Jackson, Tom Daschle, Democrat, 50.2
Jerauld, Tom Daschle, Democrat, 57.8
Jones, John Thune, Republican, 71.2
Kingsbury, Tom Daschle, Democrat, 55.1
Lake, Tom Daschle, Democrat, 55.8
Lawrence, John Thune, Republican, 57.9
Lincoln, John Thune, Republican, 56.4
Lyman, Tom Daschle, Democrat, 56.9
McCook, John Thune, Republican, 51
McPherson, John Thune, Republican, 62.8
Marshall, Tom Daschle, Democrat, 59.4
Meade, John Thune, Republican, 64.1
Mellette, Tom Daschle, Democrat, 50.8
Miner, Tom Daschle, Democrat, 60.1
Minnehaha, Tom Daschle, Democrat, 51
Moody, Tom Daschle, Democrat, 58.5
Pennington, John Thune, Republican, 59.2
Perkins, John Thune, Republican, 61.8
Potter, John Thune, Republican, 57.8
Roberts, Tom Daschle, Democrat, 57.9
Sanborn, Tom Daschle, Democrat, 58
Shannon, Tom Daschle, Democrat, 87.3
Spink, Tom Daschle, Democrat, 55.7
Stanley, John Thune, Republican, 55.5
Sully, John Thune, Republican, 64.2
Todd, Tom Daschle, Democrat, 78.8
Tripp, John Thune, Republican, 55.9
Turner, John Thune, Republican, 53.9
Union, John Thune, Republican, 52.5
Walworth, John Thune, Republican, 55.7
Yankton, Tom Daschle, Democrat, 51
Ziebach, Tom Daschle, Democrat, 67.5
