Adams, Trent Lott, Republican, 49.8
Alcorn, Trent Lott, Republican, 67
Amite, Trent Lott, Republican, 59.5
Attala, Trent Lott, Republican, 62.1
Benton, Trent Lott, Republican, 52
Bolivar, Erik R Fleming, Democrat, 54.9
Calhoun, Trent Lott, Republican, 67.9
Carroll, Trent Lott, Republican, 69.5
Chickasaw, Trent Lott, Republican, 53
Choctaw, Trent Lott, Republican, 67.4
Claiborne, Erik R Fleming, Democrat, 73
Clarke, Trent Lott, Republican, 66.8
Clay, Trent Lott, Republican, 50.9
Coahoma, Erik R Fleming, Democrat, 51.1
Copiah, Trent Lott, Republican, 57.4
Covington, Trent Lott, Republican, 67.1
DeSoto, Trent Lott, Republican, 74.6
Forrest, Trent Lott, Republican, 69.5
Franklin, Trent Lott, Republican, 68.7
George, Trent Lott, Republican, 83.7
Greene, Trent Lott, Republican, 79
Grenada, Trent Lott, Republican, 65
Hancock, Trent Lott, Republican, 80.5
Harrison, Trent Lott, Republican, 76.1
Hinds, Erik R Fleming, Democrat, 56.8
Holmes, Erik R Fleming, Democrat, 69.2
Humphreys, Erik R Fleming, Democrat, 60.3
Issaquena, Erik R Fleming, Democrat, 54.3
Itawamba, Trent Lott, Republican, 71.7
Jackson, Trent Lott, Republican, 79.7
Jasper, Trent Lott, Republican, 51.6
Jefferson, Erik R Fleming, Democrat, 74.5
Jefferson Davis, Erik R Fleming, Democrat, 49.8
Jones, Trent Lott, Republican, 75.3
Kemper, Trent Lott, Republican, 53.5
Lafayette, Trent Lott, Republican, 60.8
Lamar, Trent Lott, Republican, 84.7
Lauderdale, Trent Lott, Republican, 73.4
Lawrence, Trent Lott, Republican, 66
Leake, Trent Lott, Republican, 59.3
Lee, Trent Lott, Republican, 68.9
Leflore, Trent Lott, Republican, 51.3
Lincoln, Trent Lott, Republican, 71
Lowndes, Trent Lott, Republican, 66.2
Madison, Trent Lott, Republican, 65.5
Marion, Trent Lott, Republican, 71.2
Marshall, Erik R Fleming, Democrat, 52.8
Monroe, Trent Lott, Republican, 63.2
Montgomery, Trent Lott, Republican, 61.4
Neshoba, Trent Lott, Republican, 78.6
Newton, Trent Lott, Republican, 76.6
Noxubee, Erik R Fleming, Democrat, 57
Oktibbeha, Trent Lott, Republican, 55.3
Panola, Trent Lott, Republican, 56
Pearl River, Trent Lott, Republican, 80.1
Perry, Trent Lott, Republican, 78.6
Pike, Trent Lott, Republican, 58.4
Pontotoc, Trent Lott, Republican, 78.1
Prentiss, Trent Lott, Republican, 70
Quitman, Erik R Fleming, Democrat, 57.5
Rankin, Trent Lott, Republican, 80.7
Scott, Trent Lott, Republican, 65.6
Sharkey, Erik R Fleming, Democrat, 55.3
Simpson, Trent Lott, Republican, 69.4
Smith, Trent Lott, Republican, 80.5
Stone, Trent Lott, Republican, 77.4
Sunflower, Erik R Fleming, Democrat, 54.4
Tallahatchie, Trent Lott, Republican, 53
Tate, Trent Lott, Republican, 64.2
Tippah, Trent Lott, Republican, 72.9
Tishomingo, Trent Lott, Republican, 60.9
Tunica, Erik R Fleming, Democrat, 58.9
Union, Trent Lott, Republican, 73.5
Walthall, Trent Lott, Republican, 65.3
Warren, Trent Lott, Republican, 62.7
Washington, Erik R Fleming, Democrat, 53.5
Wayne, Trent Lott, Republican, 68.7
Webster, Trent Lott, Republican, 78.5
Wilkinson, Erik R Fleming, Democrat, 61
Winston, Trent Lott, Republican, 62.8
Yalobusha, Trent Lott, Republican, 58.2
Yazoo, Trent Lott, Republican, 58.6
