Beaverhead, Conrad Burns, Republican, 63.3
Big Horn, Jon Tester, Democrat, 64.9
Blaine, Jon Tester, Democrat, 52
Broadwater, Conrad Burns, Republican, 61.3
Carbon, Conrad Burns, Republican, 51.3
Carter, Conrad Burns, Republican, 83.2
Cascade, Jon Tester, Democrat, 49.5
Chouteau, Conrad Burns, Republican, 50.3
Custer, Conrad Burns, Republican, 54.9
Daniels, Conrad Burns, Republican, 57.1
Dawson, Conrad Burns, Republican, 56.8
Deer Lodge, Jon Tester, Democrat, 73.2
Fallon, Conrad Burns, Republican, 72.1
Fergus, Conrad Burns, Republican, 61.7
Flathead, Conrad Burns, Republican, 55.9
Gallatin, Conrad Burns, Republican, 49.1
Garfield, Conrad Burns, Republican, 81.5
Glacier, Jon Tester, Democrat, 62.4
Golden Valley, Conrad Burns, Republican, 61.3
Granite, Conrad Burns, Republican, 56.7
Hill, Jon Tester, Democrat, 58.4
Jefferson, Conrad Burns, Republican, 51.5
Judith Basin, Conrad Burns, Republican, 65.9
Lake, Jon Tester, Democrat, 49.3
Lewis and Clark, Jon Tester, Democrat, 54.7
Liberty, Conrad Burns, Republican, 59
Lincoln, Conrad Burns, Republican, 56.2
McCone, Conrad Burns, Republican, 60
Madison, Conrad Burns, Republican, 63.6
Meagher, Conrad Burns, Republican, 65.3
Mineral, Jon Tester, Democrat, 49
Missoula, Jon Tester, Democrat, 64.3
Musselshell, Conrad Burns, Republican, 64.3
Park, Jon Tester, Democrat, 50.6
Petroleum, Conrad Burns, Republican, 67.9
Phillips, Conrad Burns, Republican, 68.9
Pondera, Conrad Burns, Republican, 56.9
Powder River, Conrad Burns, Republican, 72.7
Powell, Conrad Burns, Republican, 55.9
Prairie, Conrad Burns, Republican, 66.5
Ravalli, Conrad Burns, Republican, 54.9
Richland, Conrad Burns, Republican, 61.9
Roosevelt, Jon Tester, Democrat, 57.5
Rosebud, Jon Tester, Democrat, 55.3
Sanders, Conrad Burns, Republican, 51.8
Sheridan, Jon Tester, Democrat, 51.5
Silver Bow, Jon Tester, Democrat, 66.6
Stillwater, Conrad Burns, Republican, 57.1
Sweet Grass, Conrad Burns, Republican, 64.3
Teton, Conrad Burns, Republican, 57.2
Toole, Conrad Burns, Republican, 59.1
Treasure, Conrad Burns, Republican, 59.5
Valley, Conrad Burns, Republican, 54.7
Wheatland, Conrad Burns, Republican, 58.6
Wibaux, Conrad Burns, Republican, 65
Yellowstone, Conrad Burns, Republican, 49.8
