Anderson, Bob Corker, Republican, 52.6
Bedford, Bob Corker, Republican, 52.1
Benton, Harold Ford Jr, Democrat, 58.6
Bledsoe, Bob Corker, Republican, 55.9
Blount, Bob Corker, Republican, 61.3
Bradley, Bob Corker, Republican, 68.3
Campbell, Bob Corker, Republican, 50.1
Cannon, Harold Ford Jr, Democrat, 53.2
Carroll, Bob Corker, Republican, 51.8
Carter, Bob Corker, Republican, 64
Cheatham, Bob Corker, Republican, 53.2
Chester, Bob Corker, Republican, 61.1
Claiborne, Bob Corker, Republican, 53.6
Clay, Harold Ford Jr, Democrat, 57.3
Cocke, Bob Corker, Republican, 61.3
Coffee, Bob Corker, Republican, 52.1
Crockett, Harold Ford Jr, Democrat, 49.8
Cumberland, Bob Corker, Republican, 59.9
Davidson, Harold Ford Jr, Democrat, 60.6
Decatur, Bob Corker, Republican, 49.4
DeKalb, Harold Ford Jr, Democrat, 54
Dickson, Harold Ford Jr, Democrat, 49.8
Dyer, Bob Corker, Republican, 54.9
Fayette, Bob Corker, Republican, 57.6
Fentress, Bob Corker, Republican, 55.6
Franklin, Harold Ford Jr, Democrat, 50.4
Gibson, Bob Corker, Republican, 51
Giles, Harold Ford Jr, Democrat, 50.9
Grainger, Bob Corker, Republican, 58.1
Greene, Bob Corker, Republican, 63.8
Grundy, Harold Ford Jr, Democrat, 60.8
Hamblen, Bob Corker, Republican, 60.6
Hamilton, Bob Corker, Republican, 53
Hancock, Bob Corker, Republican, 59.6
Hardeman, Harold Ford Jr, Democrat, 56.5
Hardin, Bob Corker, Republican, 57.8
Hawkins, Bob Corker, Republican, 58.3
Haywood, Harold Ford Jr, Democrat, 63.4
Henderson, Bob Corker, Republican, 62.2
Henry, Harold Ford Jr, Democrat, 50.4
Hickman, Harold Ford Jr, Democrat, 55.6
Houston, Harold Ford Jr, Democrat, 63.9
Humphreys, Harold Ford Jr, Democrat, 62.4
Jackson, Harold Ford Jr, Democrat, 64
Jefferson, Bob Corker, Republican, 61.6
Johnson, Bob Corker, Republican, 64.8
Knox, Bob Corker, Republican, 55.8
Lake, Harold Ford Jr, Democrat, 62.6
Lauderdale, Harold Ford Jr, Democrat, 56.6
Lawrence, Bob Corker, Republican, 53.7
Lewis, Harold Ford Jr, Democrat, 49.8
Lincoln, Bob Corker, Republican, 55.9
Loudon, Bob Corker, Republican, 65.9
McMinn, Bob Corker, Republican, 61.9
McNairy, Bob Corker, Republican, 55
Macon, Bob Corker, Republican, 54.8
Madison, Bob Corker, Republican, 50.9
Marion, Harold Ford Jr, Democrat, 53.8
Marshall, Harold Ford Jr, Democrat, 51.6
Maury, Bob Corker, Republican, 51.1
Meigs, Bob Corker, Republican, 54.6
Monroe, Bob Corker, Republican, 60
Montgomery, Harold Ford Jr, Democrat, 50.4
Moore, Bob Corker, Republican, 53.8
Morgan, Bob Corker, Republican, 51.4
Obion, Bob Corker, Republican, 50.4
Overton, Harold Ford Jr, Democrat, 59
Perry, Harold Ford Jr, Democrat, 56.7
Pickett, Bob Corker, Republican, 52.5
Polk, Bob Corker, Republican, 51.7
Putnam, Bob Corker, Republican, 50.1
Rhea, Bob Corker, Republican, 60.3
Roane, Bob Corker, Republican, 54.9
Robertson, Bob Corker, Republican, 52.9
Rutherford, Bob Corker, Republican, 54.9
Scott, Bob Corker, Republican, 52.1
Sequatchie, Bob Corker, Republican, 52.2
Sevier, Bob Corker, Republican, 66.7
Shelby, Harold Ford Jr, Democrat, 63.2
Smith, Harold Ford Jr, Democrat, 57.3
Stewart, Harold Ford Jr, Democrat, 59.7
Sullivan, Bob Corker, Republican, 61.5
Sumner, Bob Corker, Republican, 57.9
Tipton, Bob Corker, Republican, 58.2
Trousdale, Harold Ford Jr, Democrat, 64.3
Unicoi, Bob Corker, Republican, 62.4
Union, Bob Corker, Republican, 53.7
Van Buren, Harold Ford Jr, Democrat, 58.2
Warren, Harold Ford Jr, Democrat, 54.7
Washington, Bob Corker, Republican, 61.3
Wayne, Bob Corker, Republican, 60.2
Weakley, Bob Corker, Republican, 53.5
White, Harold Ford Jr, Democrat, 50.7
Williamson, Bob Corker, Republican, 66.9
Wilson, Bob Corker, Republican, 57.8
