Beaver, Orrin Hatch, Republican, 73.6
Box Elder, Orrin Hatch, Republican, 73.8
Cache, Orrin Hatch, Republican, 68.9
Carbon, Orrin Hatch, Republican, 49.4
Daggett, Orrin Hatch, Republican, 72
Davis, Orrin Hatch, Republican, 70.5
Duchesne, Orrin Hatch, Republican, 78.2
Emery, Orrin Hatch, Republican, 72.6
Garfield, Orrin Hatch, Republican, 79.9
Grand, Orrin Hatch, Republican, 48.8
Iron, Orrin Hatch, Republican, 73.8
Juab, Orrin Hatch, Republican, 67.5
Kane, Orrin Hatch, Republican, 72.3
Millard, Orrin Hatch, Republican, 68.6
Morgan, Orrin Hatch, Republican, 75.2
Piute, Orrin Hatch, Republican, 81.1
Rich, Orrin Hatch, Republican, 84.1
Salt Lake, Orrin Hatch, Republican, 50.9
San Juan, Orrin Hatch, Republican, 63.6
Sanpete, Orrin Hatch, Republican, 72
Sevier, Orrin Hatch, Republican, 75.6
Summit, Pete Ashdown, Democrat, 48.2
Tooele, Orrin Hatch, Republican, 64
Uintah, Orrin Hatch, Republican, 78.5
Utah, Orrin Hatch, Republican, 76.2
Wasatch, Orrin Hatch, Republican, 67.6
Washington, Orrin Hatch, Republican, 71.6
Wayne, Orrin Hatch, Republican, 76.3
Weber, Orrin Hatch, Republican, 59.8
