Addison, Bernie Sanders, Independent, 68.9
Bennington, Bernie Sanders, Independent, 61.6
Caledonia, Bernie Sanders, Independent, 60.9
Chittenden, Bernie Sanders, Independent, 64.6
Essex, Bernie Sanders, Independent, 58.7
Franklin, Bernie Sanders, Independent, 61.8
Grand Isle, Bernie Sanders, Independent, 59.3
Lamoille, Bernie Sanders, Independent, 68.6
Orange, Bernie Sanders, Independent, 67.9
Orleans, Bernie Sanders, Independent, 62.2
Rutland, Bernie Sanders, Independent, 61.2
Washington, Bernie Sanders, Independent, 68.9
Windham, Bernie Sanders, Independent, 71.3
Windsor, Bernie Sanders, Independent, 68.5
