Albany, John Barrasso, Republican, 59.1
Big Horn, John Barrasso, Republican, 86.4
Campbell, John Barrasso, Republican, 76.5
Carbon, John Barrasso, Republican, 73.1
Converse, John Barrasso, Republican, 84.5
Crook, John Barrasso, Republican, 83
Fremont, John Barrasso, Republican, 74
Goshen, John Barrasso, Republican, 78.6
Hot Springs, John Barrasso, Republican, 82.7
Johnson, John Barrasso, Republican, 84.9
Laramie, John Barrasso, Republican, 67.7
Lincoln, John Barrasso, Republican, 82.3
Natrona, John Barrasso, Republican, 74.9
Niobrara, John Barrasso, Republican, 87.9
Park, John Barrasso, Republican, 80.1
Platte, John Barrasso, Republican, 74.5
Sheridan, John Barrasso, Republican, 76.1
Sublette, John Barrasso, Republican, 83.8
Sweetwater, John Barrasso, Republican, 69.3
Teton, John Barrasso, Republican, 53.6
Uinta, John Barrasso, Republican, 75.2
Washakie, John Barrasso, Republican, 83.9
Weston, John Barrasso, Republican, 82.9
