Autauga, Richard Shelby, Republican, 77.8
Baldwin, Richard Shelby, Republican, 80.7
Barbour, Richard Shelby, Republican, 51.3
Bibb, Richard Shelby, Republican, 75.4
Blount, Richard Shelby, Republican, 85.3
Bullock, William G Barnes, Democrat, 70.4
Butler, Richard Shelby, Republican, 58.9
Calhoun, Richard Shelby, Republican, 70.1
Chambers, Richard Shelby, Republican, 54.3
Cherokee, Richard Shelby, Republican, 70.3
Chilton, Richard Shelby, Republican, 79.7
Choctaw, Richard Shelby, Republican, 53
Clarke, Richard Shelby, Republican, 57.4
Clay, Richard Shelby, Republican, 73.2
Cleburne, Richard Shelby, Republican, 78.8
Coffee, Richard Shelby, Republican, 77.7
Colbert, Richard Shelby, Republican, 59.4
Conecuh, Richard Shelby, Republican, 52.9
Coosa, Richard Shelby, Republican, 56.5
Covington, Richard Shelby, Republican, 80.7
Crenshaw, Richard Shelby, Republican, 70.9
Cullman, Richard Shelby, Republican, 80.5
Dale, Richard Shelby, Republican, 76.1
Dallas, William G Barnes, Democrat, 65.6
DeKalb, Richard Shelby, Republican, 72.9
Elmore, Richard Shelby, Republican, 78.8
Escambia, Richard Shelby, Republican, 68.5
Etowah, Richard Shelby, Republican, 69.5
Fayette, Richard Shelby, Republican, 73.5
Franklin, Richard Shelby, Republican, 65
Geneva, Richard Shelby, Republican, 81.7
Greene, William G Barnes, Democrat, 81.5
Hale, William G Barnes, Democrat, 60.2
Henry, Richard Shelby, Republican, 66.7
Houston, Richard Shelby, Republican, 74.5
Jackson, Richard Shelby, Republican, 69.5
Jefferson, Richard Shelby, Republican, 53.3
Lamar, Richard Shelby, Republican, 74.6
Lauderdale, Richard Shelby, Republican, 66.1
Lawrence, Richard Shelby, Republican, 61.7
Lee, Richard Shelby, Republican, 63.7
Limestone, Richard Shelby, Republican, 75.4
Lowndes, William G Barnes, Democrat, 69.7
Macon, William G Barnes, Democrat, 83
Madison, Richard Shelby, Republican, 67.6
Marengo, William G Barnes, Democrat, 50.5
Marion, Richard Shelby, Republican, 75.2
Marshall, Richard Shelby, Republican, 81.6
Mobile, Richard Shelby, Republican, 59.7
Monroe, Richard Shelby, Republican, 59.4
Montgomery, William G Barnes, Democrat, 51.5
Morgan, Richard Shelby, Republican, 76.2
Perry, William G Barnes, Democrat, 71.5
Pickens, Richard Shelby, Republican, 58.5
Pike, Richard Shelby, Republican, 63.1
Randolph, Richard Shelby, Republican, 68.3
Russell, William G Barnes, Democrat, 53.1
St. Clair, Richard Shelby, Republican, 83.3
Shelby, Richard Shelby, Republican, 82.6
Sumter, William G Barnes, Democrat, 74
Talladega, Richard Shelby, Republican, 62.2
Tallapoosa, Richard Shelby, Republican, 66
Tuscaloosa, Richard Shelby, Republican, 65.3
Walker, Richard Shelby, Republican, 71
Washington, Richard Shelby, Republican, 63.8
Wilcox, William G Barnes, Democrat, 71.8
Winston, Richard Shelby, Republican, 81.7
