Allegany, Eric Wargotz, Republican, 52.5
Anne Arundel, Barbara Mikulski, Democrat, 51.2
Baltimore, Barbara Mikulski, Democrat, 58.3
Calvert, Eric Wargotz, Republican, 49.5
Caroline, Eric Wargotz, Republican, 51.9
Carroll, Eric Wargotz, Republican, 62.5
Cecil, Eric Wargotz, Republican, 52.5
Charles, Barbara Mikulski, Democrat, 64.9
Dorchester, Barbara Mikulski, Democrat, 56
Frederick, Eric Wargotz, Republican, 50.8
Garrett, Eric Wargotz, Republican, 61.2
Harford, Eric Wargotz, Republican, 54
Howard, Barbara Mikulski, Democrat, 59.7
Kent, Barbara Mikulski, Democrat, 56
Montgomery, Barbara Mikulski, Democrat, 70.7
Prince George's, Barbara Mikulski, Democrat, 89.1
Queen Anne's, Eric Wargotz, Republican, 53.7
St. Mary's, Eric Wargotz, Republican, 50.8
Somerset, Barbara Mikulski, Democrat, 54
Talbot, Barbara Mikulski, Democrat, 49.3
Washington, Eric Wargotz, Republican, 52.6
Wicomico, Barbara Mikulski, Democrat, 49.9
Worcester, Eric Wargotz, Republican, 50
Baltimore City, Barbara Mikulski, Democrat, 86.6
