Albany, Kirsten Gillibrand, Democrat, 65.9
Allegany, Joe DioGuardi, Republican, 51
Bronx, Kirsten Gillibrand, Democrat, 87.5
Broome, Kirsten Gillibrand, Democrat, 56.1
Cattaraugus, Kirsten Gillibrand, Democrat, 51.5
Cayuga, Kirsten Gillibrand, Democrat, 54.4
Chautauqua, Kirsten Gillibrand, Democrat, 54
Chemung, Kirsten Gillibrand, Democrat, 56.4
Chenango, Kirsten Gillibrand, Democrat, 51.9
Clinton, Kirsten Gillibrand, Democrat, 61.1
Columbia, Kirsten Gillibrand, Democrat, 63.4
Cortland, Kirsten Gillibrand, Democrat, 55.2
Delaware, Kirsten Gillibrand, Democrat, 52.7
Dutchess, Kirsten Gillibrand, Democrat, 54.7
Erie, Kirsten Gillibrand, Democrat, 60.9
Essex, Kirsten Gillibrand, Democrat, 61
Franklin, Kirsten Gillibrand, Democrat, 62
Fulton, Kirsten Gillibrand, Democrat, 49.3
Genesee, Joe DioGuardi, Republican, 50.5
Greene, Kirsten Gillibrand, Democrat, 52.1
Hamilton, Joe DioGuardi, Republican, 51.4
Herkimer, Kirsten Gillibrand, Democrat, 56.6
Jefferson, Kirsten Gillibrand, Democrat, 60.1
Kings, Kirsten Gillibrand, Democrat, 79.4
Lewis, Kirsten Gillibrand, Democrat, 54.9
Livingston, Kirsten Gillibrand, Democrat, 49.1
Madison, Kirsten Gillibrand, Democrat, 53.8
Monroe, Kirsten Gillibrand, Democrat, 57.5
Montgomery, Kirsten Gillibrand, Democrat, 52.8
Nassau, Kirsten Gillibrand, Democrat, 53.4
New York, Kirsten Gillibrand, Democrat, 83.2
Niagara, Kirsten Gillibrand, Democrat, 54.7
Oneida, Kirsten Gillibrand, Democrat, 57.4
Onondaga, Kirsten Gillibrand, Democrat, 59.9
Ontario, Kirsten Gillibrand, Democrat, 51.8
Orange, Kirsten Gillibrand, Democrat, 54.3
Orleans, Joe DioGuardi, Republican, 50.7
Oswego, Kirsten Gillibrand, Democrat, 54.4
Otsego, Kirsten Gillibrand, Democrat, 57.5
Putnam, Joe DioGuardi, Republican, 50.2
Queens, Kirsten Gillibrand, Democrat, 75.8
Rensselaer, Kirsten Gillibrand, Democrat, 59.4
Richmond, Kirsten Gillibrand, Democrat, 51
Rockland, Kirsten Gillibrand, Democrat, 56.5
St. Lawrence, Kirsten Gillibrand, Democrat, 65.2
Saratoga, Kirsten Gillibrand, Democrat, 56.1
Schenectady, Kirsten Gillibrand, Democrat, 58.8
Schoharie, Kirsten Gillibrand, Democrat, 50.7
Schuyler, Kirsten Gillibrand, Democrat, 52.5
Seneca, Kirsten Gillibrand, Democrat, 53.5
Steuben, Kirsten Gillibrand, Democrat, 49.7
Suffolk, Kirsten Gillibrand, Democrat, 52.7
Sullivan, Kirsten Gillibrand, Democrat, 57
Tioga, Joe DioGuardi, Republican, 50
Tompkins, Kirsten Gillibrand, Democrat, 69.6
Ulster, Kirsten Gillibrand, Democrat, 61.6
Warren, Kirsten Gillibrand, Democrat, 61.3
Washington, Kirsten Gillibrand, Democrat, 61.3
Wayne, Joe DioGuardi, Republican, 50.3
Westchester, Kirsten Gillibrand, Democrat, 60
Wyoming, Joe DioGuardi, Republican, 51.7
Yates, Kirsten Gillibrand, Democrat, 49.1
