Alamance, Richard Burr, Republican, 60.3
Alexander, Richard Burr, Republican, 66.3
Alleghany, Richard Burr, Republican, 62.9
Anson, Elaine Marshall, Democrat, 59.8
Ashe, Richard Burr, Republican, 62.4
Avery, Richard Burr, Republican, 75.2
Beaufort, Richard Burr, Republican, 61.7
Bertie, Elaine Marshall, Democrat, 59.4
Bladen, Elaine Marshall, Democrat, 51.9
Brunswick, Richard Burr, Republican, 64.7
Buncombe, Elaine Marshall, Democrat, 50.2
Burke, Richard Burr, Republican, 60.5
Cabarrus, Richard Burr, Republican, 64.4
Caldwell, Richard Burr, Republican, 65.4
Camden, Richard Burr, Republican, 64.8
Carteret, Richard Burr, Republican, 71.7
Caswell, Richard Burr, Republican, 50.2
Catawba, Richard Burr, Republican, 66.9
Chatham, Elaine Marshall, Democrat, 50.1
Cherokee, Richard Burr, Republican, 65
Chowan, Richard Burr, Republican, 57.1
Clay, Richard Burr, Republican, 63.2
Cleveland, Richard Burr, Republican, 59.4
Columbus, Richard Burr, Republican, 52.4
Craven, Richard Burr, Republican, 63.6
Cumberland, Elaine Marshall, Democrat, 53.1
Currituck, Richard Burr, Republican, 68.7
Dare, Richard Burr, Republican, 62
Davidson, Richard Burr, Republican, 70.6
Davie, Richard Burr, Republican, 73.9
Duplin, Richard Burr, Republican, 55.2
Durham, Elaine Marshall, Democrat, 71.5
Edgecombe, Elaine Marshall, Democrat, 64.1
Forsyth, Richard Burr, Republican, 54.9
Franklin, Richard Burr, Republican, 52
Gaston, Richard Burr, Republican, 66.3
Gates, Richard Burr, Republican, 51.4
Graham, Richard Burr, Republican, 62.3
Granville, Richard Burr, Republican, 49.1
Greene, Richard Burr, Republican, 52.1
Guilford, Richard Burr, Republican, 50.2
Halifax, Elaine Marshall, Democrat, 61.5
Harnett, Richard Burr, Republican, 59.2
Haywood, Richard Burr, Republican, 56.2
Henderson, Richard Burr, Republican, 66.2
Hertford, Elaine Marshall, Democrat, 67.6
Hoke, Elaine Marshall, Democrat, 55.5
Hyde, Richard Burr, Republican, 51.2
Iredell, Richard Burr, Republican, 67.3
Jackson, Richard Burr, Republican, 51
Johnston, Richard Burr, Republican, 65.8
Jones, Richard Burr, Republican, 54.3
Lee, Richard Burr, Republican, 56.7
Lenoir, Richard Burr, Republican, 52.1
Lincoln, Richard Burr, Republican, 67.5
McDowell, Richard Burr, Republican, 66.2
Macon, Richard Burr, Republican, 62.3
Madison, Richard Burr, Republican, 50.2
Martin, Elaine Marshall, Democrat, 52
Mecklenburg, Elaine Marshall, Democrat, 52.3
Mitchell, Richard Burr, Republican, 76.1
Montgomery, Richard Burr, Republican, 55.7
Moore, Richard Burr, Republican, 66.1
Nash, Richard Burr, Republican, 52.3
New Hanover, Richard Burr, Republican, 58.5
Northampton, Elaine Marshall, Democrat, 61.8
Onslow, Richard Burr, Republican, 65.6
Orange, Elaine Marshall, Democrat, 67.7
Pamlico, Richard Burr, Republican, 60.1
Pasquotank, Elaine Marshall, Democrat, 50.4
Pender, Richard Burr, Republican, 62.2
Perquimans, Richard Burr, Republican, 62.3
Person, Richard Burr, Republican, 54.4
Pitt, Richard Burr, Republican, 51.1
Polk, Richard Burr, Republican, 57.6
Randolph, Richard Burr, Republican, 76.5
Richmond, Elaine Marshall, Democrat, 53
Robeson, Elaine Marshall, Democrat, 52.5
Rockingham, Richard Burr, Republican, 63.4
Rowan, Richard Burr, Republican, 64.2
Rutherford, Richard Burr, Republican, 67.5
Sampson, Richard Burr, Republican, 55.9
Scotland, Elaine Marshall, Democrat, 55
Stanly, Richard Burr, Republican, 69.8
Stokes, Richard Burr, Republican, 71.7
Surry, Richard Burr, Republican, 67.4
Swain, Richard Burr, Republican, 51.3
Transylvania, Richard Burr, Republican, 58.1
Tyrrell, Richard Burr, Republican, 52.1
Union, Richard Burr, Republican, 69.4
Vance, Elaine Marshall, Democrat, 58.5
Wake, Richard Burr, Republican, 49.3
Warren, Elaine Marshall, Democrat, 65
Washington, Elaine Marshall, Democrat, 54.7
Watauga, Richard Burr, Republican, 55.2
Wayne, Richard Burr, Republican, 59.3
Wilkes, Richard Burr, Republican, 67.9
Wilson, Elaine Marshall, Democrat, 51.5
Yadkin, Richard Burr, Republican, 77
Yancey, Richard Burr, Republican, 53.9
