Adams, Rob Portman, Republican, 73.2
Allen, Rob Portman, Republican, 68
Ashland, Rob Portman, Republican, 70.9
Ashtabula, Rob Portman, Republican, 51
Athens, Lee Fisher, Democrat, 59.3
Auglaize, Rob Portman, Republican, 76.5
Belmont, Rob Portman, Republican, 48.9
Brown, Rob Portman, Republican, 74
Butler, Rob Portman, Republican, 70.4
Carroll, Rob Portman, Republican, 59.7
Champaign, Rob Portman, Republican, 68.9
Clark, Rob Portman, Republican, 59.7
Clermont, Rob Portman, Republican, 77.6
Clinton, Rob Portman, Republican, 75.7
Columbiana, Rob Portman, Republican, 58.3
Coshocton, Rob Portman, Republican, 60.2
Crawford, Rob Portman, Republican, 66.6
Cuyahoga, Lee Fisher, Democrat, 56.6
Darke, Rob Portman, Republican, 75
Defiance, Rob Portman, Republican, 63.6
Delaware, Rob Portman, Republican, 70.7
Erie, Rob Portman, Republican, 53.4
Fairfield, Rob Portman, Republican, 66.7
Fayette, Rob Portman, Republican, 70.5
Franklin, Rob Portman, Republican, 49.1
Fulton, Rob Portman, Republican, 66.2
Gallia, Rob Portman, Republican, 62.3
Geauga, Rob Portman, Republican, 67.9
Greene, Rob Portman, Republican, 67.7
Guernsey, Rob Portman, Republican, 60
Hamilton, Rob Portman, Republican, 58.2
Hancock, Rob Portman, Republican, 73.4
Hardin, Rob Portman, Republican, 66.6
Harrison, Rob Portman, Republican, 51.5
Henry, Rob Portman, Republican, 69.4
Highland, Rob Portman, Republican, 72.1
Hocking, Rob Portman, Republican, 57.3
Holmes, Rob Portman, Republican, 77
Huron, Rob Portman, Republican, 64
Jackson, Rob Portman, Republican, 61.3
Jefferson, Rob Portman, Republican, 49.4
Knox, Rob Portman, Republican, 68
Lake, Rob Portman, Republican, 60.2
Lawrence, Rob Portman, Republican, 57.7
Licking, Rob Portman, Republican, 65.2
Logan, Rob Portman, Republican, 73.2
Lorain, Rob Portman, Republican, 51.3
Lucas, Lee Fisher, Democrat, 52.7
Madison, Rob Portman, Republican, 69.8
Mahoning, Lee Fisher, Democrat, 56.8
Marion, Rob Portman, Republican, 62.2
Medina, Rob Portman, Republican, 65
Meigs, Rob Portman, Republican, 59.3
Mercer, Rob Portman, Republican, 76.4
Miami, Rob Portman, Republican, 73.5
Monroe, Lee Fisher, Democrat, 52
Montgomery, Rob Portman, Republican, 55.5
Morgan, Rob Portman, Republican, 61.1
Morrow, Rob Portman, Republican, 68.6
Muskingum, Rob Portman, Republican, 62.6
Noble, Rob Portman, Republican, 58.5
Ottawa, Rob Portman, Republican, 58.1
Paulding, Rob Portman, Republican, 62
Perry, Rob Portman, Republican, 58.7
Pickaway, Rob Portman, Republican, 66.7
Pike, Rob Portman, Republican, 53.4
Portage, Rob Portman, Republican, 54.1
Preble, Rob Portman, Republican, 71.9
Putnam, Rob Portman, Republican, 75.4
Richland, Rob Portman, Republican, 63.3
Ross, Rob Portman, Republican, 58.3
Sandusky, Rob Portman, Republican, 60.8
Scioto, Rob Portman, Republican, 56.1
Seneca, Rob Portman, Republican, 62.5
Shelby, Rob Portman, Republican, 75.2
Stark, Rob Portman, Republican, 57.1
Summit, Rob Portman, Republican, 49.9
Trumbull, Lee Fisher, Democrat, 52.5
Tuscarawas, Rob Portman, Republican, 57.4
Union, Rob Portman, Republican, 73.4
Van Wert, Rob Portman, Republican, 72.3
Vinton, Rob Portman, Republican, 53.9
Warren, Rob Portman, Republican, 76.7
Washington, Rob Portman, Republican, 59.8
Wayne, Rob Portman, Republican, 67.5
Williams, Rob Portman, Republican, 67.4
Wood, Rob Portman, Republican, 58.1
Wyandot, Rob Portman, Republican, 69.6
