Adams, Dino Rossi, Republican, 72.7
Asotin, Dino Rossi, Republican, 60.8
Benton, Dino Rossi, Republican, 64.3
Chelan, Dino Rossi, Republican, 63.2
Clallam, Dino Rossi, Republican, 53
Clark, Dino Rossi, Republican, 54.2
Columbia, Dino Rossi, Republican, 68.8
Cowlitz, Dino Rossi, Republican, 52.9
Douglas, Dino Rossi, Republican, 67.3
Ferry, Dino Rossi, Republican, 64
Franklin, Dino Rossi, Republican, 65.5
Garfield, Dino Rossi, Republican, 70.7
Grant, Dino Rossi, Republican, 71
Grays Harbor, Patty Murray, Democrat, 51.7
Island, Dino Rossi, Republican, 50.3
Jefferson, Patty Murray, Democrat, 63
King, Patty Murray, Democrat, 64.9
Kitsap, Patty Murray, Democrat, 51.2
Kittitas, Dino Rossi, Republican, 61.4
Klickitat, Dino Rossi, Republican, 57.1
Lewis, Dino Rossi, Republican, 66.3
Lincoln, Dino Rossi, Republican, 68.8
Mason, Dino Rossi, Republican, 51
Okanogan, Dino Rossi, Republican, 60.6
Pacific, Patty Murray, Democrat, 53.1
Pend Oreille, Dino Rossi, Republican, 62.4
Pierce, Dino Rossi, Republican, 50.2
San Juan, Patty Murray, Democrat, 65.2
Skagit, Dino Rossi, Republican, 51.4
Skamania, Dino Rossi, Republican, 53.3
Snohomish, Patty Murray, Democrat, 51.9
Spokane, Dino Rossi, Republican, 56.3
Stevens, Dino Rossi, Republican, 67.2
Thurston, Patty Murray, Democrat, 56.2
Wahkiakum, Dino Rossi, Republican, 54.9
Walla Walla, Dino Rossi, Republican, 61.2
Whatcom, Patty Murray, Democrat, 52.5
Whitman, Dino Rossi, Republican, 57
Yakima, Dino Rossi, Republican, 63.2
