Allegany, Dan Bongino, Republican, 51.5
Anne Arundel, Ben Cardin, Democrat, 42.6
Baltimore, Ben Cardin, Democrat, 52.5
Calvert, Ben Cardin, Democrat, 39.4
Caroline, Dan Bongino, Republican, 45.2
Carroll, Dan Bongino, Republican, 48.9
Cecil, Dan Bongino, Republican, 44.8
Charles, Ben Cardin, Democrat, 58.2
Dorchester, Ben Cardin, Democrat, 44.3
Frederick, Dan Bongino, Republican, 42.8
Garrett, Dan Bongino, Republican, 66.8
Harford, Dan Bongino, Republican, 36.8
Howard, Ben Cardin, Democrat, 53.7
Kent, Ben Cardin, Democrat, 44.5
Montgomery, Ben Cardin, Democrat, 66.2
Prince George's, Ben Cardin, Democrat, 81.4
Queen Anne's, Dan Bongino, Republican, 51.2
St. Mary's, Dan Bongino, Republican, 42.5
Somerset, Ben Cardin, Democrat, 46.7
Talbot, Dan Bongino, Republican, 44.9
Washington, Dan Bongino, Republican, 46.5
Wicomico, Ben Cardin, Democrat, 41.4
Worcester, Dan Bongino, Republican, 42.2
Baltimore City, Ben Cardin, Democrat, 77.2
