Adams, Albert N Gore, Democrat, 56.5
Alcorn, Roger Wicker, Republican, 72.1
Amite, Roger Wicker, Republican, 57.8
Attala, Roger Wicker, Republican, 58
Benton, Roger Wicker, Republican, 50.6
Bolivar, Albert N Gore, Democrat, 60.5
Calhoun, Roger Wicker, Republican, 66.5
Carroll, Roger Wicker, Republican, 67.8
Chickasaw, Roger Wicker, Republican, 50.9
Choctaw, Roger Wicker, Republican, 68.3
Claiborne, Albert N Gore, Democrat, 80.7
Clarke, Roger Wicker, Republican, 62.4
Clay, Albert N Gore, Democrat, 56.1
Coahoma, Albert N Gore, Democrat, 69.7
Copiah, Albert N Gore, Democrat, 49.7
Covington, Roger Wicker, Republican, 59.8
DeSoto, Roger Wicker, Republican, 65.1
Forrest, Roger Wicker, Republican, 56.4
Franklin, Roger Wicker, Republican, 61.6
George, Roger Wicker, Republican, 77.9
Greene, Roger Wicker, Republican, 68.7
Grenada, Roger Wicker, Republican, 53.5
Hancock, Roger Wicker, Republican, 71.7
Harrison, Roger Wicker, Republican, 64.3
Hinds, Albert N Gore, Democrat, 67.3
Holmes, Albert N Gore, Democrat, 76.3
Humphreys, Albert N Gore, Democrat, 66.4
Issaquena, Albert N Gore, Democrat, 53.9
Itawamba, Roger Wicker, Republican, 80.1
Jackson, Roger Wicker, Republican, 66.5
Jasper, Albert N Gore, Democrat, 50.5
Jefferson, Albert N Gore, Democrat, 80.3
Jefferson Davis, Albert N Gore, Democrat, 56.1
Jones, Roger Wicker, Republican, 68.1
Kemper, Albert N Gore, Democrat, 55.4
Lafayette, Roger Wicker, Republican, 59.1
Lamar, Roger Wicker, Republican, 76.4
Lauderdale, Roger Wicker, Republican, 60.4
Lawrence, Roger Wicker, Republican, 62.2
Leake, Roger Wicker, Republican, 56.7
Lee, Roger Wicker, Republican, 66.2
Leflore, Albert N Gore, Democrat, 64.5
Lincoln, Roger Wicker, Republican, 65.9
Lowndes, Roger Wicker, Republican, 52.8
Madison, Roger Wicker, Republican, 60.9
Marion, Roger Wicker, Republican, 63.5
Marshall, Albert N Gore, Democrat, 56.9
Monroe, Roger Wicker, Republican, 60.3
Montgomery, Roger Wicker, Republican, 55
Neshoba, Roger Wicker, Republican, 71.3
Newton, Roger Wicker, Republican, 66.5
Noxubee, Albert N Gore, Democrat, 69.5
Oktibbeha, Roger Wicker, Republican, 52
Panola, Albert N Gore, Democrat, 51.2
Pearl River, Roger Wicker, Republican, 73.4
Perry, Roger Wicker, Republican, 70.8
Pike, Albert N Gore, Democrat, 49.5
Pontotoc, Roger Wicker, Republican, 78.6
Prentiss, Roger Wicker, Republican, 71.1
Quitman, Albert N Gore, Democrat, 65.7
Rankin, Roger Wicker, Republican, 76.7
Scott, Roger Wicker, Republican, 56.8
Sharkey, Albert N Gore, Democrat, 60.6
Simpson, Roger Wicker, Republican, 62.3
Smith, Roger Wicker, Republican, 74
Stone, Roger Wicker, Republican, 71.9
Sunflower, Albert N Gore, Democrat, 66.1
Tallahatchie, Albert N Gore, Democrat, 53.5
Tate, Roger Wicker, Republican, 58.5
Tippah, Roger Wicker, Republican, 71.5
Tishomingo, Roger Wicker, Republican, 75.7
Tunica, Albert N Gore, Democrat, 73.1
Union, Roger Wicker, Republican, 77.1
Walthall, Roger Wicker, Republican, 55.6
Warren, Roger Wicker, Republican, 51.9
Washington, Albert N Gore, Democrat, 64.2
Wayne, Roger Wicker, Republican, 57.4
Webster, Roger Wicker, Republican, 76.5
Wilkinson, Albert N Gore, Democrat, 65.5
Winston, Roger Wicker, Republican, 53.8
Yalobusha, Roger Wicker, Republican, 54.1
Yazoo, Albert N Gore, Democrat, 49.9
