Beaverhead, Denny Rehberg, Republican, 59.8
Big Horn, Jon Tester, Democrat, 67.4
Blaine, Jon Tester, Democrat, 63.9
Broadwater, Denny Rehberg, Republican, 57.5
Carbon, Denny Rehberg, Republican, 47.6
Carter, Denny Rehberg, Republican, 77.6
Cascade, Jon Tester, Democrat, 52.5
Chouteau, Jon Tester, Democrat, 48.2
Custer, Denny Rehberg, Republican, 49.3
Daniels, Denny Rehberg, Republican, 60.5
Dawson, Denny Rehberg, Republican, 56.5
Deer Lodge, Jon Tester, Democrat, 69.5
Fallon, Denny Rehberg, Republican, 59.3
Fergus, Denny Rehberg, Republican, 58.1
Flathead, Denny Rehberg, Republican, 55.4
Gallatin, Jon Tester, Democrat, 51.6
Garfield, Denny Rehberg, Republican, 79
Glacier, Jon Tester, Democrat, 69.6
Golden Valley, Denny Rehberg, Republican, 57.5
Granite, Denny Rehberg, Republican, 52.5
Hill, Jon Tester, Democrat, 58.9
Jefferson, Denny Rehberg, Republican, 51.7
Judith Basin, Denny Rehberg, Republican, 57.1
Lake, Jon Tester, Democrat, 49.3
Lewis and Clark, Jon Tester, Democrat, 54.3
Liberty, Denny Rehberg, Republican, 57.1
Lincoln, Denny Rehberg, Republican, 56.9
McCone, Denny Rehberg, Republican, 61.1
Madison, Denny Rehberg, Republican, 58.9
Meagher, Denny Rehberg, Republican, 55.6
Mineral, Denny Rehberg, Republican, 47.4
Missoula, Jon Tester, Democrat, 63.5
Musselshell, Denny Rehberg, Republican, 61.1
Park, Jon Tester, Democrat, 48.2
Petroleum, Denny Rehberg, Republican, 67.6
Phillips, Denny Rehberg, Republican, 65.6
Pondera, Denny Rehberg, Republican, 49.7
Powder River, Denny Rehberg, Republican, 70.1
Powell, Denny Rehberg, Republican, 51.2
Prairie, Denny Rehberg, Republican, 59.3
Ravalli, Denny Rehberg, Republican, 53.9
Richland, Denny Rehberg, Republican, 63
Roosevelt, Jon Tester, Democrat, 61.4
Rosebud, Jon Tester, Democrat, 48
Sanders, Denny Rehberg, Republican, 54
Sheridan, Denny Rehberg, Republican, 51.7
Silver Bow, Jon Tester, Democrat, 69.3
Stillwater, Denny Rehberg, Republican, 56.8
Sweet Grass, Denny Rehberg, Republican, 62.7
Teton, Denny Rehberg, Republican, 53.1
Toole, Denny Rehberg, Republican, 57
Treasure, Denny Rehberg, Republican, 54.5
Valley, Denny Rehberg, Republican, 46.9
Wheatland, Denny Rehberg, Republican, 56.4
Wibaux, Denny Rehberg, Republican, 62.3
Yellowstone, Jon Tester, Democrat, 47.1
