Adams, Deb Fischer, Republican, 64.6
Antelope, Deb Fischer, Republican, 81.3
Arthur, Deb Fischer, Republican, 86.7
Banner, Deb Fischer, Republican, 84.9
Blaine, Deb Fischer, Republican, 89.2
Boone, Deb Fischer, Republican, 76.3
Box Butte, Deb Fischer, Republican, 60.4
Boyd, Deb Fischer, Republican, 80.4
Brown, Deb Fischer, Republican, 86.8
Buffalo, Deb Fischer, Republican, 70
Burt, Deb Fischer, Republican, 59.5
Butler, Deb Fischer, Republican, 68.9
Cass, Deb Fischer, Republican, 59.3
Cedar, Deb Fischer, Republican, 70.3
Chase, Deb Fischer, Republican, 83.6
Cherry, Deb Fischer, Republican, 77.9
Cheyenne, Deb Fischer, Republican, 72.5
Clay, Deb Fischer, Republican, 74.5
Colfax, Deb Fischer, Republican, 65.2
Cuming, Deb Fischer, Republican, 73
Custer, Deb Fischer, Republican, 80.8
Dakota, Bob Kerrey, Democrat, 54.4
Dawes, Deb Fischer, Republican, 64.9
Dawson, Deb Fischer, Republican, 69.5
Deuel, Deb Fischer, Republican, 75
Dixon, Deb Fischer, Republican, 60.2
Dodge, Deb Fischer, Republican, 59.3
Douglas, Bob Kerrey, Democrat, 51.7
Dundy, Deb Fischer, Republican, 78.3
Fillmore, Deb Fischer, Republican, 67.2
Franklin, Deb Fischer, Republican, 72.6
Frontier, Deb Fischer, Republican, 77.1
Furnas, Deb Fischer, Republican, 77.4
Gage, Deb Fischer, Republican, 53.7
Garden, Deb Fischer, Republican, 75.8
Garfield, Deb Fischer, Republican, 82
Gosper, Deb Fischer, Republican, 75.3
Grant, Deb Fischer, Republican, 83.5
Greeley, Deb Fischer, Republican, 69.6
Hall, Deb Fischer, Republican, 61.3
Hamilton, Deb Fischer, Republican, 72.3
Harlan, Deb Fischer, Republican, 75.6
Hayes, Deb Fischer, Republican, 83.5
Hitchcock, Deb Fischer, Republican, 75
Holt, Deb Fischer, Republican, 79.2
Hooker, Deb Fischer, Republican, 82.8
Howard, Deb Fischer, Republican, 67.7
Jefferson, Deb Fischer, Republican, 60
Johnson, Deb Fischer, Republican, 55.8
Kearney, Deb Fischer, Republican, 74.1
Keith, Deb Fischer, Republican, 73.8
Keya Paha, Deb Fischer, Republican, 84.6
Kimball, Deb Fischer, Republican, 73.4
Knox, Deb Fischer, Republican, 71.5
Lancaster, Bob Kerrey, Democrat, 53.9
Lincoln, Deb Fischer, Republican, 66
Logan, Deb Fischer, Republican, 82.4
Loup, Deb Fischer, Republican, 78.7
McPherson, Deb Fischer, Republican, 86.3
Madison, Deb Fischer, Republican, 72.9
Merrick, Deb Fischer, Republican, 71.4
Morrill, Deb Fischer, Republican, 76.2
Nance, Deb Fischer, Republican, 66.4
Nemaha, Deb Fischer, Republican, 59.1
Nuckolls, Deb Fischer, Republican, 70.2
Otoe, Deb Fischer, Republican, 58.6
Pawnee, Deb Fischer, Republican, 64.1
Perkins, Deb Fischer, Republican, 78.6
Phelps, Deb Fischer, Republican, 77
Pierce, Deb Fischer, Republican, 79.6
Platte, Deb Fischer, Republican, 73.1
Polk, Deb Fischer, Republican, 74.7
Red Willow, Deb Fischer, Republican, 75.3
Richardson, Deb Fischer, Republican, 62.1
Rock, Deb Fischer, Republican, 86.9
Saline, Bob Kerrey, Democrat, 51.7
Sarpy, Deb Fischer, Republican, 57.6
Saunders, Deb Fischer, Republican, 63.7
Scotts Bluff, Deb Fischer, Republican, 65
Seward, Deb Fischer, Republican, 63.2
Sheridan, Deb Fischer, Republican, 80.2
Sherman, Deb Fischer, Republican, 63.2
Sioux, Deb Fischer, Republican, 82.8
Stanton, Deb Fischer, Republican, 75
Thayer, Deb Fischer, Republican, 65.8
Thomas, Deb Fischer, Republican, 85.2
Thurston, Bob Kerrey, Democrat, 59.6
Valley, Deb Fischer, Republican, 72.9
Washington, Deb Fischer, Republican, 65.5
Wayne, Deb Fischer, Republican, 67.6
Webster, Deb Fischer, Republican, 69.7
Wheeler, Deb Fischer, Republican, 79.8
York, Deb Fischer, Republican, 74.8
