Churchill, Dean Heller, Republican, 69.6
Clark, Shelley Berkley, Democrat, 50
Douglas, Dean Heller, Republican, 64.5
Elko, Dean Heller, Republican, 74.8
Esmeralda, Dean Heller, Republican, 71
Eureka, Dean Heller, Republican, 79.1
Humboldt, Dean Heller, Republican, 68.1
Lander, Dean Heller, Republican, 72.9
Lincoln, Dean Heller, Republican, 71.9
Lyon, Dean Heller, Republican, 64.4
Mineral, Dean Heller, Republican, 52.4
Nye, Dean Heller, Republican, 55.4
Pershing, Dean Heller, Republican, 64.3
Storey, Dean Heller, Republican, 59.5
Washoe, Dean Heller, Republican, 50.5
White Pine, Dean Heller, Republican, 69.6
Carson City, Dean Heller, Republican, 58.3
