Albany, Kirsten Gillibrand, Democrat, 75.1
Allegany, Wendy Long, Republican, 50.8
Bronx, Kirsten Gillibrand, Democrat, 93.1
Broome, Kirsten Gillibrand, Democrat, 64.4
Cattaraugus, Kirsten Gillibrand, Democrat, 55.5
Cayuga, Kirsten Gillibrand, Democrat, 62
Chautauqua, Kirsten Gillibrand, Democrat, 57.2
Chemung, Kirsten Gillibrand, Democrat, 61.8
Chenango, Kirsten Gillibrand, Democrat, 58.9
Clinton, Kirsten Gillibrand, Democrat, 68.5
Columbia, Kirsten Gillibrand, Democrat, 69.9
Cortland, Kirsten Gillibrand, Democrat, 60.7
Delaware, Kirsten Gillibrand, Democrat, 61.8
Dutchess, Kirsten Gillibrand, Democrat, 65.8
Erie, Kirsten Gillibrand, Democrat, 68.1
Essex, Kirsten Gillibrand, Democrat, 64.9
Franklin, Kirsten Gillibrand, Democrat, 66.8
Fulton, Kirsten Gillibrand, Democrat, 59.2
Genesee, Kirsten Gillibrand, Democrat, 51.4
Greene, Kirsten Gillibrand, Democrat, 60.6
Hamilton, Kirsten Gillibrand, Democrat, 50
Herkimer, Kirsten Gillibrand, Democrat, 62.4
Jefferson, Kirsten Gillibrand, Democrat, 63.7
Kings, Kirsten Gillibrand, Democrat, 87.1
Lewis, Kirsten Gillibrand, Democrat, 60.7
Livingston, Kirsten Gillibrand, Democrat, 54.3
Madison, Kirsten Gillibrand, Democrat, 59.2
Monroe, Kirsten Gillibrand, Democrat, 66.2
Montgomery, Kirsten Gillibrand, Democrat, 63.8
Nassau, Kirsten Gillibrand, Democrat, 63.8
New York, Kirsten Gillibrand, Democrat, 86.8
Niagara, Kirsten Gillibrand, Democrat, 61.6
Oneida, Kirsten Gillibrand, Democrat, 62.2
Onondaga, Kirsten Gillibrand, Democrat, 68.3
Ontario, Kirsten Gillibrand, Democrat, 56.8
Orange, Kirsten Gillibrand, Democrat, 65.3
Orleans, Kirsten Gillibrand, Democrat, 50.1
Oswego, Kirsten Gillibrand, Democrat, 60.2
Otsego, Kirsten Gillibrand, Democrat, 65
Putnam, Kirsten Gillibrand, Democrat, 58.7
Queens, Kirsten Gillibrand, Democrat, 84.1
Rensselaer, Kirsten Gillibrand, Democrat, 69.3
Richmond, Kirsten Gillibrand, Democrat, 63.9
Rockland, Kirsten Gillibrand, Democrat, 66.5
St. Lawrence, Kirsten Gillibrand, Democrat, 69.4
Saratoga, Kirsten Gillibrand, Democrat, 64.8
Schenectady, Kirsten Gillibrand, Democrat, 68.9
Schoharie, Kirsten Gillibrand, Democrat, 58.9
Schuyler, Kirsten Gillibrand, Democrat, 57.6
Seneca, Kirsten Gillibrand, Democrat, 59
Steuben, Kirsten Gillibrand, Democrat, 54.3
Suffolk, Kirsten Gillibrand, Democrat, 63.3
Sullivan, Kirsten Gillibrand, Democrat, 65.9
Tioga, Kirsten Gillibrand, Democrat, 54.3
Tompkins, Kirsten Gillibrand, Democrat, 73
Ulster, Kirsten Gillibrand, Democrat, 70.7
Warren, Kirsten Gillibrand, Democrat, 67.1
Washington, Kirsten Gillibrand, Democrat, 67.3
Wayne, Kirsten Gillibrand, Democrat, 53.1
Westchester, Kirsten Gillibrand, Democrat, 70.8
Wyoming, Wendy Long, Republican, 49.3
Yates, Kirsten Gillibrand, Democrat, 52.8
