Accomack, George Allen, Republican, 51.6
Albemarle, Tim Kaine, Democrat, 58
Alleghany, George Allen, Republican, 52
Amelia, George Allen, Republican, 63.2
Amherst, George Allen, Republican, 59.4
Appomattox, George Allen, Republican, 67
Arlington, Tim Kaine, Democrat, 71.4
Augusta, George Allen, Republican, 70.9
Bath, George Allen, Republican, 60.5
Bedford, George Allen, Republican, 71
Bland, George Allen, Republican, 71.5
Botetourt, George Allen, Republican, 67.4
Brunswick, Tim Kaine, Democrat, 60.6
Buchanan, George Allen, Republican, 64.3
Buckingham, Tim Kaine, Democrat, 50.3
Campbell, George Allen, Republican, 69.3
Caroline, Tim Kaine, Democrat, 54.5
Carroll, George Allen, Republican, 67.7
Charles City, Tim Kaine, Democrat, 65.6
Charlotte, George Allen, Republican, 57.2
Chesterfield, George Allen, Republican, 51.9
Clarke, George Allen, Republican, 55.2
Craig, George Allen, Republican, 66.5
Culpeper, George Allen, Republican, 58.1
Cumberland, George Allen, Republican, 51.2
Dickenson, George Allen, Republican, 59.5
Dinwiddie, George Allen, Republican, 51.4
Essex, Tim Kaine, Democrat, 53.6
Fairfax, Tim Kaine, Democrat, 61.2
Fauquier, George Allen, Republican, 59
Floyd, George Allen, Republican, 60.4
Fluvanna, George Allen, Republican, 52.6
Franklin, George Allen, Republican, 62.4
Frederick, George Allen, Republican, 62.6
Giles, George Allen, Republican, 60
Gloucester, George Allen, Republican, 62.5
Goochland, George Allen, Republican, 61.4
Grayson, George Allen, Republican, 66
Greene, George Allen, Republican, 62.2
Greensville, Tim Kaine, Democrat, 62.7
Halifax, George Allen, Republican, 53.6
Hanover, George Allen, Republican, 65.6
Henrico, Tim Kaine, Democrat, 58.1
Henry, George Allen, Republican, 57.1
Highland, George Allen, Republican, 66.7
Isle of Wight, George Allen, Republican, 56.7
James City, George Allen, Republican, 53.7
King and Queen, George Allen, Republican, 50.9
King George, George Allen, Republican, 58.6
King William, George Allen, Republican, 60.6
Lancaster, George Allen, Republican, 52.7
Lee, George Allen, Republican, 69.5
Loudoun, Tim Kaine, Democrat, 52.8
Louisa, George Allen, Republican, 55.5
Lunenburg, George Allen, Republican, 53.2
Madison, George Allen, Republican, 59.7
Mathews, George Allen, Republican, 63.9
Mecklenburg, George Allen, Republican, 55.9
Middlesex, George Allen, Republican, 58.6
Montgomery, Tim Kaine, Democrat, 51.8
Nelson, Tim Kaine, Democrat, 51.6
New Kent, George Allen, Republican, 64.9
Northampton, Tim Kaine, Democrat, 58.8
Northumberland, George Allen, Republican, 56.4
Nottoway, George Allen, Republican, 50.2
Orange, George Allen, Republican, 56.4
Page, George Allen, Republican, 62.5
Patrick, George Allen, Republican, 67.3
Pittsylvania, George Allen, Republican, 63.9
Powhatan, George Allen, Republican, 70.8
Prince Edward, Tim Kaine, Democrat, 55.5
Prince George, George Allen, Republican, 55.4
Prince William, Tim Kaine, Democrat, 57.8
Pulaski, George Allen, Republican, 60.3
Rappahannock, George Allen, Republican, 52.6
Richmond, George Allen, Republican, 57.7
Roanoke, George Allen, Republican, 60.3
Rockbridge, George Allen, Republican, 59
Rockingham, George Allen, Republican, 70.8
Russell, George Allen, Republican, 64.5
Scott, George Allen, Republican, 71.9
Shenandoah, George Allen, Republican, 65
Smyth, George Allen, Republican, 63.7
Southampton, George Allen, Republican, 51
Spotsylvania, George Allen, Republican, 54.6
Stafford, George Allen, Republican, 53.3
Surry, Tim Kaine, Democrat, 60.5
Sussex, Tim Kaine, Democrat, 61.4
Tazewell, George Allen, Republican, 75.7
Warren, George Allen, Republican, 59.4
Washington, George Allen, Republican, 68.7
Westmoreland, Tim Kaine, Democrat, 53.8
Wise, George Allen, Republican, 71.2
Wythe, George Allen, Republican, 66.4
York, George Allen, Republican, 58.7
Alexandria City, Tim Kaine, Democrat, 72.8
Bedford City, George Allen, Republican, 56.2
Bristol City, George Allen, Republican, 63
Buena Vista City, George Allen, Republican, 60.3
Charlottesville City, Tim Kaine, Democrat, 78.4
Chesapeake City, Tim Kaine, Democrat, 51.7
Colonial Heights City, George Allen, Republican, 68.3
Covington City, Tim Kaine, Democrat, 54.9
Danville City, Tim Kaine, Democrat, 59.9
Emporia City, Tim Kaine, Democrat, 63.8
Fairfax City, Tim Kaine, Democrat, 58.8
Falls Church City, Tim Kaine, Democrat, 71.4
Franklin City, Tim Kaine, Democrat, 64.4
Fredericksburg City, Tim Kaine, Democrat, 64.4
Galax City, George Allen, Republican, 57.1
Hampton City, Tim Kaine, Democrat, 71.1
Harrisonburg City, Tim Kaine, Democrat, 55.9
Hopewell City, Tim Kaine, Democrat, 57.1
Lexington City, Tim Kaine, Democrat, 58.7
Lynchburg City, George Allen, Republican, 54.7
Manassas City, Tim Kaine, Democrat, 55.9
Manassas Park City, Tim Kaine, Democrat, 61.6
Martinsville City, Tim Kaine, Democrat, 62.3
Newport News City, Tim Kaine, Democrat, 64.9
Norfolk City, Tim Kaine, Democrat, 72.8
Norton City, George Allen, Republican, 58
Petersburg City, Tim Kaine, Democrat, 89.6
Poquoson City, George Allen, Republican, 73.6
Portsmouth City, Tim Kaine, Democrat, 71.5
Radford City, Tim Kaine, Democrat, 53.5
Richmond City, Tim Kaine, Democrat, 79.9
Roanoke City, Tim Kaine, Democrat, 62.9
Salem City, George Allen, Republican, 57.7
Staunton City, Tim Kaine, Democrat, 51.7
Suffolk City, Tim Kaine, Democrat, 58
Virginia Beach City, Tim Kaine, Democrat, 50.2
Waynesboro City, George Allen, Republican, 55.1
Williamsburg City, Tim Kaine, Democrat, 66.3
Winchester City, Tim Kaine, Democrat, 52.2
