Autauga, Jeff Sessions, Republican, 98.4
Baldwin, Jeff Sessions, Republican, 98.2
Barbour, Jeff Sessions, Republican, 97.7
Bibb, Jeff Sessions, Republican, 98.4
Blount, Jeff Sessions, Republican, 99
Bullock, Jeff Sessions, Republican, 94.8
Butler, Jeff Sessions, Republican, 98.3
Calhoun, Jeff Sessions, Republican, 97.3
Chambers, Jeff Sessions, Republican, 97.3
Cherokee, Jeff Sessions, Republican, 98.9
Chilton, Jeff Sessions, Republican, 99.1
Choctaw, Jeff Sessions, Republican, 98.2
Clarke, Jeff Sessions, Republican, 98.5
Clay, Jeff Sessions, Republican, 98.3
Cleburne, Jeff Sessions, Republican, 98.9
Coffee, Jeff Sessions, Republican, 98.7
Colbert, Jeff Sessions, Republican, 97.5
Conecuh, Jeff Sessions, Republican, 98
Coosa, Jeff Sessions, Republican, 97.6
Covington, Jeff Sessions, Republican, 99.3
Crenshaw, Jeff Sessions, Republican, 98.6
Cullman, Jeff Sessions, Republican, 99.1
Dale, Jeff Sessions, Republican, 98.1
Dallas, Jeff Sessions, Republican, 93.7
DeKalb, Jeff Sessions, Republican, 99.1
Elmore, Jeff Sessions, Republican, 98.5
Escambia, Jeff Sessions, Republican, 98.6
Etowah, Jeff Sessions, Republican, 97.7
Fayette, Jeff Sessions, Republican, 99.1
Franklin, Jeff Sessions, Republican, 98.3
Geneva, Jeff Sessions, Republican, 98.8
Greene, Jeff Sessions, Republican, 94.9
Hale, Jeff Sessions, Republican, 97
Henry, Jeff Sessions, Republican, 98
Houston, Jeff Sessions, Republican, 98.2
Jackson, Jeff Sessions, Republican, 97.9
Jefferson, Jeff Sessions, Republican, 94.9
Lamar, Jeff Sessions, Republican, 98.7
Lauderdale, Jeff Sessions, Republican, 96.9
Lawrence, Jeff Sessions, Republican, 98.4
Lee, Jeff Sessions, Republican, 96.6
Limestone, Jeff Sessions, Republican, 97.7
Lowndes, Jeff Sessions, Republican, 95.9
Macon, Jeff Sessions, Republican, 89.9
Madison, Jeff Sessions, Republican, 95.5
Marengo, Jeff Sessions, Republican, 98.4
Marion, Jeff Sessions, Republican, 98.8
Marshall, Jeff Sessions, Republican, 98.8
Mobile, Jeff Sessions, Republican, 97.2
Monroe, Jeff Sessions, Republican, 98.6
Montgomery, Jeff Sessions, Republican, 94.6
Morgan, Jeff Sessions, Republican, 98.2
Perry, Jeff Sessions, Republican, 96.9
Pickens, Jeff Sessions, Republican, 97.8
Pike, Jeff Sessions, Republican, 97.3
Randolph, Jeff Sessions, Republican, 98.6
Russell, Jeff Sessions, Republican, 95.9
St. Clair, Jeff Sessions, Republican, 98.8
Shelby, Jeff Sessions, Republican, 97.9
Sumter, Jeff Sessions, Republican, 95.9
Talladega, Jeff Sessions, Republican, 97.5
Tallapoosa, Jeff Sessions, Republican, 98.7
Tuscaloosa, Jeff Sessions, Republican, 96.2
Walker, Jeff Sessions, Republican, 98.1
Washington, Jeff Sessions, Republican, 99
Wilcox, Jeff Sessions, Republican, 97.8
Winston, Jeff Sessions, Republican, 99.1
