Bernalillo, Tom Udall, Democrat, 57
Catron, Allen Weh, Republican, 68
Chaves, Allen Weh, Republican, 67.8
Cibola, Tom Udall, Democrat, 64
Colfax, Tom Udall, Democrat, 56
Curry, Allen Weh, Republican, 69.9
De Baca, Allen Weh, Republican, 59
Doña Ana, Tom Udall, Democrat, 56
Eddy, Allen Weh, Republican, 65.1
Grant, Tom Udall, Democrat, 57.9
Guadalupe, Tom Udall, Democrat, 75.2
Harding, Tom Udall, Democrat, 50.4
Hidalgo, Tom Udall, Democrat, 54
Lea, Allen Weh, Republican, 74.1
Lincoln, Allen Weh, Republican, 65.4
Los Alamos, Tom Udall, Democrat, 55.6
Luna, Tom Udall, Democrat, 50.8
McKinley, Tom Udall, Democrat, 76.5
Mora, Tom Udall, Democrat, 72.3
Otero, Allen Weh, Republican, 63.9
Quay, Allen Weh, Republican, 58.1
Rio Arriba, Tom Udall, Democrat, 75.4
Roosevelt, Allen Weh, Republican, 66.9
Sandoval, Tom Udall, Democrat, 52
San Juan, Allen Weh, Republican, 60.4
San Miguel, Tom Udall, Democrat, 77.1
Santa Fe, Tom Udall, Democrat, 76.7
Sierra, Allen Weh, Republican, 57.4
Socorro, Tom Udall, Democrat, 59.3
Taos, Tom Udall, Democrat, 81.1
Torrance, Allen Weh, Republican, 56.8
Union, Allen Weh, Republican, 63.4
Valencia, Tom Udall, Democrat, 50.9
