Anderson, John Cornyn, Republican, 76.9
Andrews, John Cornyn, Republican, 88.6
Angelina, John Cornyn, Republican, 77.3
Aransas, John Cornyn, Republican, 76.6
Archer, John Cornyn, Republican, 87.3
Armstrong, John Cornyn, Republican, 88.3
Atascosa, John Cornyn, Republican, 66.8
Austin, John Cornyn, Republican, 82.9
Bailey, John Cornyn, Republican, 86.4
Bandera, John Cornyn, Republican, 79.5
Bastrop, John Cornyn, Republican, 59.8
Baylor, John Cornyn, Republican, 84.1
Bee, John Cornyn, Republican, 59.6
Bell, John Cornyn, Republican, 66.2
Bexar, John Cornyn, Republican, 54
Blanco, John Cornyn, Republican, 74.6
Borden, John Cornyn, Republican, 93.3
Bosque, John Cornyn, Republican, 80.8
Bowie, John Cornyn, Republican, 73.9
Brazoria, John Cornyn, Republican, 68.2
Brazos, John Cornyn, Republican, 71.4
Brewster, John Cornyn, Republican, 50.6
Briscoe, John Cornyn, Republican, 86.2
Brooks, David Alameel, Democrat, 66.6
Brown, John Cornyn, Republican, 87.1
Burleson, John Cornyn, Republican, 76.3
Burnet, John Cornyn, Republican, 79
Caldwell, John Cornyn, Republican, 58.9
Calhoun, John Cornyn, Republican, 67.6
Callahan, John Cornyn, Republican, 88.4
Cameron, David Alameel, Democrat, 49.9
Camp, John Cornyn, Republican, 70.2
Carson, John Cornyn, Republican, 88.7
Cass, John Cornyn, Republican, 74.3
Castro, John Cornyn, Republican, 79
Chambers, John Cornyn, Republican, 81.7
Cherokee, John Cornyn, Republican, 79
Childress, John Cornyn, Republican, 88.4
Clay, John Cornyn, Republican, 85
Cochran, John Cornyn, Republican, 84.7
Coke, John Cornyn, Republican, 89.8
Coleman, John Cornyn, Republican, 87.6
Collin, John Cornyn, Republican, 68.4
Collingsworth, John Cornyn, Republican, 83.2
Colorado, John Cornyn, Republican, 78.4
Comal, John Cornyn, Republican, 78.8
Comanche, John Cornyn, Republican, 81.8
Concho, John Cornyn, Republican, 85
Cooke, John Cornyn, Republican, 85.3
Coryell, John Cornyn, Republican, 75.3
Cottle, John Cornyn, Republican, 83.8
Crane, John Cornyn, Republican, 80.8
Crockett, John Cornyn, Republican, 73.5
Crosby, John Cornyn, Republican, 76.7
Culberson, John Cornyn, Republican, 54.5
Dallam, John Cornyn, Republican, 86.1
Dallas, David Alameel, Democrat, 49.6
Dawson, John Cornyn, Republican, 81.9
Deaf Smith, John Cornyn, Republican, 80.5
Delta, John Cornyn, Republican, 77.4
Denton, John Cornyn, Republican, 67.7
DeWitt, John Cornyn, Republican, 83.6
Dickens, John Cornyn, Republican, 87
Dimmit, David Alameel, Democrat, 62.3
Donley, John Cornyn, Republican, 86.4
Duval, David Alameel, Democrat, 74.6
Eastland, John Cornyn, Republican, 88.1
Ector, John Cornyn, Republican, 81.3
Edwards, John Cornyn, Republican, 71.6
Ellis, John Cornyn, Republican, 75.5
El Paso, David Alameel, Democrat, 54
Erath, John Cornyn, Republican, 83.4
Falls, John Cornyn, Republican, 71.5
Fannin, John Cornyn, Republican, 78.6
Fayette, John Cornyn, Republican, 81
Fisher, John Cornyn, Republican, 67.2
Floyd, John Cornyn, Republican, 87.6
Foard, John Cornyn, Republican, 66.4
Fort Bend, John Cornyn, Republican, 58
Franklin, John Cornyn, Republican, 85.6
Freestone, John Cornyn, Republican, 80.1
Frio, David Alameel, Democrat, 48.6
Gaines, John Cornyn, Republican, 87.6
Galveston, John Cornyn, Republican, 64.6
Garza, John Cornyn, Republican, 89.8
Gillespie, John Cornyn, Republican, 82.3
Glasscock, John Cornyn, Republican, 94.4
Goliad, John Cornyn, Republican, 69.1
Gonzales, John Cornyn, Republican, 77.6
Gray, John Cornyn, Republican, 90.8
Grayson, John Cornyn, Republican, 77.7
Gregg, John Cornyn, Republican, 74.5
Grimes, John Cornyn, Republican, 76.2
Guadalupe, John Cornyn, Republican, 72.2
Hale, John Cornyn, Republican, 85.9
Hall, John Cornyn, Republican, 86
Hamilton, John Cornyn, Republican, 81.3
Hansford, John Cornyn, Republican, 93.4
Hardeman, John Cornyn, Republican, 80.6
Hardin, John Cornyn, Republican, 85.7
Harris, John Cornyn, Republican, 54.3
Harrison, John Cornyn, Republican, 72
Hartley, John Cornyn, Republican, 90.9
Haskell, John Cornyn, Republican, 75.4
Hays, John Cornyn, Republican, 55.8
Hemphill, John Cornyn, Republican, 87.2
Henderson, John Cornyn, Republican, 79.1
Hidalgo, David Alameel, Democrat, 59.2
Hill, John Cornyn, Republican, 79.4
Hockley, John Cornyn, Republican, 87
Hood, John Cornyn, Republican, 81.9
Hopkins, John Cornyn, Republican, 78.5
Houston, John Cornyn, Republican, 79
Howard, John Cornyn, Republican, 81.1
Hudspeth, John Cornyn, Republican, 55.2
Hunt, John Cornyn, Republican, 78.5
Hutchinson, John Cornyn, Republican, 88.9
Irion, John Cornyn, Republican, 87.8
Jack, John Cornyn, Republican, 87.7
Jackson, John Cornyn, Republican, 83.5
Jasper, John Cornyn, Republican, 78.4
Jeff Davis, John Cornyn, Republican, 57.9
Jefferson, John Cornyn, Republican, 51
Jim Hogg, David Alameel, Democrat, 73.6
Jim Wells, David Alameel, Democrat, 50.5
Johnson, John Cornyn, Republican, 79.7
Jones, John Cornyn, Republican, 80.8
Karnes, John Cornyn, Republican, 74.3
Kaufman, John Cornyn, Republican, 74.1
Kendall, John Cornyn, Republican, 83.8
Kenedy, John Cornyn, Republican, 50.9
Kent, John Cornyn, Republican, 82.5
Kerr, John Cornyn, Republican, 80.2
Kimble, John Cornyn, Republican, 90.2
King, John Cornyn, Republican, 96.7
Kinney, John Cornyn, Republican, 66.2
Kleberg, John Cornyn, Republican, 50
Knox, John Cornyn, Republican, 81.1
Lamar, John Cornyn, Republican, 75.5
Lamb, John Cornyn, Republican, 85.7
Lampasas, John Cornyn, Republican, 81.7
La Salle, John Cornyn, Republican, 49.2
Lavaca, John Cornyn, Republican, 85.6
Lee, John Cornyn, Republican, 76.5
Leon, John Cornyn, Republican, 87.7
Liberty, John Cornyn, Republican, 78.6
Limestone, John Cornyn, Republican, 76.5
Lipscomb, John Cornyn, Republican, 88.2
Live Oak, John Cornyn, Republican, 83.5
Llano, John Cornyn, Republican, 81.3
Loving, John Cornyn, Republican, 89.5
Lubbock, John Cornyn, Republican, 76.9
Lynn, John Cornyn, Republican, 83
McCulloch, John Cornyn, Republican, 83.8
McLennan, John Cornyn, Republican, 71.1
McMullen, John Cornyn, Republican, 86.7
Madison, John Cornyn, Republican, 81
Marion, John Cornyn, Republican, 67.3
Martin, John Cornyn, Republican, 85.6
Mason, John Cornyn, Republican, 80.8
Matagorda, John Cornyn, Republican, 70
Maverick, David Alameel, Democrat, 67.1
Medina, John Cornyn, Republican, 75.8
Menard, John Cornyn, Republican, 87.7
Midland, John Cornyn, Republican, 85.2
Milam, John Cornyn, Republican, 73.9
Mills, John Cornyn, Republican, 89.6
Mitchell, John Cornyn, Republican, 81.8
Montague, John Cornyn, Republican, 85.7
Montgomery, John Cornyn, Republican, 81.6
Moore, John Cornyn, Republican, 87.8
Morris, John Cornyn, Republican, 65.4
Motley, John Cornyn, Republican, 95.3
Nacogdoches, John Cornyn, Republican, 75.6
Navarro, John Cornyn, Republican, 76
Newton, John Cornyn, Republican, 72.6
Nolan, John Cornyn, Republican, 79.8
Nueces, John Cornyn, Republican, 57.1
Ochiltree, John Cornyn, Republican, 93.8
Oldham, John Cornyn, Republican, 93
Orange, John Cornyn, Republican, 77.3
Palo Pinto, John Cornyn, Republican, 80.7
Panola, John Cornyn, Republican, 80.6
Parker, John Cornyn, Republican, 82.7
Parmer, John Cornyn, Republican, 89
Pecos, John Cornyn, Republican, 63.5
