Carson City, Joe Heck, Republican, 52.47
Churchill, Joe Heck, Republican, 70.78
Clark, Catherine Cortez Masto, Democrat, 51.27
Douglas, Joe Heck, Republican, 63.6
Elko, Joe Heck, Republican, 73.29
Esmeralda, Joe Heck, Republican, 74.29
Eureka, Joe Heck, Republican, 81.51
Humboldt, Joe Heck, Republican, 64.34
Lander, Joe Heck, Republican, 74.74
Lincoln, Joe Heck, Republican, 75.86
Lyon, Joe Heck, Republican, 64.6
Mineral, Joe Heck, Republican, 57.39
Nye, Joe Heck, Republican, 59.97
Pershing, Joe Heck, Republican, 65.21
Storey, Joe Heck, Republican, 60.99
Washoe, Joe Heck, Republican, 46.85
White Pine, Joe Heck, Republican, 69.11
