Alamance, Richard Burr, Republican, 55.8
Alexander, Richard Burr, Republican, 73.3
Alleghany, Richard Burr, Republican, 70.4
Anson, Deborah Ross, Democrat, 55.6
Ashe, Richard Burr, Republican, 69.4
Avery, Richard Burr, Republican, 75
Beaufort, Richard Burr, Republican, 60.6
Bertie, Deborah Ross, Democrat, 60.9
Bladen, Richard Burr, Republican, 52.7
Brunswick, Richard Burr, Republican, 62.6
Buncombe, Deborah Ross, Democrat, 55.2
Burke, Richard Burr, Republican, 65.5
Cabarrus, Richard Burr, Republican, 58.2
Caldwell, Richard Burr, Republican, 71.1
Camden, Richard Burr, Republican, 70
Carteret, Richard Burr, Republican, 70
Caswell, Richard Burr, Republican, 54.8
Catawba, Richard Burr, Republican, 66.1
Chatham, Deborah Ross, Democrat, 51.7
Cherokee, Richard Burr, Republican, 73.2
Chowan, Richard Burr, Republican, 57.2
Clay, Richard Burr, Republican, 71.4
Cleveland, Richard Burr, Republican, 62.3
Columbus, Richard Burr, Republican, 58.7
Craven, Richard Burr, Republican, 59.7
Cumberland, Deborah Ross, Democrat, 55.4
Currituck, Richard Burr, Republican, 72.3
Dare, Richard Burr, Republican, 59.3
Davidson, Richard Burr, Republican, 72.2
Davie, Richard Burr, Republican, 72
Duplin, Richard Burr, Republican, 58.4
Durham, Deborah Ross, Democrat, 75.9
Edgecombe, Deborah Ross, Democrat, 64.3
Forsyth, Deborah Ross, Democrat, 50.6
Franklin, Richard Burr, Republican, 53.9
Gaston, Richard Burr, Republican, 63.3
Gates, Richard Burr, Republican, 53.6
Graham, Richard Burr, Republican, 73.7
Granville, Richard Burr, Republican, 50
Greene, Richard Burr, Republican, 53.5
Guilford, Deborah Ross, Democrat, 56.5
Halifax, Deborah Ross, Democrat, 62.4
Harnett, Richard Burr, Republican, 59.7
Haywood, Richard Burr, Republican, 59
Henderson, Richard Burr, Republican, 61.7
Hertford, Deborah Ross, Democrat, 67.5
Hoke, Deborah Ross, Democrat, 53.3
Hyde, Richard Burr, Republican, 54.8
Iredell, Richard Burr, Republican, 65.1
Jackson, Richard Burr, Republican, 52
Johnston, Richard Burr, Republican, 63.3
Jones, Richard Burr, Republican, 57.4
Lee, Richard Burr, Republican, 54.6
Lenoir, Richard Burr, Republican, 51.1
Lincoln, Richard Burr, Republican, 70.4
McDowell, Richard Burr, Republican, 70
Macon, Richard Burr, Republican, 65
Madison, Richard Burr, Republican, 56.8
Martin, Richard Burr, Republican, 49.3
Mecklenburg, Deborah Ross, Democrat, 59.2
Mitchell, Richard Burr, Republican, 74.9
Montgomery, Richard Burr, Republican, 59.8
Moore, Richard Burr, Republican, 63.6
Nash, Richard Burr, Republican, 49.4
New Hanover, Richard Burr, Republican, 50.9
Northampton, Deborah Ross, Democrat, 62.4
Onslow, Richard Burr, Republican, 64.5
Orange, Deborah Ross, Democrat, 70.7
Pamlico, Richard Burr, Republican, 61.9
Pasquotank, Deborah Ross, Democrat, 50.2
Pender, Richard Burr, Republican, 62.6
Perquimans, Richard Burr, Republican, 63.3
Person, Richard Burr, Republican, 57
Pitt, Deborah Ross, Democrat, 50.3
Polk, Richard Burr, Republican, 59.4
Randolph, Richard Burr, Republican, 75.1
Richmond, Richard Burr, Republican, 51.6
Robeson, Richard Burr, Republican, 49.9
Rockingham, Richard Burr, Republican, 62.4
Rowan, Richard Burr, Republican, 64.7
Rutherford, Richard Burr, Republican, 68.4
Sampson, Richard Burr, Republican, 57.8
Scotland, Deborah Ross, Democrat, 52.8
Stanly, Richard Burr, Republican, 70.3
Stokes, Richard Burr, Republican, 74.4
Surry, Richard Burr, Republican, 72.7
Swain, Richard Burr, Republican, 55.5
Transylvania, Richard Burr, Republican, 57.9
Tyrrell, Richard Burr, Republican, 55.1
Union, Richard Burr, Republican, 65
Vance, Deborah Ross, Democrat, 61
Wake, Deborah Ross, Democrat, 55.3
Warren, Deborah Ross, Democrat, 64.8
Washington, Deborah Ross, Democrat, 55.8
Watauga, Richard Burr, Republican, 48.3
Wayne, Richard Burr, Republican, 54.9
Wilkes, Richard Burr, Republican, 73.9
Wilson, Deborah Ross, Democrat, 51.3
Yadkin, Richard Burr, Republican, 78.2
Yancey, Richard Burr, Republican, 60.2
