Adair, James Lankford, Republican, 70.8
Alfalfa, James Lankford, Republican, 87.6
Atoka, James Lankford, Republican, 69.9
Beaver, James Lankford, Republican, 87.3
Beckham, James Lankford, Republican, 83.6
Blaine, James Lankford, Republican, 80.1
Bryan, James Lankford, Republican, 70.4
Caddo, James Lankford, Republican, 73.8
Canadian, James Lankford, Republican, 76.2
Carter, James Lankford, Republican, 70.4
Cherokee, James Lankford, Republican, 60.2
Choctaw, James Lankford, Republican, 69.5
Cimarron, James Lankford, Republican, 84.9
Cleveland, James Lankford, Republican, 61.9
Coal, James Lankford, Republican, 66.1
Comanche, James Lankford, Republican, 61.7
Cotton, James Lankford, Republican, 78.1
Craig, James Lankford, Republican, 73.3
Creek, James Lankford, Republican, 75.2
Custer, James Lankford, Republican, 78.9
Delaware, James Lankford, Republican, 73.1
Dewey, James Lankford, Republican, 88.3
Ellis, James Lankford, Republican, 88.4
Garfield, James Lankford, Republican, 77.3
Garvin, James Lankford, Republican, 77.8
Grady, James Lankford, Republican, 79.4
Grant, James Lankford, Republican, 85.2
Greer, James Lankford, Republican, 78
Harmon, James Lankford, Republican, 76.8
Harper, James Lankford, Republican, 89.7
Haskell, James Lankford, Republican, 72.1
Hughes, James Lankford, Republican, 75.1
Jackson, James Lankford, Republican, 78.2
Jefferson, James Lankford, Republican, 74.7
Johnston, James Lankford, Republican, 67.3
Kay, James Lankford, Republican, 73.6
Kingfisher, James Lankford, Republican, 86.9
Kiowa, James Lankford, Republican, 78
Latimer, James Lankford, Republican, 70.1
Le Flore, James Lankford, Republican, 68.8
Lincoln, James Lankford, Republican, 79.7
Logan, James Lankford, Republican, 74.9
Love, James Lankford, Republican, 69.9
McClain, James Lankford, Republican, 79.7
McCurtain, James Lankford, Republican, 70.7
McIntosh, James Lankford, Republican, 67
Major, James Lankford, Republican, 89
Marshall, James Lankford, Republican, 70.5
Mayes, James Lankford, Republican, 72.3
Murray, James Lankford, Republican, 75.7
Muskogee, James Lankford, Republican, 62.9
Noble, James Lankford, Republican, 78.8
Nowata, James Lankford, Republican, 74
Okfuskee, James Lankford, Republican, 71.3
Oklahoma, James Lankford, Republican, 58.5
Okmulgee, James Lankford, Republican, 64.3
Osage, James Lankford, Republican, 66
Ottawa, James Lankford, Republican, 65.9
Pawnee, James Lankford, Republican, 73.6
Payne, James Lankford, Republican, 65.7
Pittsburg, James Lankford, Republican, 69.4
Pontotoc, James Lankford, Republican, 68.9
Pottawatomie, James Lankford, Republican, 75.2
Pushmataha, James Lankford, Republican, 70.5
Roger Mills, James Lankford, Republican, 88
Rogers, James Lankford, Republican, 76.5
Seminole, James Lankford, Republican, 73.3
Sequoyah, James Lankford, Republican, 66.9
Stephens, James Lankford, Republican, 79.1
Texas, James Lankford, Republican, 78.7
Tillman, James Lankford, Republican, 72.7
Tulsa, James Lankford, Republican, 62.7
Wagoner, James Lankford, Republican, 74.2
Washington, James Lankford, Republican, 74.1
Washita, James Lankford, Republican, 84.2
Woods, James Lankford, Republican, 83.4
Woodward, James Lankford, Republican, 84.8
