Baker, Mark Callahan, Republican, 53.6
Benton, Ron Wyden, Democrat, 60.9
Clackamas, Ron Wyden, Democrat, 54.1
Clatsop, Ron Wyden, Democrat, 57.8
Columbia, Ron Wyden, Democrat, 50
Coos, Mark Callahan, Republican, 45.8
Crook, Mark Callahan, Republican, 52.1
Curry, Mark Callahan, Republican, 45.8
Deschutes, Ron Wyden, Democrat, 54
Douglas, Mark Callahan, Republican, 52.7
Gilliam, Ron Wyden, Democrat, 49.8
Grant, Mark Callahan, Republican, 53.7
Harney, Mark Callahan, Republican, 52.9
Hood River, Ron Wyden, Democrat, 64.9
Jackson, Ron Wyden, Democrat, 50.2
Jefferson, Ron Wyden, Democrat, 48.5
Josephine, Mark Callahan, Republican, 47.7
Klamath, Mark Callahan, Republican, 49.4
Lake, Mark Callahan, Republican, 57.6
Lane, Ron Wyden, Democrat, 59.2
Lincoln, Ron Wyden, Democrat, 58.2
Linn, Mark Callahan, Republican, 47.2
Malheur, Mark Callahan, Republican, 59.3
Marion, Ron Wyden, Democrat, 49.5
Morrow, Mark Callahan, Republican, 47.9
Multnomah, Ron Wyden, Democrat, 73.7
Polk, Ron Wyden, Democrat, 48.7
Sherman, Mark Callahan, Republican, 49.8
Tillamook, Ron Wyden, Democrat, 53
Umatilla, Mark Callahan, Republican, 47.9
Union, Mark Callahan, Republican, 50.1
Wallowa, Mark Callahan, Republican, 51.9
Wasco, Ron Wyden, Democrat, 55.5
Washington, Ron Wyden, Democrat, 60.5
Wheeler, Mark Callahan, Republican, 47.8
Yamhill, Ron Wyden, Democrat, 47.9
