Addison, Patrick Leahy, Democrat, 62.4
Bennington, Patrick Leahy, Democrat, 59.4
Caledonia, Patrick Leahy, Democrat, 52
Chittenden, Patrick Leahy, Democrat, 69.2
Essex, Scott Milne, Republican, 46.9
Franklin, Patrick Leahy, Democrat, 55.6
Grand Isle, Patrick Leahy, Democrat, 57.5
Lamoille, Patrick Leahy, Democrat, 61.9
Orange, Patrick Leahy, Democrat, 55.1
Orleans, Patrick Leahy, Democrat, 50.4
Rutland, Patrick Leahy, Democrat, 52.3
Washington, Patrick Leahy, Democrat, 62.9
Windham, Patrick Leahy, Democrat, 66
Windsor, Patrick Leahy, Democrat, 60.5
