Adair, Josh Hawley, Republican, 56.8
Andrew, Josh Hawley, Republican, 64.8
Atchison, Josh Hawley, Republican, 72.7
Audrain, Josh Hawley, Republican, 64.7
Barry, Josh Hawley, Republican, 73.4
Barton, Josh Hawley, Republican, 80.9
Bates, Josh Hawley, Republican, 66.8
Benton, Josh Hawley, Republican, 68.1
Bollinger, Josh Hawley, Republican, 79.8
Boone, Claire McCaskill, Democrat, 56.3
Buchanan, Josh Hawley, Republican, 52.8
Butler, Josh Hawley, Republican, 76.5
Caldwell, Josh Hawley, Republican, 67.7
Callaway, Josh Hawley, Republican, 62.4
Camden, Josh Hawley, Republican, 69.9
Cape Girardeau, Josh Hawley, Republican, 70.7
Carroll, Josh Hawley, Republican, 73.7
Carter, Josh Hawley, Republican, 76.5
Cass, Josh Hawley, Republican, 59
Cedar, Josh Hawley, Republican, 74.8
Chariton, Josh Hawley, Republican, 65.3
Christian, Josh Hawley, Republican, 69.8
Clark, Josh Hawley, Republican, 70.7
Clay, Claire McCaskill, Democrat, 49.5
Clinton, Josh Hawley, Republican, 61.6
Cole, Josh Hawley, Republican, 62
Cooper, Josh Hawley, Republican, 65.6
Crawford, Josh Hawley, Republican, 68.7
Dade, Josh Hawley, Republican, 75.1
Dallas, Josh Hawley, Republican, 72.1
Daviess, Josh Hawley, Republican, 68.7
DeKalb, Josh Hawley, Republican, 68.5
Dent, Josh Hawley, Republican, 75.4
Douglas, Josh Hawley, Republican, 77.6
Dunklin, Josh Hawley, Republican, 72.7
Franklin, Josh Hawley, Republican, 59.7
Gasconade, Josh Hawley, Republican, 68.3
Gentry, Josh Hawley, Republican, 66.3
Greene, Josh Hawley, Republican, 55.1
Grundy, Josh Hawley, Republican, 72.7
Harrison, Josh Hawley, Republican, 74.9
Henry, Josh Hawley, Republican, 64
Hickory, Josh Hawley, Republican, 66.6
Holt, Josh Hawley, Republican, 76.2
Howard, Josh Hawley, Republican, 62.7
Howell, Josh Hawley, Republican, 75.2
Iron, Josh Hawley, Republican, 62.6
Jackson, Claire McCaskill, Democrat, 62.1
Jasper, Josh Hawley, Republican, 68.7
Jefferson, Josh Hawley, Republican, 54.3
Johnson, Josh Hawley, Republican, 59
Knox, Josh Hawley, Republican, 69.5
Laclede, Josh Hawley, Republican, 74.9
Lafayette, Josh Hawley, Republican, 62.8
Lawrence, Josh Hawley, Republican, 73.5
Lewis, Josh Hawley, Republican, 65
Lincoln, Josh Hawley, Republican, 61.1
Linn, Josh Hawley, Republican, 65.8
Livingston, Josh Hawley, Republican, 68.7
McDonald, Josh Hawley, Republican, 77
Macon, Josh Hawley, Republican, 70.1
Madison, Josh Hawley, Republican, 70.2
Maries, Josh Hawley, Republican, 72.3
Marion, Josh Hawley, Republican, 68.2
Mercer, Josh Hawley, Republican, 80.6
Miller, Josh Hawley, Republican, 75.9
Mississippi, Josh Hawley, Republican, 65.9
Moniteau, Josh Hawley, Republican, 72.1
Monroe, Josh Hawley, Republican, 68.9
Montgomery, Josh Hawley, Republican, 67.5
Morgan, Josh Hawley, Republican, 70.6
New Madrid, Josh Hawley, Republican, 69.1
Newton, Josh Hawley, Republican, 73.3
Nodaway, Josh Hawley, Republican, 60.6
Oregon, Josh Hawley, Republican, 71.6
Osage, Josh Hawley, Republican, 76.7
Ozark, Josh Hawley, Republican, 74.3
Pemiscot, Josh Hawley, Republican, 65.5
Perry, Josh Hawley, Republican, 72
Pettis, Josh Hawley, Republican, 66.6
Phelps, Josh Hawley, Republican, 63
Pike, Josh Hawley, Republican, 62.1
Platte, Josh Hawley, Republican, 48.6
Polk, Josh Hawley, Republican, 70.5
Pulaski, Josh Hawley, Republican, 67.7
Putnam, Josh Hawley, Republican, 79
Ralls, Josh Hawley, Republican, 70.2
Randolph, Josh Hawley, Republican, 67.2
Ray, Josh Hawley, Republican, 57.9
Reynolds, Josh Hawley, Republican, 70.8
Ripley, Josh Hawley, Republican, 75.8
Saint Charles, Josh Hawley, Republican, 52.9
Saint Clair, Josh Hawley, Republican, 67.5
Sainte Genevieve, Josh Hawley, Republican, 51.9
Saint Francois, Josh Hawley, Republican, 60.1
Saint Louis County, Claire McCaskill, Democrat, 62.1
Saline, Josh Hawley, Republican, 58.3
Schuyler, Josh Hawley, Republican, 71.1
Scotland, Josh Hawley, Republican, 72
Scott, Josh Hawley, Republican, 73.5
Shannon, Josh Hawley, Republican, 69.7
Shelby, Josh Hawley, Republican, 70.7
Stoddard, Josh Hawley, Republican, 79.9
Stone, Josh Hawley, Republican, 75.1
Sullivan, Josh Hawley, Republican, 72.9
Taney, Josh Hawley, Republican, 73.4
Texas, Josh Hawley, Republican, 75
Vernon, Josh Hawley, Republican, 70.7
Warren, Josh Hawley, Republican, 60.8
Washington, Josh Hawley, Republican, 63.3
Wayne, Josh Hawley, Republican, 75.3
Webster, Josh Hawley, Republican, 70.9
Worth, Josh Hawley, Republican, 71.5
Wright, Josh Hawley, Republican, 77
Saint Louis City, Claire McCaskill, Democrat, 84.1
