Adams, Lou Barletta, Republican, 59.9
Allegheny, Bob Casey Jr, Democrat, 65.7
Armstrong, Lou Barletta, Republican, 63.1
Beaver, Bob Casey Jr, Democrat, 50.9
Bedford, Lou Barletta, Republican, 74.6
Berks, Bob Casey Jr, Democrat, 51
Blair, Lou Barletta, Republican, 64.5
Bradford, Lou Barletta, Republican, 64.1
Bucks, Bob Casey Jr, Democrat, 56.2
Butler, Lou Barletta, Republican, 59
Cambria, Lou Barletta, Republican, 55.2
Cameron, Lou Barletta, Republican, 61.2
Carbon, Lou Barletta, Republican, 59.9
Centre, Bob Casey Jr, Democrat, 57.3
Chester, Bob Casey Jr, Democrat, 59.2
Clarion, Lou Barletta, Republican, 63
Clearfield, Lou Barletta, Republican, 62.9
Clinton, Lou Barletta, Republican, 55.5
Columbia, Lou Barletta, Republican, 59.4
Crawford, Lou Barletta, Republican, 59.3
Cumberland, Lou Barletta, Republican, 52.2
Dauphin, Bob Casey Jr, Democrat, 54.8
Delaware, Bob Casey Jr, Democrat, 65
Elk, Lou Barletta, Republican, 58.6
Erie, Bob Casey Jr, Democrat, 58.4
Fayette, Lou Barletta, Republican, 50.4
Forest, Lou Barletta, Republican, 62.2
Franklin, Lou Barletta, Republican, 66.8
Fulton, Lou Barletta, Republican, 78.7
Greene, Lou Barletta, Republican, 51.7
Huntingdon, Lou Barletta, Republican, 65.9
Indiana, Lou Barletta, Republican, 55.2
Jefferson, Lou Barletta, Republican, 69.8
Juniata, Lou Barletta, Republican, 69.1
Lackawanna, Bob Casey Jr, Democrat, 61.1
Lancaster, Lou Barletta, Republican, 53.1
Lawrence, Lou Barletta, Republican, 54
Lebanon, Lou Barletta, Republican, 60.7
Lehigh, Bob Casey Jr, Democrat, 57.3
Luzerne, Lou Barletta, Republican, 53.6
Lycoming, Lou Barletta, Republican, 64.5
McKean, Lou Barletta, Republican, 66.5
Mercer, Lou Barletta, Republican, 54.2
Mifflin, Lou Barletta, Republican, 69.5
Monroe, Bob Casey Jr, Democrat, 55.3
Montgomery, Bob Casey Jr, Democrat, 65.2
Montour, Lou Barletta, Republican, 56.1
Northampton, Bob Casey Jr, Democrat, 54.3
Northumberland, Lou Barletta, Republican, 62.1
Perry, Lou Barletta, Republican, 67.6
Philadelphia, Bob Casey Jr, Democrat, 86.8
Pike, Lou Barletta, Republican, 56.6
Potter, Lou Barletta, Republican, 73.6
Schuylkill, Lou Barletta, Republican, 62.3
Snyder, Lou Barletta, Republican, 65.9
Somerset, Lou Barletta, Republican, 66
Sullivan, Lou Barletta, Republican, 63
Susquehanna, Lou Barletta, Republican, 63.5
Tioga, Lou Barletta, Republican, 69.7
Union, Lou Barletta, Republican, 57.6
Venango, Lou Barletta, Republican, 60.6
Warren, Lou Barletta, Republican, 60.8
Washington, Lou Barletta, Republican, 50.9
Wayne, Lou Barletta, Republican, 60.9
Westmoreland, Lou Barletta, Republican, 54.4
Wyoming, Lou Barletta, Republican, 61.9
York, Lou Barletta, Republican, 56.8
