Adams, Leah Vukmir, Republican, 51.6
Ashland, Tammy Baldwin, Democrat, 65.8
Barron, Leah Vukmir, Republican, 53.6
Bayfield, Tammy Baldwin, Democrat, 63.1
Brown, Tammy Baldwin, Democrat, 51.4
Buffalo, Leah Vukmir, Republican, 50.2
Burnett, Leah Vukmir, Republican, 57
Calumet, Leah Vukmir, Republican, 54.4
Chippewa, Leah Vukmir, Republican, 50.1
Clark, Leah Vukmir, Republican, 56.3
Columbia, Tammy Baldwin, Democrat, 56.5
Crawford, Tammy Baldwin, Democrat, 58.8
Dane, Tammy Baldwin, Democrat, 77.6
Dodge, Leah Vukmir, Republican, 57.3
Door, Tammy Baldwin, Democrat, 55.7
Douglas, Tammy Baldwin, Democrat, 62.8
Dunn, Tammy Baldwin, Democrat, 53
Eau Claire, Tammy Baldwin, Democrat, 60.9
Florence, Leah Vukmir, Republican, 66.4
Fond du Lac, Leah Vukmir, Republican, 57.2
Forest, Leah Vukmir, Republican, 52.3
Grant, Tammy Baldwin, Democrat, 54.3
Green, Tammy Baldwin, Democrat, 60.4
Green Lake, Leah Vukmir, Republican, 60.3
Iowa, Tammy Baldwin, Democrat, 65.4
Iron, Leah Vukmir, Republican, 52.4
Jackson, Tammy Baldwin, Democrat, 54.8
Jefferson, Leah Vukmir, Republican, 52.3
Juneau, Leah Vukmir, Republican, 53.8
Kenosha, Tammy Baldwin, Democrat, 56.7
Kewaunee, Leah Vukmir, Republican, 54.6
La Crosse, Tammy Baldwin, Democrat, 62.8
Lafayette, Tammy Baldwin, Democrat, 55.3
Langlade, Leah Vukmir, Republican, 57.4
Lincoln, Leah Vukmir, Republican, 51.6
Manitowoc, Leah Vukmir, Republican, 53.1
Marathon, Leah Vukmir, Republican, 52.8
Marinette, Leah Vukmir, Republican, 56.4
Marquette, Leah Vukmir, Republican, 53.1
Menominee, Tammy Baldwin, Democrat, 80.3
Milwaukee, Tammy Baldwin, Democrat, 71.4
Monroe, Leah Vukmir, Republican, 51.2
Oconto, Leah Vukmir, Republican, 59.6
Oneida, Leah Vukmir, Republican, 51.9
Outagamie, Tammy Baldwin, Democrat, 50.2
Ozaukee, Leah Vukmir, Republican, 57.8
Pepin, Leah Vukmir, Republican, 50.8
Pierce, Tammy Baldwin, Democrat, 52.8
Polk, Leah Vukmir, Republican, 55.2
Portage, Tammy Baldwin, Democrat, 58.1
Price, Leah Vukmir, Republican, 52.8
Racine, Tammy Baldwin, Democrat, 52.3
Richland, Tammy Baldwin, Democrat, 57.3
Rock, Tammy Baldwin, Democrat, 62.7
Rusk, Leah Vukmir, Republican, 55.9
St. Croix, Leah Vukmir, Republican, 52.9
Sauk, Tammy Baldwin, Democrat, 58.8
Sawyer, Leah Vukmir, Republican, 51.3
Shawano, Leah Vukmir, Republican, 58.5
Sheboygan, Leah Vukmir, Republican, 54.2
Taylor, Leah Vukmir, Republican, 62.3
Trempealeau, Tammy Baldwin, Democrat, 53.6
Vernon, Tammy Baldwin, Democrat, 57.8
Vilas, Leah Vukmir, Republican, 57.4
Walworth, Leah Vukmir, Republican, 54.9
Washburn, Leah Vukmir, Republican, 53.3
Washington, Leah Vukmir, Republican, 67.1
Waukesha, Leah Vukmir, Republican, 61.7
Waupaca, Leah Vukmir, Republican, 57.3
Waushara, Leah Vukmir, Republican, 57.9
Winnebago, Tammy Baldwin, Democrat, 53.2
Wood, Leah Vukmir, Republican, 51.3
