Autauga, Tommy Tuberville, Republican, 69.97
Baldwin, Tommy Tuberville, Republican, 73.34
Barbour, Tommy Tuberville, Republican, 52
Bibb, Tommy Tuberville, Republican, 76.4
Blount, Tommy Tuberville, Republican, 87.85
Bullock, Doug Jones, Democrat, 75.87
Butler, Tommy Tuberville, Republican, 55.45
Calhoun, Tommy Tuberville, Republican, 66.78
Chambers, Tommy Tuberville, Republican, 54.56
Cherokee, Tommy Tuberville, Republican, 82.62
Chilton, Tommy Tuberville, Republican, 81.69
Choctaw, Tommy Tuberville, Republican, 56.47
Clarke, Tommy Tuberville, Republican, 53.95
Clay, Tommy Tuberville, Republican, 79.01
Cleburne, Tommy Tuberville, Republican, 88.17
Coffee, Tommy Tuberville, Republican, 73.95
Colbert, Tommy Tuberville, Republican, 65.94
Conecuh, Tommy Tuberville, Republican, 51.5
Coosa, Tommy Tuberville, Republican, 65.1
Covington, Tommy Tuberville, Republican, 81.37
Crenshaw, Tommy Tuberville, Republican, 70.89
Cullman, Tommy Tuberville, Republican, 86.14
Dale, Tommy Tuberville, Republican, 69.51
Dallas, Doug Jones, Democrat, 70.18
DeKalb, Tommy Tuberville, Republican, 81.86
Elmore, Tommy Tuberville, Republican, 72
Escambia, Tommy Tuberville, Republican, 65.8
Etowah, Tommy Tuberville, Republican, 72.18
Fayette, Tommy Tuberville, Republican, 81
Franklin, Tommy Tuberville, Republican, 78.97
Geneva, Tommy Tuberville, Republican, 82.91
Greene, Doug Jones, Democrat, 82.9
Hale, Doug Jones, Democrat, 60.74
Henry, Tommy Tuberville, Republican, 68.95
Houston, Tommy Tuberville, Republican, 68.35
Jackson, Tommy Tuberville, Republican, 80.36
Jefferson, Doug Jones, Democrat, 58.57
Lamar, Tommy Tuberville, Republican, 85
Lauderdale, Tommy Tuberville, Republican, 68.29
Lawrence, Tommy Tuberville, Republican, 73.4
Lee, Tommy Tuberville, Republican, 57.76
Limestone, Tommy Tuberville, Republican, 68.04
Lowndes, Doug Jones, Democrat, 74.07
Macon, Doug Jones, Democrat, 82.87
Madison, Tommy Tuberville, Republican, 51.1
Marengo, Doug Jones, Democrat, 52.36
Marion, Tommy Tuberville, Republican, 86.46
Marshall, Tommy Tuberville, Republican, 81.22
Mobile, Tommy Tuberville, Republican, 52.73
Monroe, Tommy Tuberville, Republican, 55.5
Montgomery, Doug Jones, Democrat, 67.31
Morgan, Tommy Tuberville, Republican, 71.55
Perry, Doug Jones, Democrat, 75.58
Pickens, Tommy Tuberville, Republican, 56.4
Pike, Tommy Tuberville, Republican, 56.31
Randolph, Tommy Tuberville, Republican, 77.98
Russell, Doug Jones, Democrat, 55.77
Shelby, Tommy Tuberville, Republican, 67.87
St. Clair, Tommy Tuberville, Republican, 79.89
Sumter, Doug Jones, Democrat, 75.18
Talladega, Tommy Tuberville, Republican, 60.99
Tallapoosa, Tommy Tuberville, Republican, 70.04
Tuscaloosa, Tommy Tuberville, Republican, 54.87
Walker, Tommy Tuberville, Republican, 80.54
Washington, Tommy Tuberville, Republican, 69.98
Wilcox, Doug Jones, Democrat, 69.65
Winston, Tommy Tuberville, Republican, 88.29
