Androscoggin, Susan Collins, Republican, 56.19
Aroostook, Susan Collins, Republican, 67.51
Cumberland, Sara Gideon, Democrat, 54.29
Franklin, Susan Collins, Republican, 56.47
Hancock, Susan Collins, Republican, 49.19
Kennebec, Susan Collins, Republican, 54.92
Knox, Sara Gideon, Democrat, 47.32
Lincoln, Susan Collins, Republican, 51.08
Oxford, Susan Collins, Republican, 58.54
Penobscot, Susan Collins, Republican, 59.96
Piscataquis, Susan Collins, Republican, 66.95
Sagadahoc, Susan Collins, Republican, 48.08
Somerset, Susan Collins, Republican, 64.92
Waldo, Susan Collins, Republican, 51.57
Washington, Susan Collins, Republican, 64.56
York, Susan Collins, Republican, 49.46
