Adair, Jim Inhofe, Republican, 72.58
Alfalfa, Jim Inhofe, Republican, 84.1
Atoka, Jim Inhofe, Republican, 81.93
Beaver, Jim Inhofe, Republican, 87.29
Beckham, Jim Inhofe, Republican, 80.95
Blaine, Jim Inhofe, Republican, 76.87
Bryan, Jim Inhofe, Republican, 74.99
Caddo, Jim Inhofe, Republican, 68.72
Canadian, Jim Inhofe, Republican, 67.31
Carter, Jim Inhofe, Republican, 73.85
Cherokee, Jim Inhofe, Republican, 58.03
Choctaw, Jim Inhofe, Republican, 78.51
Cimarron, Jim Inhofe, Republican, 90.89
Cleveland, Jim Inhofe, Republican, 53.98
Coal, Jim Inhofe, Republican, 79.16
Comanche, Jim Inhofe, Republican, 59.25
Cotton, Jim Inhofe, Republican, 82.51
Craig, Jim Inhofe, Republican, 71.22
Creek, Jim Inhofe, Republican, 72.63
Custer, Jim Inhofe, Republican, 72.54
Delaware, Jim Inhofe, Republican, 74.67
Dewey, Jim Inhofe, Republican, 86.87
Ellis, Jim Inhofe, Republican, 86.87
Garfield, Jim Inhofe, Republican, 72.96
Garvin, Jim Inhofe, Republican, 78.11
Grady, Jim Inhofe, Republican, 76.81
Grant, Jim Inhofe, Republican, 82.84
Greer, Jim Inhofe, Republican, 78.35
Harmon, Jim Inhofe, Republican, 78.24
Harper, Jim Inhofe, Republican, 87.04
Haskell, Jim Inhofe, Republican, 78.2
Hughes, Jim Inhofe, Republican, 75.81
Jackson, Jim Inhofe, Republican, 78.24
Jefferson, Jim Inhofe, Republican, 82.37
Johnston, Jim Inhofe, Republican, 78.66
Kay, Jim Inhofe, Republican, 71.07
Kingfisher, Jim Inhofe, Republican, 82.62
Kiowa, Jim Inhofe, Republican, 75.77
Latimer, Jim Inhofe, Republican, 75.18
Le Flore, Jim Inhofe, Republican, 77.68
Lincoln, Jim Inhofe, Republican, 77.16
Logan, Jim Inhofe, Republican, 70
Love, Jim Inhofe, Republican, 79.58
Major, Jim Inhofe, Republican, 86.45
Marshall, Jim Inhofe, Republican, 71.07
Mayes, Jim Inhofe, Republican, 71.42
McClain, Jim Inhofe, Republican, 76.09
McCurtain, Jim Inhofe, Republican, 79.61
McIntosh, Jim Inhofe, Republican, 69.16
Murray, Jim Inhofe, Republican, 74.91
Muskogee, Jim Inhofe, Republican, 62.06
Noble, Jim Inhofe, Republican, 73.02
Nowata, Jim Inhofe, Republican, 77.03
Okfuskee, Jim Inhofe, Republican, 71.34
Oklahoma, Jim Inhofe, Republican, 48.29
Okmulgee, Jim Inhofe, Republican, 63.85
Osage, Jim Inhofe, Republican, 64.79
Ottawa, Jim Inhofe, Republican, 64.27
Pawnee, Jim Inhofe, Republican, 73.06
Payne, Jim Inhofe, Republican, 57.83
Pittsburg, Jim Inhofe, Republican, 73.33
Pontotoc, Jim Inhofe, Republican, 68.29
Pottawatomie, Jim Inhofe, Republican, 68.49
Pushmataha, Jim Inhofe, Republican, 81.43
Roger Mills, Jim Inhofe, Republican, 84.05
Rogers, Jim Inhofe, Republican, 72.24
Seminole, Jim Inhofe, Republican, 68.81
Sequoyah, Jim Inhofe, Republican, 74.46
Stephens, Jim Inhofe, Republican, 80.18
Texas, Jim Inhofe, Republican, 79.35
Tillman, Jim Inhofe, Republican, 76.87
Tulsa, Jim Inhofe, Republican, 54.59
Wagoner, Jim Inhofe, Republican, 70.5
Washington, Jim Inhofe, Republican, 70.02
Washita, Jim Inhofe, Republican, 81.45
Woods, Jim Inhofe, Republican, 77.64
Woodward, Jim Inhofe, Republican, 81.37
