Abbeville, Lindsey Grahams, Republican, 64.46
Aiken, Lindsey Grahams, Republican, 59.92
Allendale, Jaime Harrison, Democrat, 76.45
Anderson, Lindsey Grahams, Republican, 69.34
Bamberg, Jaime Harrison, Democrat, 62.66
Barnwell, Lindsey Grahams, Republican, 52.11
Beaufort, Lindsey Grahams, Republican, 54.68
Berkeley, Lindsey Grahams, Republican, 53.94
Calhoun, Lindsey Grahams, Republican, 50.59
Charleston, Jaime Harrison, Democrat, 55.41
Cherokee, Lindsey Grahams, Republican, 69.24
Chester, Lindsey Grahams, Republican, 52.36
Chesterfield, Lindsey Grahams, Republican, 57.63
Clarendon, Jaime Harrison, Democrat, 50.16
Colleton, Lindsey Grahams, Republican, 52.18
Darlington, Lindsey Grahams, Republican, 50.72
Dillon, Jaime Harrison, Democrat, 50.88
Dorchester, Lindsey Grahams, Republican, 53.31
Edgefield, Lindsey Grahams, Republican, 59.98
Fairfield, Jaime Harrison, Democrat, 61.48
Florence, Lindsey Grahams, Republican, 49.83
Georgetown, Lindsey Grahams, Republican, 55.81
Greenville, Lindsey Grahams, Republican, 58.04
Greenwood, Lindsey Grahams, Republican, 59.37
Hampton, Jaime Harrison, Democrat, 58.69
Horry, Lindsey Grahams, Republican, 64.86
Jasper, Jaime Harrison, Democrat, 50.65
Kershaw, Lindsey Grahams, Republican, 59.77
Lancaster, Lindsey Grahams, Republican, 59.32
Laurens, Lindsey Grahams, Republican, 63.87
Lee, Jaime Harrison, Democrat, 64.3
Lexington, Lindsey Grahams, Republican, 63.55
Marion, Jaime Harrison, Democrat, 61.34
Marlboro, Jaime Harrison, Democrat, 56.74
McCormick, Lindsey Grahams, Republican, 51.23
Newberry, Lindsey Grahams, Republican, 60.34
Oconee, Lindsey Grahams, Republican, 72.37
Orangeburg, Jaime Harrison, Democrat, 67.19
Pickens, Lindsey Grahams, Republican, 73.87
Richland, Jaime Harrison, Democrat, 68.82
Saluda, Lindsey Grahams, Republican, 65.77
Spartanburg, Lindsey Grahams, Republican, 61.62
Sumter, Jaime Harrison, Democrat, 56.76
Union, Lindsey Grahams, Republican, 59.44
Williamsburg, Jaime Harrison, Democrat, 65.51
York, Lindsey Grahams, Republican, 56.19
